.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content	Per Tile Sequence Quality
ERR579122_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579122_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579123_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579123_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579124_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579124_2	1	1	1	0.5	1	1	1	0.25	1	1	0
ERR579125_1	1	1	1	0.25	0.5	1	1	0.25	1	1	0
ERR579125_2	1	1	1	0.25	0.5	1	1	0.25	1	1	0
ERR579126_1	1	1	1	0.25	0.5	1	1	0.25	0.5	1	1
ERR579126_2	1	1	1	0.5	0.5	1	1	0.25	1	1	1
ERR579127_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579127_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579128_1	1	1	1	0.25	1	0.5	1	0.5	0.25	1	0
ERR579128_2	1	1	1	0.25	1	1	1	0.5	0.5	1	0
ERR579129_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579129_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579130_1	1	1	1	0.25	0.5	1	1	0.25	0.25	0.25	0.5
ERR579130_2	1	0.5	1	0.25	1	1	1	0.25	0.5	0.25	1
ERR579131_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579131_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579132_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579132_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579133_1	1	1	1	0.25	0.5	1	1	0.25	1	1	0
ERR579133_2	1	1	1	0.5	0.5	1	1	0.25	1	1	0
ERR579134_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579134_2	1	1	1	0.5	1	1	1	0.25	1	1	0
ERR579135_1	1	1	1	0.25	0.5	1	1	0.25	1	1	0
ERR579135_2	1	1	1	0.25	0.5	1	1	0.25	1	1	0
ERR579136_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579136_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579138_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579138_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579139_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579139_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579140_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579140_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579141_1	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0.5
ERR579141_2	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0.5
ERR579142_1	1	0.25	1	0.25	0.25	0.5	1	0.25	0.25	0.25	0
ERR579142_2	1	0.25	0.25	0.25	0.5	1	1	0.25	0.25	0.25	0
ERR579143_1	1	0.25	1	0.25	0.25	0.5	1	0.25	0.25	0.25	0.25
ERR579143_2	1	0.25	0.25	0.25	0.5	1	1	0.5	0.25	0.25	0.25
ERR579144_1	1	1	1	0.25	0.5	1	1	0.25	0.5	1	0.5
ERR579144_2	1	1	1	0.25	0.5	1	1	0.25	1	1	1
ERR579145_1	1	1	1	0.25	0.5	1	1	0.25	1	1	0.5
ERR579145_2	1	1	1	0.5	0.5	1	1	0.25	1	1	0.5
ERR579146_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579146_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579147_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579147_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579148_1	1	1	1	0.25	1	1	1	0.25	0.5	1	0
ERR579148_2	1	1	1	0.5	1	1	1	0.25	0.5	1	0
ERR579149_1	1	1	1	0.25	1	0.5	1	0.25	0.25	0.25	0.25
ERR579149_2	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0.5
ERR579150_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579150_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579151_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579151_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579152_1	1	1	1	0.25	1	0.5	1	0.25	0.5	0.25	0.25
ERR579152_2	1	1	1	0.25	1	1	1	0.25	0.5	0.25	0.25
ERR579153_1	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579153_2	1	1	1	0.25	1	1	1	0.25	1	1	0
ERR579154_1	1	1	1	0.25	0.5	1	1	0.25	1	1	0.5
ERR579154_2	1	1	1	0.25	1	1	1	0.25	1	1	1
ERR579155_1	1	1	1	0.25	1	1	1	0.5	0.25	1	0
ERR579155_2	1	1	1	0.25	1	1	1	0.5	0.5	1	0
