Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
ERR579122_1 - illumina_universal_adapter	(1, 3.7465156735215594e-05)	(2, 4.816948723099148e-05)	(3, 8.29585613422631e-05)	(4, 0.0002033822794197418)	(5, 0.0002221148577873496)	(6, 0.0002702843450183411)	(7, 0.00029704517125778076)	(8, 0.0003880319804718758)	(9, 0.0004228210545831474)	(10, 0.0005111317811732984)	(12, 0.000738598804208536)	(14, 0.001036982016778289)	(16, 0.0013674782208353692)	(18, 0.0016792418465248417)	(20, 0.001944174026295295)	(22, 0.0021716410493305325)	(24, 0.0023603048743185825)	(26, 0.0025422784927467725)	(28, 0.002764393350534122)	(30, 0.0030908754306552865)	(32, 0.0036314441206919687)	(34, 0.0044449732383709355)	(36, 0.005433785767918233)	(38, 0.007246831745640274)	(40, 0.010595949149506154)	(42, 0.01636290720410541)	(44, 0.024539677661566214)	(46, 0.0354968979653048)	(48, 0.05158416865914399)	(50, 0.07488883418976006)	(52, 0.10697907897478418)	(54, 0.14675770913839933)	(56, 0.1942688800439006)	(58, 0.2512681018925952)	(60, 0.3204903311261539)	(62, 0.40244669952574996)	(64, 0.4969565715142672)	(66, 0.600088781717132)	(68, 0.7100985242635327)	(70, 0.8279331324023456)	(72, 0.9590986461323354)	(74, 1.1022142068195468)	(76, 1.2552245830087916)	(78, 1.411572034230094)	(80, 1.5711521932611208)	(82, 1.741322949276406)	(84, 1.9215423955446007)	(86, 2.1124180028213404)	(88, 2.306347020372)	(90, 2.4507966082472477)
ERR579122_1 - polya	(1, 0.007680357130719196)	(2, 0.014608735044110137)	(3, 0.018475674435709175)	(4, 0.023867980922956278)	(5, 0.026948152023115787)	(6, 0.030052407866890795)	(7, 0.033798923540412355)	(8, 0.0408129360977695)	(9, 0.05260108005624269)	(10, 0.06660769650996543)	(12, 0.075607362374289)	(14, 0.090557297952952)	(16, 0.10299840607166752)	(18, 0.11264434588967356)	(20, 0.12398424600863614)	(22, 0.13785036812460183)	(24, 0.1516790250838323)	(26, 0.16824263848473353)	(28, 0.18249946866379502)	(30, 0.19717109164956784)	(32, 0.20866620456071916)	(34, 0.22012920448038317)	(36, 0.22979120079413287)	(38, 0.23905579883822692)	(40, 0.24913124991737595)	(42, 0.2597432555626258)	(44, 0.26961666240366705)	(46, 0.28001993360424926)	(48, 0.2890008668902052)	(50, 0.297751657070502)	(52, 0.3069533671729333)	(54, 0.31848193111688394)	(56, 0.32934415048747256)	(58, 0.33904896412320534)	(60, 0.34771813378347183)	(62, 0.35826323736312304)	(64, 0.3679573466683601)	(66, 0.38176860909053495)	(68, 0.39493493560033927)	(70, 0.407366677429871)	(72, 0.41857009733501244)	(74, 0.42893055121361146)	(76, 0.44071066692421285)	(78, 0.4517883109460289)	(80, 0.4608789636195666)	(82, 0.47023321043156274)	(84, 0.4815610681787176)	(86, 0.49492943892662966)	(88, 0.5055334163240077)	(90, 0.5145197017752116)
ERR579122_2 - illumina_universal_adapter	(1, 3.4789074111271626e-05)	(2, 4.281732198310354e-05)	(3, 7.760639609437516e-05)	(4, 0.00019000186630002195)	(5, 0.00020070619679579782)	(6, 0.0002408474361549574)	(7, 0.00026493217977045314)	(8, 0.00034521465848877224)	(9, 0.0003800037326000439)	(10, 0.00046563837656625094)	(12, 0.0006904293169775445)	(14, 0.0009928266534832133)	(16, 0.0013152946096684618)	(18, 0.0016136778222382146)	(20, 0.0018665676302009196)	(22, 0.0021007248597960174)	(24, 0.002302769097903787)	(26, 0.002496785088139725)	(28, 0.0027202379872390465)	(30, 0.0030493961499841547)	(32, 0.0035832746334609773)	(34, 0.004419550453443468)	(36, 0.005439137933166121)	(38, 0.007276268654503657)	(40, 0.010686935958720247)	(42, 0.016519458037606134)	(44, 0.02483270870888808)	(46, 0.03594514180481542)	(48, 0.0522424849846342)	(50, 0.0759137738347306)	(52, 0.10841479730253012)	(54, 0.14884103946113972)	(56, 0.19729686753289322)	(58, 0.2554146919183964)	(60, 0.3260445406121496)	(62, 0.4095262761073938)	(64, 0.5057595453057309)	(66, 0.610688744990574)	(68, 0.7226520278524539)	(70, 0.8424629230090495)	(72, 0.9763245899826627)	(74, 1.1222165863922162)	(76, 1.2780569199562812)	(78, 1.4373373577334265)	(80, 1.599904024972775)	(82, 1.7732205161125063)	(84, 1.9565669649267794)	(86, 2.1504424608249604)	(88, 2.348045739818295)	(90, 2.4954523989930006)
ERR579122_2 - polya	(1, 0.013846051496286106)	(2, 0.018071585959493635)	(3, 0.02119457438163625)	(4, 0.026198848888411477)	(5, 0.029822264761231614)	(6, 0.033309200420230604)	(7, 0.03716008331608598)	(8, 0.04426775876528117)	(9, 0.05315770524202304)	(10, 0.06373224573053764)	(12, 0.0734009322508472)	(14, 0.08818227462420172)	(16, 0.10810838584208854)	(18, 0.12263282428354444)	(20, 0.13715592468368837)	(22, 0.15180480096715768)	(24, 0.16476506911491834)	(26, 0.1800401487323905)	(28, 0.19376845259322306)	(30, 0.20692808889646758)	(32, 0.21943743712209365)	(34, 0.23219699907305852)	(36, 0.24438789346643525)	(38, 0.2563473067128409)	(40, 0.2702508939855418)	(42, 0.2823976330156235)	(44, 0.2947383880359411)	(46, 0.3085295798384363)	(48, 0.3227409166128908)	(50, 0.33685190028894735)	(52, 0.350335342589689)	(54, 0.3649815427905344)	(56, 0.3772018740927745)	(58, 0.3891238221824449)	(60, 0.40104710831342727)	(62, 0.41256362988557016)	(64, 0.4255038274136512)	(66, 0.4394703026280148)	(68, 0.45246134572595087)	(70, 0.46795854020121036)	(72, 0.4837527798477277)	(74, 0.49682009130044613)	(76, 0.5094672577812053)	(78, 0.5213637830859482)	(80, 0.5317429695429149)	(82, 0.5422492699245189)	(84, 0.5552670738486944)	(86, 0.5695359463995637)	(88, 0.5809695094103643)	(90, 0.5900494577534061)
ERR579122_2 - polyg	(1, 0.0029383387210904803)	(2, 0.0037973612433764947)	(3, 0.006837391104176846)	(4, 0.010409961407142046)	(5, 0.013201115583915608)	(6, 0.01572198541567083)	(7, 0.017731723466252753)	(8, 0.019353429536362796)	(9, 0.02139795666105599)	(10, 0.02509228872341064)	(12, 0.03099438895051907)	(14, 0.035736407360147784)	(16, 0.04012116873947998)	(18, 0.04437480207023893)	(20, 0.04848794106324081)	(22, 0.05266129191528143)	(24, 0.05652154110032061)	(26, 0.06063601813463447)	(28, 0.06511042828186878)	(30, 0.0694042028519869)	(32, 0.07391875423858035)	(34, 0.07811752787554846)	(36, 0.08236179491712359)	(38, 0.08648965236455716)	(40, 0.09062018589461468)	(42, 0.09449247745146161)	(44, 0.09819617580300007)	(46, 0.10209255210346249)	(48, 0.1059086459252066)	(50, 0.10977959944074156)	(52, 0.11350604449458353)	(54, 0.11724051779629734)	(56, 0.12083182067763015)	(58, 0.12443382788945874)	(60, 0.1280130883989838)	(62, 0.1317488997420096)	(64, 0.13531477983841492)	(66, 0.13909474654473578)	(68, 0.1429469674819031)	(70, 0.1467884840885747)	(72, 0.15056042254702373)	(74, 0.15440461523631924)	(76, 0.15830099153678165)	(78, 0.1622736361920265)	(80, 0.1662221961036558)	(82, 0.17032596880747392)	(84, 0.17449798161820254)	(86, 0.17877703773388895)	(88, 0.18300792436234437)	(90, 0.1862446462960046)
ERR579123_1 - illumina_universal_adapter	(1, 2.0797369049625746e-05)	(2, 3.119605357443862e-05)	(3, 7.279079167369012e-05)	(4, 0.00019237566370903814)	(5, 0.00020797369049625747)	(6, 0.00027556513990754114)	(7, 0.0002989621800883701)	(8, 0.00033795724705641835)	(9, 0.000392550340811686)	(10, 0.0005472307731182774)	(12, 0.0008318947619850299)	(14, 0.00128423753881439)	(16, 0.001785974067136611)	(18, 0.0023098078000740596)	(20, 0.0027322543588945824)	(22, 0.0030949084816974315)	(24, 0.0034809596446811093)	(26, 0.003770822975810268)	(28, 0.004012592391012168)	(30, 0.004438938456529495)	(32, 0.005074558048108682)	(34, 0.005988342450726613)	(36, 0.007331072589993076)	(38, 0.009412109330521251)	(40, 0.01315823543058509)	(42, 0.01973410355696363)	(44, 0.029200805981240148)	(46, 0.041198288251743)	(48, 0.058087051755604704)	(50, 0.08251616137552135)	(52, 0.11565156961383757)	(54, 0.15783123371760976)	(56, 0.20779171351707323)	(58, 0.2668315447422639)	(60, 0.33811322732429056)	(62, 0.42176804465527895)	(64, 0.5159567294099028)	(66, 0.6187295282397596)	(68, 0.7281327882897501)	(70, 0.8456288245711765)	(72, 0.9730296078624869)	(74, 1.1130517944957892)	(76, 1.2595978558328458)	(78, 1.4080000823575816)	(80, 1.5586172286861024)	(82, 1.7157140553091472)	(84, 1.8825635481809009)	(86, 2.054594185617143)	(88, 2.228664265055813)	(90, 2.3593679305193174)
ERR579123_1 - polya	(1, 0.00878168908120447)	(2, 0.017345005787387874)	(3, 0.02171505295894048)	(4, 0.02826622420957259)	(5, 0.031557407861675865)	(6, 0.03449763591106671)	(7, 0.03854012452008771)	(8, 0.04635213626935338)	(9, 0.060905095261828995)	(10, 0.07510189930932977)	(12, 0.08412535780573614)	(14, 0.09818697895441435)	(16, 0.11155578774662689)	(18, 0.12276426982880957)	(20, 0.13531808172138993)	(22, 0.15102919420281657)	(24, 0.16627756522288906)	(26, 0.18605586318908313)	(28, 0.20223361663856076)	(30, 0.21609506311013632)	(32, 0.22890884211583698)	(34, 0.24332401853835883)	(36, 0.2556035651265972)	(38, 0.26794030447972206)	(40, 0.2804460224563752)	(42, 0.29335468945836474)	(44, 0.3057200251939329)	(46, 0.31893285371827323)	(48, 0.3308120509523063)	(50, 0.34198413763865215)	(52, 0.35299764438599457)	(54, 0.3660362949445443)	(56, 0.3786057048639119)	(58, 0.3897972890837418)	(60, 0.39966824036892035)	(62, 0.41163712625698)	(64, 0.4226792293867656)	(66, 0.4394172119650176)	(68, 0.4549489471383912)	(70, 0.4703338008928518)	(72, 0.4838585899529366)	(74, 0.4961368367056094)	(76, 0.5102595501258709)	(78, 0.5241118977484872)	(80, 0.5352007949586346)	(82, 0.547033198112306)	(84, 0.5611221158078619)	(86, 0.577320666626389)	(88, 0.5917670391024854)	(90, 0.6035266514644831)
ERR579123_2 - illumina_universal_adapter	(1, 2.0797369049625746e-05)	(2, 2.85963824432354e-05)	(3, 5.199342262406437e-05)	(4, 0.000142981912216177)	(5, 0.0001559802678721931)	(6, 0.0002157727038898671)	(7, 0.00023137073067708644)	(8, 0.00026256678425152504)	(9, 0.0003171598780067926)	(10, 0.00047314014587898574)	(12, 0.0007578041347457382)	(14, 0.0012114467471406997)	(16, 0.0017222821244221322)	(18, 0.002263013719712401)	(20, 0.002689359785229729)	(22, 0.0030442148946389688)	(24, 0.0034432644132786627)	(26, 0.003727928402145415)	(28, 0.003970997652912916)	(30, 0.0044038428962582515)	(32, 0.005045961665665446)	(34, 0.005972744423939394)	(36, 0.007331072589993075)	(38, 0.00944330538409569)	(40, 0.013245324413480399)	(42, 0.01991218102945105)	(44, 0.029485469970106905)	(46, 0.04164543168630995)	(48, 0.05868887562247825)	(50, 0.08351053558320658)	(52, 0.11723216966160913)	(54, 0.15996036437406524)	(56, 0.21070074551288964)	(58, 0.27066865933191986)	(60, 0.34292521858814773)	(62, 0.42765110042519183)	(64, 0.5232540062751901)	(66, 0.6275463128812353)	(68, 0.738345596328682)	(70, 0.8574001354532645)	(72, 0.9867129768615751)	(74, 1.1290683683351321)	(76, 1.2779190381300003)	(78, 1.4285894777167107)	(80, 1.5813500528929088)	(82, 1.7403420397706009)	(84, 1.9090983914170923)	(86, 2.0831866685536813)	(88, 2.2593494832529704)	(90, 2.3918092265656026)
ERR579123_2 - polya	(1, 0.015098889930028291)	(2, 0.020139652253431332)	(3, 0.023378842482910542)	(4, 0.028562586718529757)	(5, 0.032415299334972926)	(6, 0.036021043193951795)	(7, 0.039891953508313385)	(8, 0.04878282877702839)	(9, 0.060400759062375575)	(10, 0.07306895648472886)	(12, 0.08279042667986329)	(14, 0.09889408950210163)	(16, 0.12322441161903254)	(18, 0.14011317512289423)	(20, 0.15611155126431886)	(22, 0.1723750938611262)	(24, 0.18655889955297095)	(26, 0.20375312441474902)	(28, 0.21922116764540817)	(30, 0.23282264700386343)	(32, 0.24624864856096246)	(34, 0.26060793205416344)	(36, 0.2738571559743406)	(38, 0.28705958581415614)	(40, 0.30230665699866305)	(42, 0.31518672761820943)	(44, 0.3294953175243519)	(46, 0.34514663756976083)	(48, 0.3610631240705526)	(50, 0.37620750824537696)	(52, 0.39148837515458945)	(54, 0.41044257737219214)	(56, 0.42476546546955624)	(58, 0.4386386104612222)	(60, 0.4518878343813994)	(62, 0.464470242656423)	(64, 0.4790426991823826)	(66, 0.4948629978513198)	(68, 0.5091767870997248)	(70, 0.5268844470099154)	(72, 0.5449807577542211)	(74, 0.5592568517712235)	(76, 0.5738670035285856)	(78, 0.5869186524427914)	(80, 0.5990578167899447)	(82, 0.610956511557462)	(84, 0.6262789732047738)	(86, 0.6436070811298087)	(88, 0.6568810019257323)	(90, 0.6674187688560647)
ERR579123_2 - polyg	(1, 0.003551150765223596)	(2, 0.004185470521237181)	(3, 0.006044235380047482)	(4, 0.00844113216301685)	(5, 0.010487073343273782)	(6, 0.012587607617285983)	(7, 0.014077219175465427)	(8, 0.015496639613102384)	(9, 0.01718902551951568)	(10, 0.02075057496926409)	(12, 0.025956416409498532)	(14, 0.0294828702989757)	(16, 0.032593376807460356)	(18, 0.03557259992381924)	(20, 0.03832045230950104)	(22, 0.04122428496305503)	(24, 0.04388894787253833)	(26, 0.04656660913767764)	(28, 0.04958352748543898)	(30, 0.05251985602813301)	(32, 0.055461383913089454)	(34, 0.058491300616506814)	(36, 0.061408131625716816)	(38, 0.06424047332316273)	(40, 0.06700132406450054)	(42, 0.06968808417859906)	(44, 0.07220976517586619)	(46, 0.0748133358137662)	(48, 0.07739480924705101)	(50, 0.079819002576898)	(52, 0.0824628681173317)	(54, 0.0851366298757742)	(56, 0.08759981827258925)	(58, 0.09015659483012761)	(60, 0.09270557237427236)	(62, 0.09538713314610849)	(64, 0.09808169227360061)	(66, 0.10069176208932865)	(68, 0.10340711858587041)	(70, 0.10620826422974189)	(72, 0.10898601283343251)	(74, 0.11188464614472411)	(76, 0.11477937994931889)	(78, 0.11765461622042965)	(80, 0.12049215726013796)	(82, 0.12348437873215287)	(84, 0.12653899231131666)	(86, 0.12968069487337575)	(88, 0.13283669562665645)	(90, 0.1353128823791275)
