Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR579122_1	0.0	0.0
ERR579122_2	0.0	0.0
ERR579123_1	0.0	0.0
ERR579123_2	0.0	0.0
ERR579124_1	0.0	0.0
ERR579124_2	0.0	0.0
ERR579125_1	0.0	0.0
ERR579125_2	0.0	0.0
ERR579126_1	0.12628733146712345	0.0
ERR579126_2	0.0	0.0
ERR579127_1	0.0	0.0
ERR579127_2	0.0	0.0
ERR579128_1	2.9678656340509764	3.7961058164122785
ERR579128_2	0.38919124388433396	2.7179974204530106
ERR579129_1	0.0	0.0
ERR579129_2	0.0	0.0
ERR579130_1	3.0784499374927297	0.9703484356984982
ERR579130_2	0.7979667835334204	0.7694063355425617
ERR579131_1	0.0	0.0
ERR579131_2	0.0	0.0
ERR579132_1	0.0	0.0
ERR579132_2	0.0	0.0
ERR579133_1	0.0	0.0
ERR579133_2	0.0	0.0
ERR579134_1	0.0	0.0
ERR579134_2	0.0	0.0
ERR579135_1	0.0	0.0
ERR579135_2	0.0	0.0
ERR579136_1	0.0	0.0
ERR579136_2	0.0	0.0
ERR579138_1	0.0	0.0
ERR579138_2	0.0	0.0
ERR579139_1	0.0	0.0
ERR579139_2	0.0	0.0
ERR579140_1	0.0	0.0
ERR579140_2	0.0	0.0
ERR579141_1	0.9238028415600449	0.0
ERR579141_2	0.28391522918361317	0.0
ERR579142_1	21.590999092936713	9.836918057833955
ERR579142_2	7.898696931320694	5.3336174954589515
ERR579143_1	18.10315259926436	6.6133812927133455
ERR579143_2	5.165657105947983	1.2056737859232758
ERR579144_1	0.10788392184199677	0.0
ERR579144_2	0.0	0.0
ERR579145_1	0.0	0.0
ERR579145_2	0.0	0.0
ERR579146_1	0.0	0.0
ERR579146_2	0.0	0.0
ERR579147_1	0.0	0.0
ERR579147_2	0.0	0.0
ERR579148_1	0.16166967955054598	0.4048772115704502
ERR579148_2	0.15642903946736503	0.40435818291476183
ERR579149_1	1.9509875559504883	0.4234585781481379
ERR579149_2	0.6133164915785105	0.15557291254124983
ERR579150_1	0.0	0.0
ERR579150_2	0.0	0.0
ERR579151_1	0.0	0.0
ERR579151_2	0.0	0.0
ERR579152_1	0.8505667206648622	0.0
ERR579152_2	0.1853894276282525	0.0
ERR579153_1	0.0	0.0
ERR579153_2	0.0	0.0
ERR579154_1	0.0	0.0
ERR579154_2	0.0	0.0
ERR579155_1	3.072406246946925	3.7788155257713996
ERR579155_2	0.382179695222079	2.6989284569022454
