Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
ERR579122_1	(1, 0.008204869325012215)	(2, 0.023597696577937935)	(3, 0.006053298895361262)	(4, 8.563464396620706e-05)	(5, 8.028247871831912e-05)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.0704330495775883e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0023736852874383023)	(36, 0.0006114848795711974)	(38, 0.004374057048836421)	(40, 0.002360304874318582)	(42, 0.0008683888114698185)	(44, 0.0032942577100750284)	(46, 0.0005124698224852704)	(48, 0.0028366475813806093)	(50, 0.003169819868061634)	(52, 0.0024098124028615457)	(54, 0.005606393097162619)	(56, 0.0048544138798343635)	(58, 0.0002876788820739769)	(60, 0.001384872757891005)	(62, 8.162052003029112e-05)	(64, 0.0008911355137733423)	(66, 0.006561754593910617)	(68, 0.006216539935421845)	(70, 0.011121799385111144)	(72, 0.00479821614473154)	(74, 0.001854525258393172)	(76, 0.0002047203207317138)	(78, 0.0005860620946437296)	(80, 0.0009393050010043339)	(82, 5.887381772676736e-05)	(84, 0.003959264242125105)	(86, 0.004426240660003329)	(88, 0.0017260732924438613)	(90, 0.0033624978169855997)	(92, 0.00016993124662044215)	(94, 0.0026279131367129794)	(96, 0.001948188150231211)	(98, 0.0035096823613025175)	(100, 0.00016993124662044215)
ERR579122_2	(1, 0.04512410520494324)	(2, 0.0358648593260971)	(3, 0.030496637582465493)	(4, 0.02645842890293404)	(5, 0.023961643814794317)	(6, 0.00043620146770286726)	(7, 0.00015788887481269428)	(8, 3.4789074111271626e-05)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 2.6760826239439706e-06)	(22, 4.014123935915956e-06)	(24, 0.0)	(26, 7.894443740634714e-05)	(28, 0.001486563897600876)	(30, 0.0017140309206361134)	(32, 0.00386158722635115)	(34, 0.006093440134720422)	(36, 0.005855268781189409)	(38, 0.0027750976810298976)	(40, 0.0024994611707636685)	(42, 0.004246943124199082)	(44, 0.0035725703029652013)	(46, 0.00273629448298271)	(48, 0.0037478537148335316)	(50, 0.0018879762911924716)	(52, 0.0045426502541448905)	(54, 0.005326742462960474)	(56, 0.013420554359079014)	(58, 0.01739319901432384)	(60, 0.009929604576144105)	(62, 0.009486712901881376)	(64, 0.0019093849521840231)	(66, 0.002043189083381222)	(68, 0.0011841665610952071)	(70, 0.0002060583620436858)	(72, 8.028247871831913e-06)	(74, 0.0018371307213375363)	(76, 0.009822561271186345)	(78, 0.008650437081898886)	(80, 0.006746404294962751)	(82, 0.00565456258439361)	(84, 0.0025007992120756406)	(86, 0.0006342315818747211)	(88, 0.0012617729571895824)	(90, 0.0007185281845289562)	(92, 0.00045225796344653107)	(94, 0.00027429846895425707)	(96, 0.003957926200813133)	(98, 0.0016765657639008977)	(100, 0.0002381713535310134)
ERR579123_1	(1, 0.006967118631624625)	(2, 0.03443784347504903)	(3, 0.002212320132653939)	(4, 9.098848959211264e-05)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 2.3397040180828967e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 2.729654687763379e-05)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 4.28945736648531e-05)	(32, 0.0008617909799938668)	(34, 0.0004237463943861246)	(36, 0.0013791255351033073)	(38, 0.012153462538375046)	(40, 0.0035420519162643847)	(42, 0.008244856992611007)	(44, 0.004969271367294952)	(46, 0.010658651637933196)	(48, 0.005036862816706235)	(50, 0.005044661830099845)	(52, 0.002690659620795331)	(54, 0.0035043566848619386)	(56, 0.0031066070017878454)	(58, 0.002799845808305866)	(60, 0.0021265309853242325)	(62, 0.006622662206740198)	(64, 0.006889128497688529)	(66, 0.0035576499430516042)	(68, 0.009439405877398886)	(70, 0.017703760403493914)	(72, 0.001113959079720579)	(74, 0.0005459309375526758)	(76, 0.0031066070017878454)	(78, 0.003636939912553302)	(80, 0.0008526921310346555)	(82, 0.005042062158968641)	(84, 0.003974897159609721)	(86, 0.007041209258863916)	(88, 0.002537279024054341)	(90, 0.0026295673492120553)	(92, 0.0010515669725717019)	(94, 0.0017729757114805947)	(96, 0.0006330199204479836)	(98, 8.57891473297062e-05)	(100, 0.0002183723750210703)
ERR579123_2	(1, 0.04910778766842879)	(2, 0.03454702966255957)	(3, 0.029930013733542652)	(4, 0.030572132502949843)	(5, 0.02570554814533742)	(6, 0.003137803055362285)	(7, 0.00030676119348197975)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0002508682641611106)	(26, 0.0013713265217096975)	(28, 0.0022708127331060113)	(30, 0.00236700056496053)	(32, 0.0003535552738436377)	(34, 1.559802678721931e-05)	(36, 0.001483112380351436)	(38, 0.0011958487203534804)	(40, 0.0090481553721528)	(42, 0.01108369786788492)	(44, 0.004406442567389455)	(46, 0.001214046418271903)	(48, 0.0013518289882256734)	(50, 0.0005433312664214726)	(52, 0.0016143957724771988)	(54, 0.0005303329107654565)	(56, 0.008018685604196326)	(58, 0.012701993147058924)	(60, 0.010188111163185413)	(62, 0.012968459438007254)	(64, 0.005095355417158308)	(66, 0.0013310316191760478)	(68, 0.00027036579764513473)	(70, 0.0015286066251474924)	(72, 0.0005277332396342533)	(74, 0.00012218454316655127)	(76, 0.0060481348867442875)	(78, 0.007614436743294226)	(80, 0.0019679510463208364)	(82, 0.004925076958064497)	(84, 0.004692406391821809)	(86, 0.0007928996950169816)	(88, 0.0013583281660536814)	(90, 0.0025736744198911862)	(92, 0.000941080949495565)	(94, 0.00019237566370903817)	(96, 0.0019900482509360635)	(98, 0.0016767878796260759)	(100, 0.0007500051213521285)
ERR579124_1	(1, 0.010169817107157399)	(2, 0.04568493553753329)	(3, 3.58829183433957e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0002481901852084869)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 2.9902431952829754e-06)	(32, 0.0)	(34, 3.139755355047124e-05)	(36, 0.0015265191511919587)	(38, 0.005611191355948503)	(40, 2.541706715990529e-05)	(42, 0.0018988044290046892)	(44, 0.003826016168364567)	(46, 0.0058982547026956685)	(48, 0.0007565315284065927)	(50, 0.0035613796455820235)	(52, 0.003210026070136274)	(54, 0.0011602143597697944)	(56, 0.0005442242615415014)	(58, 0.0007251339748561215)	(60, 0.0009508973360999861)	(62, 0.0031083578014966524)	(64, 0.0008327827298863085)	(66, 0.0007460656772231023)	(68, 0.004249135580497107)	(70, 0.0061838229278451924)	(72, 0.002253148247645722)	(74, 0.0021410141278226102)	(76, 0.0)	(78, 0.0006653291109504619)	(80, 9.269753905377222e-05)	(82, 0.0)	(84, 0.0005651559639084822)	(86, 0.0017582629988263892)	(88, 0.00258357012072449)	(90, 0.0039994502736909795)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
ERR579124_2	(1, 0.07651434288090077)	(2, 0.03961474185110885)	(3, 0.04254817042568145)	(4, 0.04250929726414278)	(5, 0.037195635106124926)	(6, 0.019690751440938393)	(7, 0.0009807997680528159)	(8, 0.00020931702366980823)	(9, 0.0013725216266348855)	(10, 0.0013456094378773388)	(12, 0.00047245842485471004)	(14, 0.000674299840536311)	(16, 0.000242209698817921)	(18, 8.522193106556479e-05)	(20, 2.2426823964622313e-05)	(22, 0.001374016748232527)	(24, 0.0025686189047480754)	(26, 0.0015145581784108267)	(28, 0.005581288923995673)	(30, 0.004144477068662203)	(32, 0.0041295258526857885)	(34, 0.002435553082557983)	(36, 0.003897782005051358)	(38, 0.004314920930793333)	(40, 0.015837823083816278)	(42, 0.00924583195981496)	(44, 0.006751969134948958)	(46, 0.0059236717698555735)	(48, 0.008489300431408367)	(50, 0.0012678631147999815)	(52, 0.0034582162553447606)	(54, 0.002293516530782042)	(56, 0.0095284099417692)	(58, 0.015170998851268174)	(60, 0.01667210093530023)	(62, 0.018751815077619537)	(64, 0.007560829919273002)	(66, 0.009329558769282882)	(68, 0.005998427849737648)	(70, 0.006662261839090468)	(72, 0.0014098996665759228)	(74, 0.002057287318354687)	(76, 0.003772191790849473)	(78, 0.006303432655656512)	(80, 0.001928706860957519)	(82, 0.002785411536406091)	(84, 0.0012678631147999815)	(86, 0.00044106087130423884)	(88, 0.0)	(90, 0.000536748653553294)	(92, 0.0007475607988207437)	(94, 0.0)	(96, 0.003130784625461275)	(98, 0.0013545801674631876)	(100, 0.0010675168207160222)
ERR579125_1	(1, 0.007427079035010459)	(2, 0.021937635583838717)	(3, 0.005986595734625867)	(4, 0.00011365281085603192)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0003858909391855967)	(34, 0.0002709165840172854)	(36, 0.0008391806382974449)	(38, 0.007596236706982226)	(40, 0.012236178787395342)	(42, 0.0029060759427024904)	(44, 0.006605078472772645)	(46, 0.002101255456524311)	(48, 0.002266448495559241)	(50, 0.001888486822247321)	(52, 0.0038668386577296442)	(54, 0.0033368993885055883)	(56, 0.005866335202208438)	(58, 0.0004413958003013332)	(60, 0.0009422610946552412)	(62, 0.0004453604332381715)	(64, 0.00043478807873993604)	(66, 0.0021686542164505622)	(68, 0.00496372043692158)	(70, 0.007117837665937069)	(72, 0.0012356439319812771)	(74, 0.002512255737643217)	(76, 0.00033170762238213963)	(78, 9.647273479639918e-05)	(80, 9.250810185956085e-05)	(82, 0.000926402562907888)	(84, 0.0030514458170532287)	(86, 0.00047707749673287815)	(88, 0.00011761744379287023)	(90, 0.0011100972223147304)	(92, 0.0003092413690733892)	(94, 0.0005101161045398642)	(96, 0.0007955696759922234)	(98, 0.0010321261078902431)	(100, 4.096787368066267e-05)
ERR579125_2	(1, 0.039841917926600585)	(2, 0.7059927594172983)	(3, 0.023552562733444197)	(4, 0.021139422819221935)	(5, 0.016294641370405507)	(6, 0.002769956878537708)	(7, 0.0009752997024622274)	(8, 4.4932506617500985e-05)	(9, 1.0572354498235527e-05)	(10, 5.286177249117763e-06)	(12, 0.0)	(14, 2.6430886245588816e-06)	(16, 0.3410139374292115)	(18, 0.0)	(20, 1.585853174735329e-05)	(22, 0.0)	(24, 6.343412698941316e-05)	(26, 0.0013585475530232653)	(28, 0.0016083194280440798)	(30, 0.0002722381283295648)	(32, 0.0034783046299194883)	(34, 0.006661904878200661)	(36, 0.01113268928664201)	(38, 0.005608634061313947)	(40, 0.005420974768970266)	(42, 0.007609452150105021)	(44, 0.00397124065839972)	(46, 0.02075881805728546)	(48, 0.010383373661579567)	(50, 0.003384474983747648)	(52, 0.0034518737436738996)	(54, 0.004511752282122011)	(56, 0.013148044362868157)	(58, 0.01838664601674386)	(60, 0.012929989551342048)	(62, 0.008473742130335775)	(64, 0.0005457978009714091)	(66, 0.0025968345736291014)	(68, 0.004605581928293852)	(70, 0.003533809491035225)	(72, 0.0001651930390349301)	(74, 0.0034016550598072806)	(76, 0.013580189352983534)	(78, 0.013512790593057282)	(80, 0.009492652795103224)	(82, 0.0023272395339240955)	(84, 0.0006766306878870737)	(86, 0.00020483936840331334)	(88, 0.00043478807873993604)	(90, 0.00046518359792236324)	(92, 0.0009211163856587703)	(94, 6.47556713016926e-05)	(96, 0.0019149177084929097)	(98, 9.779427910867863e-05)	(100, 3.964632936838322e-06)
ERR579126_1	(1, 0.010573354697921356)	(2, 0.033226490534492864)	(3, 0.006584587135464305)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 1.7021767691850853e-05)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 1.1347845127900569e-05)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.00012624477704789382)	(34, 0.00027802220563356394)	(36, 3.546201602468928e-05)	(38, 0.0017319648626458242)	(40, 0.0022553842191702384)	(42, 0.0009120830521550082)	(44, 0.001537633014830527)	(46, 8.227187717727912e-05)	(48, 0.0023929768413460326)	(50, 0.0020156609908433386)	(52, 0.00035603864088788034)	(54, 0.0007461208171594625)	(56, 0.004272463690654565)	(58, 0.00033192446999109166)	(60, 0.001726290940081874)	(62, 0.0020497045262270405)	(64, 0.00010638604807406783)	(66, 0.0022568026998112255)	(68, 0.005404411242162646)	(70, 0.007683909632229674)	(72, 0.002923488601075384)	(74, 3.546201602468928e-05)	(76, 0.0)	(78, 0.0004439844406291098)	(80, 0.0005815770628049042)	(82, 0.0005971803498557675)	(84, 0.004449773770778011)	(86, 0.001726290940081874)	(88, 0.0018468617945658179)	(90, 0.0005007236662686127)	(92, 0.0007120772817757607)	(94, 5.673922563950284e-06)	(96, 0.00030355485717134024)	(98, 0.0011291105902261067)	(100, 3.262505474271414e-05)
ERR579126_2	(1, 0.04860282068279814)	(2, 0.06217768041704919)	(3, 0.05401290584752474)	(4, 0.04696589402309848)	(5, 0.04160971112272941)	(6, 0.0014780568279090492)	(7, 0.00023263082512196167)	(8, 0.00011347845127900569)	(9, 5.673922563950284e-06)	(10, 2.8369612819751422e-05)	(12, 1.418480640987571e-06)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.00013191869961184412)	(28, 0.0010993224967653678)	(30, 0.0016468560241865702)	(32, 0.0024596454314724484)	(34, 0.0027504339628749005)	(36, 0.0022369439708374)	(38, 0.0019348075943070471)	(40, 0.002207155877376661)	(42, 0.0034837884542654753)	(44, 0.0020454490843040776)	(46, 0.0007333544913905744)	(48, 0.0009716592390764863)	(50, 0.0010808822484325293)	(52, 0.0032667609161943765)	(54, 0.0017092691723900233)	(56, 0.01154075849507488)	(58, 0.015525270615608967)	(60, 0.010852795384195908)	(62, 0.009936456890117936)	(64, 0.002930581004280322)	(66, 0.0009262678585648839)	(68, 8.369035781826671e-05)	(70, 0.0001617067930725831)	(72, 3.6880496665676853e-05)	(74, 0.0005645552951130534)	(76, 0.006753386331741827)	(78, 0.005726406347666825)	(80, 0.003479533012342512)	(82, 0.0017220354981589115)	(84, 0.0007560501816463754)	(86, 0.0002624189185827007)	(88, 0.0006298054045984817)	(90, 0.0010695344033046286)	(92, 0.00035178319896491766)	(94, 0.000807115484721928)	(96, 0.0014340839280384346)	(98, 0.0012539368866330129)	(100, 0.00025248955409578765)
