Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
ERR579122_1	(1, 32.38668074607257)	(2, 32.5896639412906)	(3, 30.715119604569185)	(4, 35.362308564422435)	(5, 36.14276285299738)	(6, 36.37069112563368)	(7, 36.382250946222676)	(8, 36.36533938855901)	(9, 36.347033056631744)	(10, 36.33997676196893)	(12, 36.35582207465232)	(14, 38.278776799562536)	(16, 38.247804367869946)	(18, 38.228294735390826)	(20, 38.18745572086788)	(22, 38.11874689808573)	(24, 38.06973799063767)	(26, 37.956187255563265)	(28, 37.871390064893404)	(30, 37.754099825481944)	(32, 37.626675675966425)	(34, 37.52570290387612)	(36, 37.42242459294241)	(38, 37.34604051096693)	(40, 37.48766461052534)	(42, 37.366122597660556)	(44, 37.30302317856852)	(46, 37.35605830584595)	(48, 37.24004338036977)	(50, 37.05757850007389)	(52, 36.94571309493398)	(54, 36.77414132938258)	(56, 36.61343508816381)	(58, 36.40838464587961)	(60, 36.223837037379575)	(62, 35.98970082841349)	(64, 35.7058953083294)	(66, 35.48878531378701)	(68, 35.1891761610064)	(70, 34.94572028021582)	(72, 34.69399079491804)	(74, 34.45075020497455)	(76, 32.963988705432726)	(78, 33.8167739749038)	(80, 33.88395923694608)	(82, 33.75272545634836)	(84, 33.61451246564779)	(86, 33.42590997647349)	(88, 33.17477860902256)	(90, 33.06679603920504)	(92, 32.99514756642131)	(94, 32.76169909730916)	(96, 32.60002720505595)	(98, 32.33026535178953)	(100, 31.306290769115243)
ERR579122_2	(1, 31.609178283675142)	(2, 31.56776381772516)	(3, 31.565993455265293)	(4, 35.29091857445935)	(5, 35.30674688063767)	(6, 35.28967617634036)	(7, 35.25753923391355)	(8, 35.22318545140188)	(9, 35.21299578511635)	(10, 35.23334889207771)	(12, 35.17138014465512)	(14, 36.88227326475176)	(16, 36.861261078781354)	(18, 36.84184500215077)	(20, 36.77008782689086)	(22, 36.685600660392964)	(24, 36.60035620265374)	(26, 36.513470985136124)	(28, 36.36648305260959)	(30, 36.310015581758684)	(32, 36.28394832923331)	(34, 36.19925222758455)	(36, 36.07742772743799)	(38, 35.938732560170244)	(40, 35.81030030356946)	(42, 35.64129769776076)	(44, 35.73839411064863)	(46, 35.637766285608556)	(48, 35.47107792929222)	(50, 34.51220790089845)	(52, 34.46310079459851)	(54, 34.89602798154809)	(56, 34.794457305697534)	(58, 34.731989736473835)	(60, 34.79661591422449)	(62, 34.60485519261988)	(64, 34.36968047626992)	(66, 34.10190234953097)	(68, 33.84463441687384)	(70, 33.59226204286688)	(72, 33.34590364272113)	(74, 33.09051045312662)	(76, 32.826587169885805)	(78, 32.605540216249956)	(80, 32.397353538934624)	(82, 32.202164006185605)	(84, 32.017075400822314)	(86, 31.824393237068218)	(88, 31.641992301766635)	(90, 31.46401636274664)	(92, 31.260033222495345)	(94, 31.061939698545714)	(96, 30.84198492113076)	(98, 30.57422254313805)	(100, 29.50501044287722)
ERR579123_1	(1, 32.61656623790464)	(2, 32.72998968138535)	(3, 31.880478351966563)	(4, 36.25338544772732)	(5, 36.54587345882396)	(6, 36.62575932494236)	(7, 36.58932534998593)	(8, 36.53519296994853)	(9, 36.576386344821834)	(10, 36.55290363247887)	(12, 36.564127192653615)	(14, 38.73162501750879)	(16, 38.71829524277861)	(18, 38.72780855730627)	(20, 38.672806002349475)	(22, 38.62171721328565)	(24, 38.58716709001445)	(26, 38.52142798427428)	(28, 38.43711663299746)	(30, 38.29202660846592)	(32, 38.236707413565355)	(34, 38.16125111408907)	(36, 37.97396006915541)	(38, 37.90221175860369)	(40, 38.001510109965054)	(42, 38.01091232754692)	(44, 38.121086897023176)	(46, 38.02631263634625)	(48, 37.924209746770195)	(50, 37.82083631992218)	(52, 37.677608036872904)	(54, 37.549935652940164)	(56, 37.39291719340336)	(58, 37.192092715503115)	(60, 36.97976048138006)	(62, 36.80656950673112)	(64, 36.599198939937295)	(66, 36.30407111878719)	(68, 36.09079429415861)	(70, 35.84102897946998)	(72, 35.59424647544387)	(74, 35.33925327410381)	(76, 33.81476721868776)	(78, 34.740182900902305)	(80, 34.75965966301399)	(82, 34.64854467550437)	(84, 34.481151981349754)	(86, 34.35587756006514)	(88, 34.15620554237407)	(90, 34.073238494037554)	(92, 34.02056953387169)	(94, 33.87033834771766)	(96, 33.698432338515445)	(98, 33.52369446855495)	(100, 32.424963079470594)
ERR579123_2	(1, 32.16435859198068)	(2, 32.145898717228675)	(3, 32.14147925030892)	(4, 35.985448626806914)	(5, 35.98522073963555)	(6, 35.987442184613876)	(7, 35.97186329140619)	(8, 35.9606249391027)	(9, 35.9365254157888)	(10, 35.93960425830291)	(12, 35.906165858394246)	(14, 37.941028371146935)	(16, 37.885222712785946)	(18, 37.868035663016485)	(20, 37.81614705913243)	(22, 37.757901700403295)	(24, 37.68996650947668)	(26, 37.61149122491408)	(28, 37.53753830225462)	(30, 37.47017711871378)	(32, 37.44737269956401)	(34, 37.38441993434063)	(36, 37.30285638345607)	(38, 37.18374084304839)	(40, 37.0648146366892)	(42, 36.921130163349815)	(44, 37.02535278577119)	(46, 36.93200669342526)	(48, 36.797905946706116)	(50, 35.82368010017261)	(52, 35.815457197402694)	(54, 36.28881540369617)	(56, 36.334861909628984)	(58, 36.40361142154073)	(60, 36.24080907068932)	(62, 36.0133197140029)	(64, 35.78169621730173)	(66, 35.53109046793145)	(68, 35.29124378249654)	(70, 35.03888987127573)	(72, 34.78687811577085)	(74, 34.55337795547512)	(76, 34.31203478235189)	(78, 34.09625022396167)	(80, 33.894208060103566)	(82, 33.71925946080117)	(84, 33.54790100733097)	(86, 33.3958815334025)	(88, 33.23441438664243)	(90, 33.07467118579631)	(92, 32.925327345389505)	(94, 32.76899367822373)	(96, 32.5924141102454)	(98, 32.40055839376096)	(100, 31.375978269245024)
ERR579124_1	(1, 32.80617118017962)	(2, 32.82324917672624)	(3, 32.68332266015862)	(4, 36.72235980663413)	(5, 36.737130292311825)	(6, 36.747214797780615)	(7, 36.72404014389529)	(8, 36.72202887641971)	(9, 36.66107611795624)	(10, 36.68820822414959)	(12, 36.685286308011314)	(14, 38.99878488477516)	(16, 38.93638339833723)	(18, 38.894739836282994)	(20, 38.885813706174396)	(22, 38.835515543044906)	(24, 38.75803291456373)	(26, 38.68820314073616)	(28, 38.599033191579856)	(30, 38.4740222771922)	(32, 38.4367190531359)	(34, 38.3427622329653)	(36, 38.24874946534452)	(38, 38.26324248635612)	(40, 38.18476504881752)	(42, 38.083172104403985)	(44, 38.18336115953976)	(46, 38.133870287316924)	(48, 38.04263481272226)	(50, 37.94310062084625)	(52, 37.76123845526907)	(54, 37.59829572285182)	(56, 37.330750710122956)	(58, 37.180887690173485)	(60, 36.98587655809612)	(62, 36.7458163656967)	(64, 36.53266058742251)	(66, 36.319192463295366)	(68, 36.08379468798846)	(70, 35.82187939117213)	(72, 35.5860776938144)	(74, 35.34901341112112)	(76, 33.91239620566844)	(78, 34.79036762528281)	(80, 34.901460916205735)	(82, 34.834313525085264)	(84, 34.60911555902477)	(86, 34.46711553306946)	(88, 34.300480194184004)	(90, 34.267677630014575)	(92, 34.185032869949296)	(94, 34.07622055148696)	(96, 33.89856378918355)	(98, 33.69408432115021)	(100, 32.57940740317234)
ERR579124_2	(1, 32.10947920249975)	(2, 32.097244144027336)	(3, 32.1005870864075)	(4, 35.937050536545314)	(5, 35.914850821551376)	(6, 35.9106475563015)	(7, 35.88645233241361)	(8, 35.87548480812925)	(9, 35.870110414131936)	(10, 35.86757383568303)	(12, 35.84400539667131)	(14, 37.934271135397736)	(16, 37.89687119192529)	(18, 37.853569525068046)	(20, 37.803337954654516)	(22, 37.74304674264436)	(24, 37.68459965846638)	(26, 37.586075600644165)	(28, 37.51627232037131)	(30, 37.45870711871648)	(32, 37.40929490484089)	(34, 37.334154982391055)	(36, 37.23249502662752)	(38, 37.10865307306097)	(40, 36.97522544639547)	(42, 36.81460692535539)	(44, 36.88793719747709)	(46, 36.78726227267573)	(48, 36.62834564855026)	(50, 35.65594740233985)	(52, 35.61553402633615)	(54, 36.05834296390992)	(56, 35.95581172603535)	(58, 36.06554611588939)	(60, 35.94831868492932)	(62, 35.73748671434949)	(64, 35.50535939792769)	(66, 35.26455602543572)	(68, 35.0087797726554)	(70, 34.77919036534074)	(72, 34.56594972396467)	(74, 34.3336956212314)	(76, 34.12812555169987)	(78, 33.90290604093715)	(80, 33.731852034633235)	(82, 33.594568818294164)	(84, 33.44595470331764)	(86, 33.26803695258813)	(88, 33.15356024634341)	(90, 33.011510313229174)	(92, 32.86550741317171)	(94, 32.714165568450014)	(96, 32.5293767471991)	(98, 32.313176781742385)	(100, 31.21766310640338)
ERR579125_1	(1, 32.1710390753165)	(2, 32.45256480562568)	(3, 29.950069095622823)	(4, 34.915113164896695)	(5, 35.95063537736063)	(6, 36.23463271270441)	(7, 36.279105744795416)	(8, 36.28773508555308)	(9, 36.23445586364454)	(10, 36.256075562097735)	(12, 36.24237639411031)	(14, 38.08780849205345)	(16, 38.06638320598404)	(18, 38.04306088270068)	(20, 37.96781695998078)	(22, 37.90766529796966)	(24, 37.845594859340636)	(26, 37.74912357824298)	(28, 37.58244612777473)	(30, 37.46618786587615)	(32, 37.39001588866296)	(34, 37.290792028994474)	(36, 37.16319038399955)	(38, 37.10416736047743)	(40, 37.21201818212381)	(42, 37.07124766522766)	(44, 36.94761858243545)	(46, 36.783085218674884)	(48, 36.62853947891614)	(50, 36.71598529956397)	(52, 36.60194665063052)	(54, 36.44734654253877)	(56, 36.27880493487905)	(58, 36.06880888735378)	(60, 35.82154895089998)	(62, 35.5761345907246)	(64, 35.320531374994964)	(66, 35.04770903157127)	(68, 34.78977636932871)	(70, 34.586530690857906)	(72, 34.299514842581345)	(74, 34.06284551115272)	(76, 32.53077136638484)	(78, 33.389543277986)	(80, 33.48966897270863)	(82, 33.41015355446258)	(84, 33.246765877112665)	(86, 33.08094671681346)	(88, 32.79431798851229)	(90, 32.67966470253465)	(92, 32.578571729883535)	(94, 32.398151619404544)	(96, 32.1600130478713)	(98, 31.932230850849347)	(100, 30.985150691997603)
ERR579125_2	(1, 31.476967702831413)	(2, 31.27358517844707)	(3, 31.384408774377604)	(4, 35.16785764240089)	(5, 35.18134146474262)	(6, 35.11928443978838)	(7, 35.075332254741724)	(8, 35.10547987864206)	(9, 35.09317281221775)	(10, 35.10844348140867)	(12, 35.04553691490872)	(14, 36.72289121438398)	(16, 36.53036726456503)	(18, 36.593369180487116)	(20, 36.54396855898068)	(22, 36.50527392653335)	(24, 36.40852041643235)	(26, 36.34128954549554)	(28, 36.226533945557236)	(30, 36.15012668059469)	(32, 36.11378665686398)	(34, 36.039390980576364)	(36, 35.90190970818081)	(38, 35.781011953526885)	(40, 35.64073636819113)	(42, 35.48111049315699)	(44, 35.581158837891024)	(46, 35.38276920042657)	(48, 35.16462069140873)	(50, 34.25070221578577)	(52, 34.17078562954829)	(54, 34.601026340386895)	(56, 34.529754200158564)	(58, 34.47126879407813)	(60, 34.52556000175924)	(62, 34.3228251530269)	(64, 34.05283898906724)	(66, 33.817422296630454)	(68, 33.55706897488653)	(70, 33.29087822011452)	(72, 33.05012566036248)	(74, 32.78553549398428)	(76, 32.535727276494875)	(78, 32.32574058550333)	(80, 32.11896823388078)	(82, 31.93744738271321)	(84, 31.73624902747554)	(86, 31.555171726225495)	(88, 31.37747974574756)	(90, 31.200258763662525)	(92, 31.002722817392918)	(94, 30.780436434194336)	(96, 30.550248326105546)	(98, 30.28021280246581)	(100, 29.22391498833182)
ERR579126_1	(1, 32.4767610174739)	(2, 32.58924258892802)	(3, 31.451837660110648)	(4, 36.03541724877566)	(5, 36.412885302251134)	(6, 36.49635894459707)	(7, 36.473531846294684)	(8, 36.482468331072134)	(9, 36.50200968918735)	(10, 36.45225282102465)	(12, 36.44827151467037)	(14, 38.47605719574945)	(16, 38.466020126027466)	(18, 38.43763363328809)	(20, 38.41457432970478)	(22, 38.328250931381476)	(24, 38.23889648107011)	(26, 38.158207302037624)	(28, 38.085004495023306)	(30, 37.98862189868002)	(32, 37.85990112111887)	(34, 37.770520414730825)	(36, 37.661072562008385)	(38, 37.520899283817634)	(40, 37.51654284607304)	(42, 37.713984159486245)	(44, 37.72096511266722)	(46, 37.62846716740735)	(48, 37.50322254687461)	(50, 37.38603506660036)	(52, 37.19697460491271)	(54, 37.01627082404051)	(56, 36.80969879329568)	(58, 36.61796194233462)	(60, 36.39392762055007)	(62, 36.172823851400196)	(64, 35.90290867398926)	(66, 35.68842067017934)	(68, 35.450502756349024)	(70, 35.179098259373895)	(72, 34.92017407991601)	(74, 34.688045652267476)	(76, 33.1921631469481)	(78, 34.102410713523284)	(80, 34.17970227680044)	(82, 34.063878906804206)	(84, 33.926349236799254)	(86, 33.67575790768204)	(88, 33.42606024973827)	(90, 33.37875217563014)	(92, 33.2878031403062)	(94, 33.154179965986536)	(96, 32.95894339703361)	(98, 32.770267442893314)	(100, 31.663844939866774)
ERR579126_2	(1, 31.765103435750188)	(2, 31.71917232335469)	(3, 31.727810643501403)	(4, 35.50345461030748)	(5, 35.501968468139914)	(6, 35.495727465385315)	(7, 35.46919983478672)	(8, 35.44819020736003)	(9, 35.43673359313657)	(10, 35.442346577772184)	(12, 35.406895484048434)	(14, 37.27231222529172)	(16, 37.23044181161198)	(18, 37.19389040245501)	(20, 37.14179543846698)	(22, 37.06478500386805)	(24, 36.98589420296183)	(26, 36.90006748563498)	(28, 36.81251816541771)	(30, 36.728445172446534)	(32, 36.66832848766161)	(34, 36.61823151039563)	(36, 36.51319907584284)	(38, 36.40166224086522)	(40, 36.252227986265595)	(42, 36.10379055475161)	(44, 36.18814273308254)	(46, 36.08244754181986)	(48, 35.93450060672673)	(50, 34.98333146235737)	(52, 34.935954336611644)	(54, 35.35829368467169)	(56, 35.25355459191546)	(58, 35.38937543247701)	(60, 35.266026341809635)	(62, 35.03454062773953)	(64, 34.790959784570234)	(66, 34.53298292322363)	(68, 34.26776002303386)	(70, 34.009104248482856)	(72, 33.77119193765108)	(74, 33.544965878873725)	(76, 33.3019702866321)	(78, 33.07963435427342)	(80, 32.88788233975431)	(82, 32.71779531908764)	(84, 32.540794070569355)	(86, 32.37920257160327)	(88, 32.23083820602711)	(90, 32.0726355849756)	(92, 31.891822297397916)	(94, 31.700949329516824)	(96, 31.488789449613343)	(98, 31.26446272222946)	(100, 30.210313259250626)
