Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
ERR579122_1	(2.0, 52.0)	(3.0, 59.0)	(4.0, 132.0)	(5.0, 350.0)	(6.0, 762.0)	(7.0, 2078.0)	(8.0, 5386.0)	(9.0, 11396.0)	(10.0, 17660.0)	(11.0, 22245.0)	(12.0, 25804.0)	(13.0, 29762.0)	(14.0, 33545.0)	(15.0, 37691.0)	(16.0, 43368.0)	(17.0, 49461.0)	(18.0, 55110.0)	(19.0, 61127.0)	(20.0, 67327.0)	(21.0, 76269.0)	(22.0, 89126.0)	(23.0, 107899.0)	(24.0, 134686.0)	(25.0, 173252.0)	(26.0, 224577.0)	(27.0, 290959.0)	(28.0, 378992.0)	(29.0, 498231.0)	(30.0, 658311.0)	(31.0, 879480.0)	(32.0, 1196057.0)	(33.0, 1658692.0)	(34.0, 2355410.0)	(35.0, 3526076.0)	(36.0, 6063835.0)	(37.0, 11068523.0)	(38.0, 7515295.0)	(39.0, 9069.0)	
ERR579122_2	(2.0, 622027.0)	(3.0, 90929.0)	(4.0, 67495.0)	(5.0, 61343.0)	(6.0, 59609.0)	(7.0, 61958.0)	(8.0, 64218.0)	(9.0, 69940.0)	(10.0, 75672.0)	(11.0, 77985.0)	(12.0, 77958.0)	(13.0, 79654.0)	(14.0, 82944.0)	(15.0, 86677.0)	(16.0, 89311.0)	(17.0, 92392.0)	(18.0, 95828.0)	(19.0, 99785.0)	(20.0, 106693.0)	(21.0, 118185.0)	(22.0, 135756.0)	(23.0, 161959.0)	(24.0, 197287.0)	(25.0, 241317.0)	(26.0, 294575.0)	(27.0, 361449.0)	(28.0, 443709.0)	(29.0, 552614.0)	(30.0, 698734.0)	(31.0, 909213.0)	(32.0, 1209731.0)	(33.0, 1647332.0)	(34.0, 2272618.0)	(35.0, 3290338.0)	(36.0, 5534391.0)	(37.0, 10300379.0)	(38.0, 6922052.0)	(39.0, 13997.0)	
ERR579123_1	(2.0, 28.0)	(3.0, 41.0)	(4.0, 79.0)	(5.0, 185.0)	(6.0, 388.0)	(7.0, 1182.0)	(8.0, 3146.0)	(9.0, 7278.0)	(10.0, 12534.0)	(11.0, 16562.0)	(12.0, 19374.0)	(13.0, 21878.0)	(14.0, 23861.0)	(15.0, 26474.0)	(16.0, 29710.0)	(17.0, 33107.0)	(18.0, 36893.0)	(19.0, 41128.0)	(20.0, 45309.0)	(21.0, 51020.0)	(22.0, 58729.0)	(23.0, 70213.0)	(24.0, 86641.0)	(25.0, 110249.0)	(26.0, 142377.0)	(27.0, 183614.0)	(28.0, 238624.0)	(29.0, 316872.0)	(30.0, 424786.0)	(31.0, 580864.0)	(32.0, 808584.0)	(33.0, 1165626.0)	(34.0, 1741330.0)	(35.0, 2818584.0)	(36.0, 5460368.0)	(37.0, 12425845.0)	(38.0, 11441937.0)	(39.0, 20984.0)	
ERR579123_2	(2.0, 363734.0)	(3.0, 53328.0)	(4.0, 40846.0)	(5.0, 38152.0)	(6.0, 37077.0)	(7.0, 38168.0)	(8.0, 38678.0)	(9.0, 41321.0)	(10.0, 45887.0)	(11.0, 47336.0)	(12.0, 48066.0)	(13.0, 49841.0)	(14.0, 51962.0)	(15.0, 54887.0)	(16.0, 57166.0)	(17.0, 59912.0)	(18.0, 61745.0)	(19.0, 64475.0)	(20.0, 69705.0)	(21.0, 76791.0)	(22.0, 88547.0)	(23.0, 104888.0)	(24.0, 126064.0)	(25.0, 152040.0)	(26.0, 186599.0)	(27.0, 230497.0)	(28.0, 284337.0)	(29.0, 360052.0)	(30.0, 463748.0)	(31.0, 612940.0)	(32.0, 845984.0)	(33.0, 1196699.0)	(34.0, 1739812.0)	(35.0, 2696453.0)	(36.0, 5128318.0)	(37.0, 12301438.0)	(38.0, 10580607.0)	(39.0, 28304.0)	
ERR579124_1	(2.0, 22.0)	(3.0, 52.0)	(4.0, 53.0)	(5.0, 258.0)	(6.0, 393.0)	(7.0, 962.0)	(8.0, 2592.0)	(9.0, 5808.0)	(10.0, 10650.0)	(11.0, 13367.0)	(12.0, 15658.0)	(13.0, 17283.0)	(14.0, 18992.0)	(15.0, 20575.0)	(16.0, 23636.0)	(17.0, 27007.0)	(18.0, 29950.0)	(19.0, 32678.0)	(20.0, 37310.0)	(21.0, 40009.0)	(22.0, 44973.0)	(23.0, 53710.0)	(24.0, 65083.0)	(25.0, 81862.0)	(26.0, 104246.0)	(27.0, 133491.0)	(28.0, 174384.0)	(29.0, 230230.0)	(30.0, 310825.0)	(31.0, 426270.0)	(32.0, 600593.0)	(33.0, 876138.0)	(34.0, 1342897.0)	(35.0, 2302332.0)	(36.0, 4917071.0)	(37.0, 11775715.0)	(38.0, 9690840.0)	(39.0, 14181.0)	
ERR579124_2	(2.0, 453251.0)	(3.0, 58397.0)	(4.0, 40813.0)	(5.0, 36476.0)	(6.0, 35509.0)	(7.0, 35149.0)	(8.0, 34458.0)	(9.0, 36464.0)	(10.0, 39625.0)	(11.0, 40779.0)	(12.0, 41095.0)	(13.0, 41498.0)	(14.0, 42901.0)	(15.0, 44486.0)	(16.0, 45341.0)	(17.0, 47005.0)	(18.0, 48462.0)	(19.0, 50785.0)	(20.0, 55188.0)	(21.0, 61081.0)	(22.0, 69976.0)	(23.0, 83395.0)	(24.0, 101120.0)	(25.0, 121758.0)	(26.0, 150214.0)	(27.0, 184478.0)	(28.0, 229749.0)	(29.0, 290708.0)	(30.0, 374980.0)	(31.0, 502058.0)	(32.0, 694003.0)	(33.0, 990525.0)	(34.0, 1463153.0)	(35.0, 2362604.0)	(36.0, 4793029.0)	(37.0, 11337689.0)	(38.0, 8387201.0)	(39.0, 16693.0)	
ERR579125_1	(2.0, 42.0)	(3.0, 89.0)	(4.0, 161.0)	(5.0, 437.0)	(6.0, 1032.0)	(7.0, 2827.0)	(8.0, 7200.0)	(9.0, 13956.0)	(10.0, 21065.0)	(11.0, 26421.0)	(12.0, 30989.0)	(13.0, 35884.0)	(14.0, 40583.0)	(15.0, 45807.0)	(16.0, 51982.0)	(17.0, 58774.0)	(18.0, 65300.0)	(19.0, 72657.0)	(20.0, 79652.0)	(21.0, 91479.0)	(22.0, 107393.0)	(23.0, 130483.0)	(24.0, 164724.0)	(25.0, 212031.0)	(26.0, 274432.0)	(27.0, 355315.0)	(28.0, 460153.0)	(29.0, 597004.0)	(30.0, 781511.0)	(31.0, 1033965.0)	(32.0, 1385215.0)	(33.0, 1890058.0)	(34.0, 2624028.0)	(35.0, 3837699.0)	(36.0, 6352785.0)	(37.0, 10757888.0)	(38.0, 6218075.0)	(39.0, 5428.0)	
ERR579125_2	(2.0, 664771.0)	(3.0, 94925.0)	(4.0, 72821.0)	(5.0, 63336.0)	(6.0, 61241.0)	(7.0, 65116.0)	(8.0, 68820.0)	(9.0, 75005.0)	(10.0, 82192.0)	(11.0, 86377.0)	(12.0, 87340.0)	(13.0, 89092.0)	(14.0, 92781.0)	(15.0, 96612.0)	(16.0, 100261.0)	(17.0, 102139.0)	(18.0, 105028.0)	(19.0, 106661.0)	(20.0, 112371.0)	(21.0, 123407.0)	(22.0, 142161.0)	(23.0, 170514.0)	(24.0, 208164.0)	(25.0, 259584.0)	(26.0, 323719.0)	(27.0, 403470.0)	(28.0, 500602.0)	(29.0, 620330.0)	(30.0, 767613.0)	(31.0, 974788.0)	(32.0, 1293840.0)	(33.0, 1764522.0)	(34.0, 2421744.0)	(35.0, 3463017.0)	(36.0, 5714096.0)	(37.0, 10269559.0)	(38.0, 6176074.0)	(39.0, 10431.0)	
ERR579126_1	(2.0, 38.0)	(3.0, 60.0)	(4.0, 127.0)	(5.0, 323.0)	(6.0, 673.0)	(7.0, 1753.0)	(8.0, 4646.0)	(9.0, 9571.0)	(10.0, 15604.0)	(11.0, 19570.0)	(12.0, 23183.0)	(13.0, 25977.0)	(14.0, 29552.0)	(15.0, 32512.0)	(16.0, 37423.0)	(17.0, 42271.0)	(18.0, 47275.0)	(19.0, 52406.0)	(20.0, 57996.0)	(21.0, 65452.0)	(22.0, 76586.0)	(23.0, 92745.0)	(24.0, 114479.0)	(25.0, 146129.0)	(26.0, 187360.0)	(27.0, 241997.0)	(28.0, 311510.0)	(29.0, 409036.0)	(30.0, 536166.0)	(31.0, 713857.0)	(32.0, 964124.0)	(33.0, 1334366.0)	(34.0, 1915430.0)	(35.0, 2976218.0)	(36.0, 5531944.0)	(37.0, 11226500.0)	(38.0, 7992848.0)	(39.0, 11276.0)	
ERR579126_2	(2.0, 589980.0)	(3.0, 78507.0)	(4.0, 55907.0)	(5.0, 50304.0)	(6.0, 48368.0)	(7.0, 50010.0)	(8.0, 51447.0)	(9.0, 54105.0)	(10.0, 58825.0)	(11.0, 59676.0)	(12.0, 60600.0)	(13.0, 61977.0)	(14.0, 64377.0)	(15.0, 67501.0)	(16.0, 69897.0)	(17.0, 73237.0)	(18.0, 75391.0)	(19.0, 77889.0)	(20.0, 83400.0)	(21.0, 91601.0)	(22.0, 104800.0)	(23.0, 124436.0)	(24.0, 150507.0)	(25.0, 183529.0)	(26.0, 223746.0)	(27.0, 275501.0)	(28.0, 341462.0)	(29.0, 426924.0)	(30.0, 544254.0)	(31.0, 711925.0)	(32.0, 958279.0)	(33.0, 1325212.0)	(34.0, 1871591.0)	(35.0, 2821064.0)	(36.0, 5164078.0)	(37.0, 10949543.0)	(38.0, 7234018.0)	(39.0, 15115.0)	
