Sample	Unique Reads	Duplicate Reads
ERR579122_1	14393748.0	22974306.0
ERR579122_2	14726741.0	22641313.0
ERR579123_1	17010729.0	21455675.0
ERR579123_2	17642053.0	20824351.0
ERR579124_1	13641282.0	19800814.0
ERR579124_2	14334943.0	19107153.0
ERR579125_1	14229885.0	23604639.0
ERR579125_2	14789723.0	23044801.0
ERR579126_1	13881795.0	21367188.0
ERR579126_2	14684524.0	20564459.0
ERR579127_1	15880878.0	24332197.0
ERR579127_2	16773942.0	23439133.0
ERR579128_1	9516043.0	7215577.0
ERR579128_2	10060201.0	6671419.0
ERR579129_1	15468109.0	26475383.0
ERR579129_2	16452876.0	25490616.0
ERR579130_1	5970398.0	11007627.0
ERR579130_2	6778997.0	10199028.0
ERR579131_1	14380915.0	18637536.0
ERR579131_2	15130791.0	17887660.0
ERR579132_1	15605045.0	21177096.0
ERR579132_2	16415912.0	20366229.0
ERR579133_1	16347132.0	28410910.0
ERR579133_2	17122433.0	27635609.0
ERR579134_1	12848773.0	19729563.0
ERR579134_2	13534838.0	19043498.0
ERR579135_1	12905977.0	22211467.0
ERR579135_2	13877192.0	21240252.0
ERR579136_1	15739635.0	21153181.0
ERR579136_2	16520367.0	20372449.0
ERR579138_1	17318101.0	24083973.0
ERR579138_2	18272095.0	23129979.0
ERR579139_1	14199039.0	22483962.0
ERR579139_2	14998934.0	21684067.0
ERR579140_1	16801117.0	28285000.0
ERR579140_2	18053249.0	27032868.0
ERR579141_1	6155915.0	10374019.0
ERR579141_2	6501414.0	10028520.0
ERR579142_1	6870489.0	21474832.0
ERR579142_2	13849957.0	14495364.0
ERR579143_1	4187051.0	8918484.0
ERR579143_2	8242618.0	4862917.0
ERR579144_1	10171692.0	25037447.0
ERR579144_2	10851259.0	24357880.0
ERR579145_1	11762425.0	14579697.0
ERR579145_2	12534079.0	13808043.0
ERR579146_1	17364279.0	29263094.0
ERR579146_2	17925169.0	28702204.0
ERR579147_1	15297489.0	23135884.0
ERR579147_2	16050576.0	22382797.0
ERR579148_1	14645060.0	36989854.0
ERR579148_2	16066537.0	35568377.0
ERR579149_1	6779588.0	12284142.0
ERR579149_2	6966476.0	12097254.0
ERR579150_1	16631898.0	22207464.0
ERR579150_2	17492321.0	21347041.0
ERR579151_1	17536516.0	29337867.0
ERR579151_2	18558320.0	28316063.0
ERR579152_1	6163424.0	8814237.0
ERR579152_2	6126929.0	8850732.0
ERR579153_1	12300103.0	24509145.0
ERR579153_2	13057746.0	23751502.0
ERR579154_1	18396580.0	28118531.0
ERR579154_2	19425485.0	27089626.0
ERR579155_1	9672738.0	7369507.0
ERR579155_2	10221587.0	6820658.0
