Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR579122_1	(1.0, 25.80454621115847)	(2.0, 12.023087491576565)	(3.0, 7.0271583637619495)	(4.0, 4.827515523082468)	(5.0, 3.6411443197615467)	(6.0, 2.8876124150531766)	(7.0, 2.2976168139992463)	(8.0, 1.9897504653062879)	(9.0, 1.7197059163978838)	('>10', 19.162734584889215)	('>50', 5.552087013279116)	('>100', 8.541596123618875)	('>500', 2.2179906689482562)	('>1k', 1.8918815108942253)	('>5k', 0.17502936630961757)	('>10k+', 0.24054321196283926)
ERR579122_2	(1.0, 26.63837436993494)	(2.0, 12.090940192924002)	(3.0, 7.272136194537955)	(4.0, 4.836664821650376)	(5.0, 3.6742233902697143)	(6.0, 2.848385028623621)	(7.0, 2.310767747290672)	(8.0, 1.9156962293110142)	(9.0, 1.55060707989541)	('>10', 18.45650204586201)	('>50', 5.220604582962359)	('>100', 8.402570644141687)	('>500', 2.3343273551721744)	('>1k', 1.8778640038192733)	('>5k', 0.322294360014862)	('>10k+', 0.24804195358982356)
ERR579123_1	(1.0, 31.463198162061527)	(2.0, 12.583008353007601)	(3.0, 7.223282056536714)	(4.0, 4.771791690653113)	(5.0, 3.596790134807802)	(6.0, 2.790933371935557)	(7.0, 2.218867447270206)	(8.0, 1.7955351717612498)	(9.0, 1.5007328557566184)	('>10', 15.502020126153884)	('>50', 4.069093492765763)	('>100', 7.560442591277209)	('>500', 2.2890671028347094)	('>1k', 2.278976456157558)	('>5k', 0.23501321434955214)	('>10k+', 0.12124777267093392)
ERR579123_2	(1.0, 32.842169221943394)	(2.0, 13.288945333764197)	(3.0, 7.388376278467988)	(4.0, 4.882760512646946)	(5.0, 3.5608340657042254)	(6.0, 2.6781116032623666)	(7.0, 2.058466672176858)	(8.0, 1.676602666038776)	(9.0, 1.3984852338961289)	('>10', 13.834683788340469)	('>50', 3.751993243099631)	('>100', 7.047482278714143)	('>500', 2.5678521686783125)	('>1k', 2.620922433795317)	('>5k', 0.24914254608686567)	('>10k+', 0.15317195338424863)
ERR579124_1	(1.0, 27.1279506039689)	(2.0, 13.17484156360536)	(3.0, 7.693608494535903)	(4.0, 5.427224346105204)	(5.0, 3.919635276095787)	(6.0, 3.0450761490185836)	(7.0, 2.4627239404299237)	(8.0, 2.0610641894175394)	(9.0, 1.6637590323174518)	('>10', 17.095502201487697)	('>50', 4.199970223077097)	('>100', 7.270983092731531)	('>500', 1.9458280576984375)	('>1k', 2.2697199121567104)	('>5k', 0.35607807097849464)	('>10k+', 0.28603484637527166)
ERR579124_2	(1.0, 29.103502308094974)	(2.0, 13.428097029605823)	(3.0, 7.961717417985255)	(4.0, 5.381613753984732)	(5.0, 3.996024310268848)	(6.0, 3.104035428420676)	(7.0, 2.3522397809431923)	(8.0, 1.9515628514102192)	(9.0, 1.6005836887011973)	('>10', 15.4635245139373)	('>50', 3.899735948262607)	('>100', 6.892606099316347)	('>500', 1.898998900718256)	('>1k', 2.325636468031082)	('>5k', 0.3557863346079545)	('>10k+', 0.28433516571146933)
ERR579125_1	(1.0, 25.992478580330587)	(2.0, 10.863598327626582)	(3.0, 6.313633798891878)	(4.0, 4.442338668647164)	(5.0, 3.356957237995971)	(6.0, 2.6128217010599513)	(7.0, 2.170636363634064)	(8.0, 1.7986549921075)	(9.0, 1.5650731447768813)	('>10', 18.764707992238563)	('>50', 5.912855709494632)	('>100', 10.366588567305648)	('>500', 2.8550122512195837)	('>1k', 2.758455023755438)	('>5k', 0.226187640915773)	('>10k+', 0.0)
ERR579125_2	(1.0, 27.55006940441677)	(2.0, 10.97309147191326)	(3.0, 6.370790128971693)	(4.0, 4.3342494939417815)	(5.0, 3.2001840558362944)	(6.0, 2.5209160441780094)	(7.0, 2.0815629029143983)	(8.0, 1.7402404648966592)	(9.0, 1.529909424281301)	('>10', 17.810628801721126)	('>50', 5.632713531531282)	('>100', 10.267807289751854)	('>500', 2.8161304353932786)	('>1k', 2.9284237415736776)	('>5k', 0.24328280867845967)	('>10k+', 0.0)
ERR579126_1	(1.0, 27.540495339487276)	(2.0, 11.924012018537294)	(3.0, 6.665196126513277)	(4.0, 4.36648472184018)	(5.0, 3.1875581218681086)	(6.0, 2.418318930425021)	(7.0, 1.972849334600055)	(8.0, 1.582288201654349)	(9.0, 1.3925168931335696)	('>10', 13.855908144052059)	('>50', 4.335158959088472)	('>100', 9.586570413351433)	('>500', 3.3070300855523085)	('>1k', 5.600823618105936)	('>5k', 1.2849076951329705)	('>10k+', 0.9798813966577705)
ERR579126_2	(1.0, 29.831786301984952)	(2.0, 12.069961136654047)	(3.0, 6.9383087417263996)	(4.0, 4.356066244354306)	(5.0, 3.063392812203051)	(6.0, 2.3890575655469797)	(7.0, 1.8413246917423676)	(8.0, 1.4154773537024383)	(9.0, 1.1762725628075257)	('>10', 12.535843556946032)	('>50', 4.182736255380572)	('>100', 9.681212975955631)	('>500', 3.5302425154815125)	('>1k', 5.563268110867081)	('>5k', 1.1378589633904832)	('>10k+', 0.2871902112567636)
