Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR579122_1	61.481143189108565	47.0	101.0	101	20.0	37.368054
ERR579122_2	60.59002609255476	48.0	101.0	101	20.0	37.368054
ERR579123_1	55.77769945087759	46.0	101.0	101	20.0	38.466404
ERR579123_2	54.13646451936957	46.0	101.0	101	20.0	38.466404
ERR579124_1	59.209251673903765	49.0	101.0	101	20.0	33.442096
ERR579124_2	57.1350358673614	49.0	101.0	101	10.0	33.442096
ERR579125_1	62.389154736744544	49.0	101.0	101	20.0	37.834524
ERR579125_2	60.90945393730348	49.0	101.0	101	20.0	37.834524
ERR579126_1	60.61788529668704	48.0	101.0	101	18.181818181818183	35.248982999999996
ERR579126_2	58.340576078662224	48.0	101.0	101	9.090909090909092	35.248982999999996
ERR579127_1	60.508173183947605	46.0	101.0	101	20.0	40.213074999999996
ERR579127_2	58.28734544552341	46.0	101.0	101	20.0	40.213074999999996
ERR579128_1	43.12539607003638	48.0	101.0	101	20.0	16.73162
ERR579128_2	39.87312495864248	49.0	101.0	101	10.0	16.73162
ERR579129_1	63.12155319939629	46.0	101.0	101	20.0	41.943492
ERR579129_2	60.7737112135093	46.0	101.0	101	20.0	41.943492
ERR579130_1	64.83455624594907	49.0	101.0	101	36.36363636363637	16.978025
ERR579130_2	60.071937619612584	50.0	101.0	101	27.27272727272727	16.978025
ERR579131_1	56.445822167727364	47.0	101.0	101	20.0	33.018451
ERR579131_2	54.17474226904832	47.0	101.0	101	20.0	33.018451
ERR579132_1	57.57439771144829	46.0	101.0	101	20.0	36.782140999999996
ERR579132_2	55.3698869729287	46.0	101.0	101	20.0	36.782140999999996
ERR579133_1	63.476661054249284	49.0	101.0	101	20.0	44.758041999999996
ERR579133_2	61.74445586705175	49.0	101.0	101	10.0	44.758041999999996
ERR579134_1	60.56037967102918	47.0	101.0	101	20.0	32.578336
ERR579134_2	58.45448459744566	48.0	101.0	101	10.0	32.578336
ERR579135_1	63.24909955078853	47.0	101.0	101	20.0	35.117444
ERR579135_2	60.48348139740899	48.0	101.0	101	20.0	35.117444
ERR579136_1	57.33685685138051	47.0	101.0	101	20.0	36.892815999999996
ERR579136_2	55.220640010013035	47.0	101.0	101	20.0	36.892815999999996
ERR579138_1	58.17093403846316	44.0	101.0	101	20.0	41.402074
ERR579138_2	55.86671801685667	45.0	101.0	101	20.0	41.402074
ERR579139_1	61.29259362593512	47.0	101.0	101	20.0	36.683001
ERR579139_2	59.11203351398137	47.0	101.0	101	20.0	36.683001
ERR579140_1	62.73549963640801	46.0	101.0	101	20.0	45.086116999999994
ERR579140_2	59.95829765598607	46.0	101.0	101	20.0	45.086116999999994
ERR579141_1	62.758989250679555	50.0	101.0	101	27.27272727272727	16.529934
ERR579141_2	60.66884537645312	50.0	101.0	101	27.27272727272727	16.529934
ERR579142_1	75.76147361046286	47.0	101.0	101	60.0	28.345321
ERR579142_2	51.1384741552542	48.0	101.0	101	60.0	28.345321
ERR579143_1	68.0512842783922	47.0	101.0	101	63.63636363636363	13.105535
ERR579143_2	37.10582641947755	49.0	101.0	101	54.54545454545454	13.105535
ERR579144_1	71.11064972069536	47.0	101.0	101	18.181818181818183	35.209139
ERR579144_2	69.18056371057153	47.0	101.0	101	18.181818181818183	35.209139
ERR579145_1	55.347468920226355	49.0	101.0	101	18.181818181818183	26.342122
ERR579145_2	52.41811281438994	49.0	101.0	101	9.090909090909092	26.342122
ERR579146_1	62.75947579661575	47.0	101.0	101	20.0	46.627373
ERR579146_2	61.556555030572135	48.0	101.0	101	20.0	46.627373
ERR579147_1	60.197381693063434	46.0	101.0	101	20.0	38.433372999999996
ERR579147_2	58.23792035293518	46.0	101.0	101	20.0	38.433372999999996
ERR579148_1	71.63729187936676	47.0	101.0	101	20.0	51.634913999999995
ERR579148_2	68.8843553889343	48.0	101.0	101	10.0	51.634913999999995
ERR579149_1	64.4372463603364	50.0	101.0	101	45.45454545454545	19.06373
ERR579149_2	63.45691265087726	51.0	101.0	101	27.27272727272727	19.06373
ERR579150_1	57.177728184393686	47.0	101.0	101	20.0	38.839362
ERR579150_2	54.96239003643336	48.0	101.0	101	20.0	38.839362
ERR579151_1	62.58827416916895	47.0	101.0	101	20.0	46.874382999999995
ERR579151_2	60.408396993666564	48.0	101.0	101	20.0	46.874382999999995
ERR579152_1	58.84922350663281	49.0	101.0	101	36.36363636363637	14.977661
ERR579152_2	59.0928861728506	49.0	101.0	101	36.36363636363637	14.977661
ERR579153_1	66.58420478053266	47.0	101.0	101	20.0	36.809248
ERR579153_2	64.52591144278577	47.0	101.0	101	20.0	36.809248
ERR579154_1	60.4503163307344	47.0	101.0	101	18.181818181818183	46.515111
ERR579154_2	58.2383351780973	48.0	101.0	101	18.181818181818183	46.515111
ERR579155_1	43.24258578127175	48.0	101.0	101	20.0	17.042244999999998
ERR579155_2	40.02206616786632	49.0	101.0	101	10.0	17.042244999999998
