.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR10898041_1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.25
SRR10898041_2	1	1	1	0.5	0.5	1	1	0.5	0.5	0.25
SRR10898042_1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10898042_2	1	1	1	0.5	0.25	1	1	0.5	0.5	0.25
SRR10898043_1	1	1	1	0.25	0.25	1	1	0.25	0.5	0.25
SRR10898043_2	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10898044_1	1	1	1	0.25	0.25	1	1	0.25	0.5	0.25
SRR10898044_2	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10898045_1	1	1	1	0.25	0.25	1	1	0.25	0.5	0.25
SRR10898045_2	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10898046_1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10898046_2	1	1	1	0.5	0.25	1	1	0.5	0.5	0.25
SRR10898047_1	1	1	1	0.25	0.25	1	1	0.25	0.5	0.25
SRR10898047_2	1	1	1	0.5	0.25	1	1	0.5	0.5	0.25
SRR10898048_1	1	1	1	0.25	0.25	1	1	0.5	0.5	0.25
SRR10898048_2	1	1	1	0.5	0.25	1	1	0.5	0.5	0.25
SRR10898049_1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10898049_2	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10898050_1	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10898050_2	1	1	1	0.5	0.25	1	1	0.25	0.5	0.25
SRR10898051_1	1	1	1	0.25	0.25	1	1	0.25	0.5	0.25
SRR10898051_2	1	1	1	0.5	0.25	1	1	0.5	0.5	0.25
SRR10898052_1	1	1	1	0.25	0.25	1	1	0.5	0.5	0.25
SRR10898052_2	1	1	1	0.25	0.25	1	1	0.5	0.5	0.25
SRR10898053_1	1	1	1	0.25	0.5	1	1	0.5	0.5	0.25
SRR10898053_2	1	1	1	0.5	0.5	1	1	0.5	0.5	0.25
SRR10898054_1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR10898054_2	1	1	1	0.5	0.5	1	1	1	1	0.25
SRR10898055_1	1	1	1	0.25	0.25	1	1	1	1	0.25
SRR10898055_2	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR10898056_1	1	1	1	0.5	0.25	1	1	0.5	0.5	0.25
SRR10898056_2	1	1	1	0.5	0.25	1	1	1	0.5	0.25
SRR10898057_1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR10898057_2	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR10898058_1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR10898058_2	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR10898059_1	1	1	1	0.5	0.25	1	1	0.5	0.5	0.25
SRR10898059_2	1	1	1	0.5	0.25	1	1	0.5	0.5	0.25
SRR10898060_1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR10898060_2	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR10898061_1	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR10898061_2	1	1	1	0.25	0.5	1	1	1	1	0.25
SRR10898063_1	1	1	1	0.25	0.25	1	1	1	1	0.25
SRR10898063_2	1	1	1	0.5	0.25	1	1	1	1	0.25
SRR10898064_1	1	1	1	0.5	0.25	1	1	0.5	0.5	0.25
SRR10898064_2	1	1	1	0.5	0.25	1	1	1	0.5	0.25
SRR10898065_1	1	1	1	0.5	0.25	1	1	0.5	0.5	0.25
SRR10898065_2	1	1	1	0.5	0.25	1	1	0.5	0.5	0.25
SRR10898066_1	1	1	1	0.5	0.25	1	1	0.5	0.5	0.25
SRR10898066_2	1	1	1	0.5	0.25	1	1	1	0.5	0.25
SRR10898067_1	1	1	1	0.25	0.25	1	1	1	0.5	0.25
SRR10898067_2	1	1	1	0.25	0.25	1	1	1	0.5	0.25
SRR10898068_1	1	1	1	0.5	0.25	1	1	0.5	0.5	0.25
SRR10898068_2	1	1	1	0.5	0.25	1	1	1	0.5	0.25
