Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR10898041_1 - illumina_universal_adapter	(1, 2.8282246639856983e-05)	(2, 3.1817527469839105e-05)	(3, 4.59586507897676e-05)	(4, 9.545258240951732e-05)	(5, 0.00010252314406948156)	(6, 0.00014848179485924917)	(7, 0.00016262291817917764)	(8, 0.0001696934798391419)	(9, 0.000201511007308981)	(10, 0.00031888233086438747)	(15, 0.0006858444810165319)	(20, 0.0013511843332191672)	(25, 0.0023870216164039297)	(30, 0.003752347072943025)	(35, 0.005458473601492398)	(40, 0.008211750311882473)	(45, 0.011850968398266073)	(50, 0.01724863516948278)	(55, 0.02487140769509023)	(60, 0.037827504880808716)	(65, 0.058848284695882415)	(70, 0.09740617859616543)	(75, 0.16799866620924847)	(80, 0.2970166189309481)	(85, 0.5380259048409873)	(90, 0.9475026351983307)	(95, 1.686439963719534)	(100, 2.8030591209255533)	(105, 4.597774837681116)	(110, 6.879910328308803)	(115, 10.081756904474167)	(120, 13.57815035238265)	(125, 17.969148028430446)	(130, 22.202175922927484)	(135, 27.03838565501825)	(140, 29.648222588068794)
SRR10898041_1 - polya	(1, 0.0014282534553127777)	(2, 0.008113469504808972)	(3, 0.011068964278674027)	(4, 0.016499155633526566)	(5, 0.020144030169238134)	(6, 0.025570686243260695)	(7, 0.031248347256211985)	(8, 0.043812735325968445)	(9, 0.058618491441933575)	(10, 0.08941785803273784)	(15, 0.13544792149527107)	(20, 0.18036790677718992)	(25, 0.24069606002850286)	(30, 0.2960210838492251)	(35, 0.33155984792070337)	(40, 0.36610661219128865)	(45, 0.4047224846971834)	(50, 0.4434260321676617)	(55, 0.48859207299534735)	(60, 0.5235248899325666)	(65, 0.5621704587974332)	(70, 0.6068168133431114)	(75, 0.6528292004014947)	(80, 0.6933647303980698)	(85, 0.7409510244819612)	(90, 0.7818429107861984)	(95, 0.833496191936901)	(100, 0.8680429562074865)	(105, 0.9023443719884711)	(110, 0.935576718846469)	(115, 0.9623147548197897)	(120, 0.9877086770215513)	(125, 1.0112034463614465)	(130, 1.0381359227804166)	(135, 1.0677849089891445)	(140, 1.0819125982419189)
SRR10898041_2 - illumina_universal_adapter	(1, 2.474696580987486e-05)	(2, 2.8282246639856983e-05)	(3, 4.242336995978547e-05)	(4, 7.424089742962459e-05)	(5, 7.77761782596067e-05)	(6, 0.00010605842489946368)	(7, 0.00012019954821939217)	(8, 0.0001237348290493743)	(9, 0.00014494651402926703)	(10, 0.00026797428691264493)	(15, 0.000646249335720732)	(20, 0.0014947167349164416)	(25, 0.0030318568397926684)	(30, 0.005143833607623989)	(35, 0.007736608568332878)	(40, 0.011538449572895652)	(45, 0.016151283999856325)	(50, 0.022532465897974058)	(55, 0.03115006644913848)	(60, 0.04504513422330021)	(65, 0.06690377559507968)	(70, 0.1055585361901042)	(75, 0.17526932476418972)	(80, 0.3012377442419467)	(85, 0.5347034479169702)	(90, 0.9291665476455455)	(95, 1.6368456301242127)	(100, 2.70128333522353)	(105, 4.401501702449837)	(110, 6.547812410645777)	(115, 9.539089175903413)	(120, 12.786728244659535)	(125, 16.831991717826895)	(130, 20.684850360047143)	(135, 25.033056996928828)	(140, 27.360750944556333)
SRR10898041_2 - polya	(1, 0.001640370305111705)	(2, 0.008583661855196593)	(3, 0.011426027642502222)	(4, 0.0156825057618007)	(5, 0.019062234235263605)	(6, 0.02311366606642312)	(7, 0.028649915846175125)	(8, 0.03971534484401917)	(9, 0.05344991086849971)	(10, 0.082466081808661)	(15, 0.12647537874877643)	(20, 0.17045427227375404)	(25, 0.23109635846276938)	(30, 0.28665541787443644)	(35, 0.32246569151365734)	(40, 0.35734123690143094)	(45, 0.3952818707687991)	(50, 0.4327664534090996)	(55, 0.4774580595494016)	(60, 0.5114943292681374)	(65, 0.5477295436631222)	(70, 0.5893525260429999)	(75, 0.6325183049770815)	(80, 0.6712600334805237)	(85, 0.7181781594875483)	(90, 0.7566101973902839)	(95, 0.8044800209967399)	(100, 0.8371799545617427)	(105, 0.8693418183844219)	(110, 0.9006615783133995)	(115, 0.9260038854150434)	(120, 0.9503874243555961)	(125, 0.9728230235588287)	(130, 0.9988490539729911)	(135, 1.0278913859912941)	(140, 1.0437598475247518)
SRR10898042_1 - illumina_universal_adapter	(1, 7.457916633750553e-05)	(2, 8.562793172083968e-05)	(3, 0.00012706080190834275)	(4, 0.00019059120286251413)	(5, 0.00020716435093751537)	(6, 0.00027898132592918737)	(7, 0.0003038410480416892)	(8, 0.0003756580230333612)	(9, 0.00048338348552086916)	(10, 0.0008153988852900605)	(15, 0.002038497213225151)	(20, 0.0045018194554395)	(25, 0.007887161168893084)	(30, 0.01251051704354926)	(35, 0.018659707417643882)	(40, 0.026774473153433655)	(45, 0.03674985097977689)	(50, 0.050422145703383735)	(55, 0.06918736883043845)	(60, 0.09888700261910983)	(65, 0.1455056108392808)	(70, 0.2243330274666783)	(75, 0.361948162507451)	(80, 0.5988336923261353)	(85, 1.0257983147318162)	(90, 1.7191006084002658)	(95, 2.9394428218104833)	(100, 4.6814315001405955)	(105, 7.3098322410708025)	(110, 10.456455434528607)	(115, 14.521333784859547)	(120, 18.66776638711449)	(125, 23.598367434426955)	(130, 28.11770912688789)	(135, 32.90204938024713)	(140, 35.356993896109564)
SRR10898042_1 - polya	(1, 0.0010993521556417482)	(2, 0.005535431457050411)	(3, 0.00784462342216725)	(4, 0.01199067263226339)	(5, 0.014924119841538607)	(6, 0.018967967971838907)	(7, 0.023453766717472572)	(8, 0.03334241173555664)	(9, 0.0445237623034908)	(10, 0.06795322173712005)	(15, 0.09953446027057321)	(20, 0.13172559065318643)	(25, 0.17040676582197017)	(30, 0.20867803179503214)	(35, 0.2345763378535674)	(40, 0.2592675662939734)	(45, 0.28651437416754455)	(50, 0.3133606642959699)	(55, 0.34645779344001654)	(60, 0.3727494355461985)	(65, 0.4013696049569181)	(70, 0.43554951310853146)	(75, 0.46773732886152974)	(80, 0.49530068386333337)	(85, 0.5264753278306799)	(90, 0.5557479268372855)	(95, 0.594524673826635)	(100, 0.6205931308720736)	(105, 0.6462450494625603)	(110, 0.6706374087993472)	(115, 0.6898744142082703)	(120, 0.7083319292193992)	(125, 0.7253160913666605)	(130, 0.7454828503825912)	(135, 0.7687775148785437)	(140, 0.7805483170796788)
SRR10898042_2 - illumina_universal_adapter	(1, 7.1816974991672e-05)	(2, 7.457916633750553e-05)	(3, 0.00011048765383334153)	(4, 0.00017401805478751292)	(5, 0.00018506682017084707)	(6, 0.0002458350297791849)	(7, 0.00027069475189168675)	(8, 0.0003259385788083575)	(9, 0.00043642623264169905)	(10, 0.0007750708916408908)	(15, 0.0020296582009184843)	(20, 0.004885764052510362)	(25, 0.009953832733845739)	(30, 0.017070894955520433)	(35, 0.026282250655606115)	(40, 0.03755033403179945)	(45, 0.051007730268700445)	(50, 0.06829518102573423)	(55, 0.09063302243949005)	(60, 0.1234091849491508)	(65, 0.1728711929407228)	(70, 0.2532277586971738)	(75, 0.39003964849457806)	(80, 0.6203174641757594)	(85, 1.030828817610848)	(90, 1.6922642621606854)	(95, 2.8463304564189738)	(100, 4.4802108325410455)	(105, 6.928995661702272)	(110, 9.83637496637032)	(115, 13.557729522908787)	(120, 17.319826954236568)	(125, 21.746266760286538)	(130, 25.741177146512705)	(135, 29.90894104765498)	(140, 32.02426087902872)
SRR10898042_2 - polya	(1, 0.0015993087892376186)	(2, 0.006753557840563001)	(3, 0.008888731750892326)	(4, 0.011971337292842554)	(5, 0.014763912743480262)	(6, 0.017669738039297143)	(7, 0.022230115951268316)	(8, 0.03027637934168141)	(9, 0.04128371185482806)	(10, 0.06281554583386965)	(15, 0.09339024184090108)	(20, 0.12517477765740762)	(25, 0.16318805495876879)	(30, 0.20188690815216578)	(35, 0.2279056457533794)	(40, 0.2523974439786162)	(45, 0.2792470487366565)	(50, 0.3061303522291161)	(55, 0.3391302522377893)	(60, 0.3646501380819454)	(65, 0.39189086913455573)	(70, 0.4241709420785048)	(75, 0.45475779172745784)	(80, 0.48132952003610735)	(85, 0.511546788482988)	(90, 0.5387145976840684)	(95, 0.5748915701787192)	(100, 0.599591637631432)	(105, 0.6234928793469295)	(110, 0.646320181067167)	(115, 0.6651218651199868)	(120, 0.6836992592355248)	(125, 0.7007900419687353)	(130, 0.7209363607687067)	(135, 0.7448210293361294)	(140, 0.7599396074484147)
SRR10898043_1 - illumina_universal_adapter	(1, 3.75606581153151e-05)	(2, 4.069071295825803e-05)	(3, 6.886120654474435e-05)	(4, 0.000125202193717717)	(5, 0.00014398252277537455)	(6, 0.00021597378416306182)	(7, 0.00024101422290660524)	(8, 0.0003004852649225208)	(9, 0.0003881268005249227)	(10, 0.0007192866029082842)	(15, 0.0020257714943526612)	(20, 0.004860975171090362)	(25, 0.008515001194741934)	(30, 0.013544373316382623)	(35, 0.019733117751849376)	(40, 0.02817800571810939)	(45, 0.038577299928302965)	(50, 0.052775228695892074)	(55, 0.07162880103687448)	(60, 0.10097118715655864)	(65, 0.1459813757980779)	(70, 0.21818360288217953)	(75, 0.3441107173015221)	(80, 0.5580850224309121)	(85, 0.9370338761453576)	(90, 1.5550081159192024)	(95, 2.6473434191629845)	(100, 4.220508357215129)	(105, 6.619080651559729)	(110, 9.56695440843497)	(115, 13.509883868079205)	(120, 17.6369857546822)	(125, 22.65968898147452)	(130, 27.37956128024502)	(135, 32.460353316834606)	(140, 35.12863993295172)
SRR10898043_1 - polya	(1, 0.0014398252277537456)	(2, 0.006141167601854019)	(3, 0.008194483578824577)	(4, 0.011590593083417651)	(5, 0.01397569487374016)	(6, 0.017018108181080686)	(7, 0.020996407886461142)	(8, 0.029197151574971606)	(9, 0.03877511939437696)	(10, 0.058005550338449695)	(15, 0.08527959621791717)	(20, 0.11263377150136397)	(25, 0.1458987423502242)	(30, 0.1780588038395256)	(35, 0.20015761704167123)	(40, 0.22115152088425805)	(45, 0.24469454139093752)	(50, 0.267855695206778)	(55, 0.29625092673098763)	(60, 0.31856195765148476)	(65, 0.3431134818285605)	(70, 0.37219795142918616)	(75, 0.39971175950962307)	(80, 0.4231752766232918)	(85, 0.4510452849448557)	(90, 0.47674553924929136)	(95, 0.5103009791875767)	(100, 0.5323284271393033)	(105, 0.554024089277678)	(110, 0.5747369141953684)	(115, 0.5911772142524419)	(120, 0.606379264613647)	(125, 0.6206210141490373)	(130, 0.6369098195517123)	(135, 0.6557702780133491)	(140, 0.6651585645092722)
