Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR10898041_1	0.16296584041968593	0.32040250162127976
SRR10898041_2	0.14550155311957425	0.0
SRR10898042_1	0.3183287416505861	3.780788075288497
SRR10898042_2	0.2921680274141967	2.447188282563336
SRR10898043_1	0.4144223912604862	5.842904675869987
SRR10898043_2	0.38818314151209565	4.33109444683824
SRR10898044_1	0.4834538840506419	7.888994446563121
SRR10898044_2	0.42617244930450504	6.093222061107878
SRR10898045_1	0.32592045675766096	3.2350661808307724
SRR10898045_2	0.287365019887089	2.1837239696847153
SRR10898046_1	0.5684068508851097	3.372021167589936
SRR10898046_2	0.44829029007634535	2.730817002826701
SRR10898047_1	0.41351165301740733	4.2834953556710005
SRR10898047_2	0.36338102665298494	2.905805587547126
SRR10898048_1	0.4330313812871581	4.889091583096616
SRR10898048_2	0.37992827549565333	3.755971807547554
SRR10898049_1	0.5404269222062883	6.588649115659296
SRR10898049_2	0.4717504332862399	4.709412606257046
SRR10898050_1	0.8346952782914748	9.822342251765104
SRR10898050_2	0.7194501876865225	7.657294215256455
SRR10898051_1	0.40807943254748696	5.9493860408790455
SRR10898051_2	0.3529029667358857	4.146023252764874
SRR10898052_1	0.3616895903380401	4.356574610577041
SRR10898052_2	0.3404793495458743	2.890562078017093
SRR10898053_1	0.21374368876276992	1.4287191633722107
SRR10898053_2	0.19235189215935122	0.4789109880017779
SRR10898054_1	0.0	0.0
SRR10898054_2	0.0	0.0
SRR10898055_1	0.0	0.0
SRR10898055_2	0.0	0.0
SRR10898056_1	0.32509999650287186	0.28518526313357556
SRR10898056_2	0.2912585562937151	0.26644002322346283
SRR10898057_1	0.0	0.0
SRR10898057_2	0.0	0.0
SRR10898058_1	0.0	0.0
SRR10898058_2	0.0	0.0
SRR10898059_1	0.5809199854063632	2.3729776140251486
SRR10898059_2	0.4887985361155426	1.6171317711454978
SRR10898060_1	0.0	0.0
SRR10898060_2	0.0	0.0
SRR10898061_1	0.0	0.0
SRR10898061_2	0.0	0.0
SRR10898063_1	0.0	0.0
SRR10898063_2	0.0	0.0
SRR10898064_1	0.3108834182232484	0.3615300149399212
SRR10898064_2	0.2701141826548139	0.23746459987358903
SRR10898065_1	0.36066476724270824	0.318243402304591
SRR10898065_2	0.3051457572194177	0.2893974403782881
SRR10898066_1	0.3471000518777886	0.2698421568059759
SRR10898066_2	0.3069213545893273	0.2481287784646234
SRR10898067_1	0.1392725268943181	0.0
SRR10898067_2	0.12893127290653295	0.0
SRR10898068_1	0.3752049152484635	0.4177286326771859
SRR10898068_2	0.3290009820992118	0.3919703424197635
