Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR10898041_1	(1, 2.249099705383837)	(2, 0.0)	(3, 0.00477969968213583)	(4, 0.0)	(5, 0.0)	(6, 1.414112331992849e-05)	(7, 0.0)	(8, 0.0)	(9, 0.04375263555185875)	(10, 0.00039807262145598706)	(15, 6.151388644168894e-05)	(20, 0.0005048381025214471)	(25, 0.003453969370892534)	(30, 0.00526615432434137)	(35, 0.003409424832434759)	(40, 0.004172338435544901)	(45, 0.0019062234235263605)	(50, 0.01515574891813336)	(55, 0.003931232282940121)	(60, 0.003631440468557637)	(65, 0.0014416875224667095)	(70, 0.0016552184845976298)	(75, 0.02057604148666195)	(80, 0.0005317062368293112)	(85, 0.0008428109498677381)	(90, 0.0018404672000886932)	(95, 0.0007841252880900348)	(100, 0.001335629097567246)	(105, 0.000861194410183645)	(110, 0.0020193524100857885)	(115, 0.0017443075615131793)	(120, 0.0008541238485236809)	(125, 0.00410941043677122)	(130, 0.0016318856311197478)	(135, 0.001554109452860141)	(140, 0.009123145709851866)	(145, 0.0016820866189054939)	(150, 0.048636626018479054)
SRR10898041_2	(1, 3.0716322844107977)	(2, 0.04867374646719387)	(3, 0.004511018339057189)	(4, 0.009782122056560535)	(5, 0.0018100637849508467)	(6, 0.004383748229177832)	(7, 0.00010605842489946368)	(8, 0.0029519594930350725)	(9, 0.0007282678509763173)	(10, 0.0016431985297756906)	(15, 0.014764746858337337)	(20, 0.004873738152213355)	(25, 0.011795110961152355)	(30, 0.019434145778577726)	(35, 0.0016007751598159053)	(40, 0.012212981155256241)	(45, 0.0018793552892184965)	(50, 0.016499155633526566)	(55, 0.01559907313421312)	(60, 0.001710368865545351)	(65, 0.0012514894138136714)	(70, 0.001865214165898568)	(75, 0.0020935933075154132)	(80, 0.0019642020291380674)	(85, 0.0026465112293246173)	(90, 0.005244942639361477)	(95, 0.0029420607067111226)	(100, 0.004554855821348967)	(105, 0.001629057406455762)	(110, 0.0016453196982736799)	(115, 0.012961046578880458)	(120, 0.002403283908221847)	(125, 0.0029243843025612117)	(130, 0.0012486611891496858)	(135, 0.026257944836609218)	(140, 0.032574784623621275)	(145, 0.022892357486466237)	(150, 0.029229701902292193)
SRR10898042_1	(1, 2.2400515535392787)	(2, 0.0)	(3, 0.004822786089825357)	(4, 0.0)	(5, 0.0)	(6, 1.933533942083477e-05)	(7, 0.0)	(8, 0.0)	(9, 0.04436631739677829)	(10, 0.0003756580230333612)	(15, 5.413895037833735e-05)	(20, 0.000525368793977539)	(25, 0.0035654365892019316)	(30, 0.005327162229574562)	(35, 0.0034676550155594236)	(40, 0.004164279672978642)	(45, 0.001918065670546809)	(50, 0.015307512000340301)	(55, 0.003883641032241955)	(60, 0.003717357113222776)	(65, 0.0014413114442559402)	(70, 0.0016650489432684568)	(75, 0.020800405710664875)	(80, 0.0005286834235925393)	(85, 0.0008286574037500615)	(90, 0.0018661364732451384)	(95, 0.000782252589140058)	(100, 0.001284971414081762)	(105, 0.0008977121873959)	(110, 0.0020495459786084853)	(115, 0.0017269220294151282)	(120, 0.0008789292862442318)	(125, 0.004101301710293637)	(130, 0.00161919656692762)	(135, 0.0015501417832817818)	(140, 0.009240082490082352)	(145, 0.0016832794061509581)	(150, 0.048646332887147356)
SRR10898042_2	(1, 3.0612841869517395)	(2, 0.04885211614241195)	(3, 0.004419506153333661)	(4, 0.00994665103634657)	(5, 0.0015744490671251168)	(6, 0.004411219579296161)	(7, 0.00011877422787084215)	(8, 0.003212428535204405)	(9, 0.0007015966018417187)	(10, 0.001691565980188459)	(15, 0.014919147897116106)	(20, 0.0048868689290486956)	(25, 0.012012770163030059)	(30, 0.01958172688888312)	(35, 0.0016484757951934557)	(40, 0.012504440222588425)	(45, 0.0019478973370818113)	(50, 0.016622315080957066)	(55, 0.015737861412021166)	(60, 0.001781613418062632)	(65, 0.0013728090988792685)	(70, 0.0019926448368843145)	(75, 0.0021384885399443254)	(80, 0.002042916719378485)	(85, 0.0027467230742968703)	(90, 0.00526694645823539)	(95, 0.003051116560607726)	(100, 0.004539937696012004)	(105, 0.0017379707947984622)	(110, 0.0016760977086517908)	(115, 0.013156317380205142)	(120, 0.0024810002668276838)	(125, 0.002947258166004385)	(130, 0.0013551310742659338)	(135, 0.026443562630202797)	(140, 0.03291758670656744)	(145, 0.023084185515400046)	(150, 0.029522301104268858)
SRR10898043_1	(1, 2.2465937334674413)	(2, 0.0)	(3, 0.004666911770827902)	(4, 0.0)	(5, 0.0)	(6, 6.260109685885851e-06)	(7, 0.0)	(8, 0.0)	(9, 0.04288488140316102)	(10, 0.0003731025372787967)	(15, 6.134907492168134e-05)	(20, 0.0005101989393996968)	(25, 0.0034361742065827433)	(30, 0.0051896309295993695)	(35, 0.0033216141993310322)	(40, 0.004033388670616253)	(45, 0.0018148057979383082)	(50, 0.014912833293717273)	(55, 0.0038130328096730717)	(60, 0.003578278696452352)	(65, 0.0013252652205020346)	(70, 0.0016338886280162068)	(75, 0.02041359167470517)	(80, 0.0005127029832740511)	(85, 0.0008701552463381332)	(90, 0.0018173098418126621)	(95, 0.0007887738204216172)	(100, 0.0012908346172296624)	(105, 0.0008532529501862414)	(110, 0.0020620801305307993)	(115, 0.0017140180319955458)	(120, 0.0008413587417830583)	(125, 0.003987063858940698)	(130, 0.0015850597724662973)	(135, 0.001528092774324736)	(140, 0.008983883410214784)	(145, 0.001648912891262333)	(150, 0.048209104691006935)
SRR10898043_2	(1, 3.071093999866409)	(2, 0.04815276370383396)	(3, 0.004256874586402378)	(4, 0.009440245406315863)	(5, 0.00158380775052912)	(6, 0.004363296451062437)	(7, 9.077159044534483e-05)	(8, 0.0029766821556387216)	(9, 0.0008012940397933889)	(10, 0.0016119782441156064)	(15, 0.014711257761831749)	(20, 0.0047213747250951085)	(25, 0.011784030472711524)	(30, 0.019030733445092984)	(35, 0.0015844337614977087)	(40, 0.012085141748602634)	(45, 0.0018623826315510405)	(50, 0.016296317534298044)	(55, 0.015493771472567478)	(60, 0.0016971157358436541)	(65, 0.0012682982223604733)	(70, 0.0018423502805562058)	(75, 0.0020839905144313994)	(80, 0.0019587883207136825)	(85, 0.0026167258487002853)	(90, 0.005117639668211682)	(95, 0.002902812861345269)	(100, 0.004447181920853308)	(105, 0.0016207423976758466)	(110, 0.001603214090555366)	(115, 0.012865151415464012)	(120, 0.002395743976788515)	(125, 0.0028339516548005245)	(130, 0.0012420057616797527)	(135, 0.026225477507081593)	(140, 0.03234723876890937)	(145, 0.022783043190812965)	(150, 0.029009348284395033)
SRR10898044_1	(1, 2.2335958999652132)	(2, 0.0)	(3, 0.004807103610511898)	(4, 0.0)	(5, 0.0)	(6, 2.9691807353377997e-05)	(7, 0.0)	(8, 0.0)	(9, 0.043053120662398095)	(10, 0.00035095716291692794)	(15, 6.294663158916135e-05)	(20, 0.00052079430097825)	(25, 0.0034816613302571034)	(30, 0.005152716248105218)	(35, 0.0033284516043136734)	(40, 0.004192483198296973)	(45, 0.0018788975693217595)	(50, 0.015090564169280833)	(55, 0.0039466350334110036)	(60, 0.0037191957890841277)	(65, 0.0014145177023149277)	(70, 0.001655615178024357)	(75, 0.02054494918009637)	(80, 0.0005344525323608039)	(85, 0.0008646254301303672)	(90, 0.0018361413667328953)	(95, 0.0007737684996290305)	(100, 0.0013165347380487801)	(105, 0.0008462165095712729)	(110, 0.0020677374640892436)	(115, 0.0017737885712908014)	(120, 0.0008551240517772863)	(125, 0.004071340624295191)	(130, 0.0015712904451407636)	(135, 0.00151131299428694)	(140, 0.009029278616162248)	(145, 0.0016615535394950327)	(150, 0.04855352797461137)
SRR10898044_2	(1, 3.0487369639604402)	(2, 0.04813932726203174)	(3, 0.00441220257271197)	(4, 0.009531070160434337)	(5, 0.0017518166338493018)	(6, 0.004278589439621769)	(7, 0.00012470559088418757)	(8, 0.0030938863262219875)	(9, 0.000668065665451005)	(10, 0.00158435484037625)	(15, 0.014622621285391595)	(20, 0.004744156978922736)	(25, 0.011731233085319646)	(30, 0.019126274624751968)	(35, 0.0016187973369061683)	(40, 0.012122571106237169)	(45, 0.0018836482584983)	(50, 0.016459356488271557)	(55, 0.015562070070052477)	(60, 0.0017007467252014917)	(65, 0.0012933751283131455)	(70, 0.001878303733174692)	(75, 0.002067143627942176)	(80, 0.0019525332515581372)	(85, 0.002632475639950493)	(90, 0.005172906677105515)	(95, 0.002964430046161259)	(100, 0.004469210842830456)	(105, 0.0016692734094069107)	(110, 0.001647301471965411)	(115, 0.012850614222541997)	(120, 0.0023985041980058744)	(125, 0.002835567602247599)	(130, 0.00128981211143074)	(135, 0.02608840961297204)	(140, 0.03254994072921416)	(145, 0.022687509998716125)	(150, 0.029044525953074354)
SRR10898045_1	(1, 2.2326990518590146)	(2, 0.0)	(3, 0.004640728567992406)	(4, 0.0)	(5, 0.0)	(6, 2.1993974255888178e-05)	(7, 0.0)	(8, 0.0)	(9, 0.043707525340013785)	(10, 0.0003942419885367956)	(15, 5.6634483708912057e-05)	(20, 0.0004893659271935119)	(25, 0.0034722986856483467)	(30, 0.005253810600375289)	(35, 0.0032880991512552822)	(40, 0.004120021227484253)	(45, 0.0018562914271969624)	(50, 0.015189588470472772)	(55, 0.0038830361548770577)	(60, 0.003574570665938226)	(65, 0.0013570282115883006)	(70, 0.0015764181047907854)	(75, 0.020610553275192813)	(80, 0.000546000410902424)	(85, 0.0008775595728099383)	(90, 0.00186069022204814)	(95, 0.0007917830732119744)	(100, 0.0013531792660935202)	(105, 0.0008385202685057369)	(110, 0.0020591858397075308)	(115, 0.001766665982104218)	(120, 0.0008742604766715551)	(125, 0.004043042317588645)	(130, 0.0015846658451367432)	(135, 0.001541227745981364)	(140, 0.009220973706781118)	(145, 0.0016737414408730905)	(150, 0.04848571624710549)
SRR10898045_2	(1, 3.0503882774976434)	(2, 0.04892284648544126)	(3, 0.004302571213808125)	(4, 0.009528889346363553)	(5, 0.0015450766914761446)	(6, 0.0042998219670261385)	(7, 0.00015120857300923122)	(8, 0.002933446316379086)	(9, 0.0007752875925200583)	(10, 0.0016237051494409449)	(15, 0.014976796769547055)	(20, 0.004802934128129581)	(25, 0.011873447002041232)	(30, 0.019342600659340858)	(35, 0.0016154574090949867)	(40, 0.012273737333498399)	(45, 0.0018975301289267524)	(50, 0.0164822843073626)	(55, 0.015588779103217144)	(60, 0.0017171795400284695)	(65, 0.0013113907150073326)	(70, 0.001926122295459407)	(75, 0.002086678307527391)	(80, 0.002000901807929427)	(85, 0.002681615311149166)	(90, 0.00517683169047968)	(95, 0.002980183511672848)	(100, 0.004567598603591577)	(105, 0.0016445994249840385)	(110, 0.0016605450563195576)	(115, 0.0130600219131464)	(120, 0.002408890030376153)	(125, 0.0028526184609886968)	(130, 0.0013196384553532908)	(135, 0.02630699260746785)	(140, 0.03269624212880337)	(145, 0.022962808821860053)	(150, 0.029356457138046747)
