Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR10898041_1	(1, 30.8555815155155)	(2, 31.515112724550434)	(3, 35.343208138668984)	(4, 35.95383262623003)	(5, 36.18940086747307)	(6, 39.53782223731237)	(7, 39.6441667371366)	(8, 39.77697295538447)	(9, 39.79657987033721)	(10, 39.81028130370975)	(15, 39.77234708991237)	(20, 39.70579004759053)	(25, 39.61507554046666)	(30, 39.51153451127006)	(35, 39.502622485460805)	(40, 39.45770223149754)	(45, 39.40834568796141)	(50, 39.34848025347681)	(55, 39.30438392499322)	(60, 39.25658794633274)	(65, 39.21206090044451)	(70, 39.145104053213615)	(75, 38.781522246673795)	(80, 38.95286690770682)	(85, 38.925836914101446)	(90, 38.86279459141628)	(95, 38.784090119116335)	(100, 38.702881734674634)	(105, 38.580629072113226)	(110, 38.406109142038254)	(115, 38.27818854048618)	(120, 38.09355735370937)	(125, 37.853391451464695)	(130, 37.57561332173007)	(135, 37.28329825156324)	(140, 36.96225183389157)	(145, 36.54411217361227)	(150, 34.51875926066813)
SRR10898041_2	(1, 29.38222434637607)	(2, 30.07296879732857)	(3, 32.81244518547073)	(4, 33.91876377168647)	(5, 34.33170571360775)	(6, 36.973049988588116)	(7, 36.376243535031946)	(8, 35.81821766271554)	(9, 37.13776908082981)	(10, 37.87849883915519)	(15, 38.0321684253039)	(20, 38.0470224380032)	(25, 38.083208335230594)	(30, 38.0109813246669)	(35, 37.96051646352)	(40, 37.840355096333575)	(45, 37.65990419530361)	(50, 37.57966807672521)	(55, 37.48828002082705)	(60, 37.388901134316065)	(65, 37.25544450924222)	(70, 37.143730250153645)	(75, 36.485173392797705)	(80, 36.658074234958164)	(85, 36.47134355095485)	(90, 36.24093695406425)	(95, 35.895777064625214)	(100, 35.518171619218016)	(105, 35.09715982608681)	(110, 34.626679399805475)	(115, 34.13365762700072)	(120, 33.697277183269236)	(125, 33.13541037681286)	(130, 32.542959919531356)	(135, 31.894392429464784)	(140, 31.408121947108242)	(145, 30.89291189627656)	(150, 28.155881614899315)
SRR10898042_1	(1, 30.840943216527627)	(2, 31.521073862653903)	(3, 35.34484895509063)	(4, 35.95414417091998)	(5, 36.19179035299148)	(6, 39.53482722769351)	(7, 39.63184580122056)	(8, 39.763661163092486)	(9, 39.7834001691566)	(10, 39.79331054157181)	(15, 39.745528907161095)	(20, 39.66391973182437)	(25, 39.56418417297506)	(30, 39.45217529197744)	(35, 39.42656934177533)	(40, 39.35000976158422)	(45, 39.29097398181484)	(50, 39.22088907757725)	(55, 39.14630612151321)	(60, 39.073602610160336)	(65, 39.00455595288143)	(70, 38.92299317131055)	(75, 38.520294659524005)	(80, 38.681558201857634)	(85, 38.63885287850722)	(90, 38.558293402174506)	(95, 38.46292056434884)	(100, 38.3606708755097)	(105, 38.22659772052921)	(110, 38.03488047721827)	(115, 37.88644058498794)	(120, 37.66654504001586)	(125, 37.39041947190216)	(130, 37.09036073114099)	(135, 36.75397269960562)	(140, 36.40052245191991)	(145, 35.92355555899295)	(150, 33.79748472093857)
SRR10898042_2	(1, 27.507128718669154)	(2, 29.978930833071384)	(3, 32.72274960127768)	(4, 33.810773319662324)	(5, 33.991229545282536)	(6, 36.43069537614693)	(7, 37.400896027250674)	(8, 37.191864020634675)	(9, 37.67688979464212)	(10, 37.87377141872225)	(15, 37.95447617527098)	(20, 37.88383409836827)	(25, 37.913125198532505)	(30, 37.81802642533217)	(35, 37.734648801181336)	(40, 37.57556577136679)	(45, 37.38379826169774)	(50, 37.27654147678903)	(55, 37.12535148056217)	(60, 36.97400856389805)	(65, 36.80376136987013)	(70, 36.6581873119293)	(75, 35.95084743478052)	(80, 36.1064243819735)	(85, 35.8938804313659)	(90, 35.63714703752216)	(95, 35.24481411833338)	(100, 34.78564667595131)	(105, 34.30312467371615)	(110, 33.76657309283117)	(115, 33.215804120858024)	(120, 32.69303351587735)	(125, 32.04344140867339)	(130, 31.424832288028057)	(135, 30.743601742832254)	(140, 30.25009980349771)	(145, 29.73016263230206)	(150, 27.092432866320436)
SRR10898043_1	(1, 30.845780382456393)	(2, 31.522533139612154)	(3, 35.351774625283916)	(4, 35.955882722103524)	(5, 36.19279876420427)	(6, 39.54059199102851)	(7, 39.634970281068284)	(8, 39.76914715583498)	(9, 39.7871947390539)	(10, 39.79309419756068)	(15, 39.74121221139565)	(20, 39.66058132254958)	(25, 39.562043665391876)	(30, 39.44732292982398)	(35, 39.417633301680134)	(40, 39.34704955709411)	(45, 39.2907716906071)	(50, 39.22433404796659)	(55, 39.14849490373861)	(60, 39.07577636158794)	(65, 39.00537987566295)	(70, 38.930073535630456)	(75, 38.52880759746944)	(80, 38.68838730246928)	(85, 38.64533099422248)	(90, 38.56690131018461)	(95, 38.47322210537379)	(100, 38.383221635239565)	(105, 38.25650033200492)	(110, 38.06477098233829)	(115, 37.91720531050113)	(120, 37.69747972366123)	(125, 37.426038162505066)	(130, 37.1388351788867)	(135, 36.82385551266198)	(140, 36.48977344725648)	(145, 36.04410033803966)	(150, 33.974308775903786)
SRR10898043_2	(1, 29.572047101566085)	(2, 30.667884810976926)	(3, 32.959506104890266)	(4, 33.82314207300152)	(5, 34.33788682235017)	(6, 36.27920633828594)	(7, 37.13382987688681)	(8, 36.5962920368713)	(9, 37.18659571541817)	(10, 37.84898915191853)	(15, 37.9968098042833)	(20, 37.954827762159155)	(25, 37.98980733949032)	(30, 37.901378488673046)	(35, 37.83307765584684)	(40, 37.66921777613234)	(45, 37.46582951680529)	(50, 37.361005833107605)	(55, 37.20679639450235)	(60, 37.05260814636837)	(65, 36.89230373351064)	(70, 36.75147650634047)	(75, 36.051592262028656)	(80, 36.21755219569904)	(85, 36.01145435431632)	(90, 35.76015195414645)	(95, 35.37342664193756)	(100, 34.93093550891342)	(105, 34.46373493418527)	(110, 33.94769103679373)	(115, 33.408129572501494)	(120, 32.912800691066025)	(125, 32.270104539449676)	(130, 31.64918339060186)	(135, 30.958547556895162)	(140, 30.44466861827673)	(145, 29.93779874260689)	(150, 27.270672963669266)
SRR10898044_1	(1, 30.847517990562995)	(2, 31.519870707618715)	(3, 35.339133825845195)	(4, 35.95069167659066)	(5, 36.18747796125599)	(6, 39.530188165296906)	(7, 39.621206055085906)	(8, 39.755788981987884)	(9, 39.77535077604289)	(10, 39.78955579987294)	(15, 39.73797727056517)	(20, 39.66046585733134)	(25, 39.5762763765686)	(30, 39.454342100215555)	(35, 39.431735155966905)	(40, 39.384400536067766)	(45, 39.341586642297216)	(50, 39.28944878466088)	(55, 39.23207800726641)	(60, 39.170693253819465)	(65, 39.11519357692572)	(70, 39.05443867578815)	(75, 38.66835504180547)	(80, 38.83467823166522)	(85, 38.80662850002572)	(90, 38.73377914592348)	(95, 38.64799876030766)	(100, 38.565876500371566)	(105, 38.43762536326442)	(110, 38.24431420298104)	(115, 38.10050681539808)	(120, 37.87904162209431)	(125, 37.6081472419102)	(130, 37.30390204387713)	(135, 36.96712359784893)	(140, 36.63187245682247)	(145, 36.184834339311564)	(150, 34.06741073544113)
SRR10898044_2	(1, 29.26751843356476)	(2, 29.65767255304768)	(3, 32.557047997756726)	(4, 33.63634296816646)	(5, 34.23504215820959)	(6, 36.84918367126371)	(7, 34.846568416872024)	(8, 35.71169623238281)	(9, 36.689349198339016)	(10, 37.6925240839157)	(15, 37.858164017781355)	(20, 37.86733867936304)	(25, 37.92570782596467)	(30, 37.85486167121407)	(35, 37.81733525292847)	(40, 37.6587589050184)	(45, 37.46672294253887)	(50, 37.402315307753796)	(55, 37.27890567518516)	(60, 37.14690485474115)	(65, 37.0144343692884)	(70, 36.89439244089341)	(75, 36.20118937660388)	(80, 36.38113733517929)	(85, 36.20175939398308)	(90, 35.95947897291525)	(95, 35.58378615912837)	(100, 35.162680973050406)	(105, 34.70697211737385)	(110, 34.200244589232256)	(115, 33.67994798232886)	(120, 33.193518729770226)	(125, 32.55492371521471)	(130, 31.924983429002317)	(135, 31.223880995948736)	(140, 30.71674141084305)	(145, 30.218928996318333)	(150, 27.535524124534092)
SRR10898045_1	(1, 30.838612725675016)	(2, 31.518842498923465)	(3, 35.34534919131868)	(4, 35.95265588098665)	(5, 36.190591203251564)	(6, 39.53416344640518)	(7, 39.63291080984315)	(8, 39.760600263944184)	(9, 39.7787652797294)	(10, 39.78896868577674)	(15, 39.73589191435249)	(20, 39.65629006357055)	(25, 39.55249669959797)	(30, 39.43405309988709)	(35, 39.41008791568852)	(40, 39.33716593180675)	(45, 39.27400590191803)	(50, 39.18883174029604)	(55, 39.116556962097704)	(60, 39.044671350778344)	(65, 38.97440839989466)	(70, 38.885151205411375)	(75, 38.470907434812815)	(80, 38.63209815448837)	(85, 38.57485840210643)	(90, 38.48943628591716)	(95, 38.384976532017085)	(100, 38.289835899933905)	(105, 38.14658591249109)	(110, 37.944936919769745)	(115, 37.77436767255283)	(120, 37.537666008799405)	(125, 37.25118308474232)	(130, 36.93673294743256)	(135, 36.602136989523636)	(140, 36.231525255446954)	(145, 35.7724812548794)	(150, 33.64601703284847)
SRR10898045_2	(1, 27.4776409395177)	(2, 29.8358270238807)	(3, 32.14398094068173)	(4, 33.77730914117132)	(5, 34.176651284905844)	(6, 36.981559647149574)	(7, 35.95239118350648)	(8, 37.159478252344506)	(9, 37.61219281600372)	(10, 37.81987947906942)	(15, 37.91834691969854)	(20, 37.847374388220416)	(25, 37.8725680128601)	(30, 37.7739115670132)	(35, 37.68828186619641)	(40, 37.516592597834496)	(45, 37.32163871933597)	(50, 37.19395710058826)	(55, 37.04809160072392)	(60, 36.89032248362335)	(65, 36.72072032794995)	(70, 36.56636121160296)	(75, 35.847853587433015)	(80, 36.011543322946956)	(85, 35.77859230262037)	(90, 35.51403466563757)	(95, 35.10849761113823)	(100, 34.64447725395554)	(105, 34.1461022704957)	(110, 33.59600697747836)	(115, 33.01716662131784)	(120, 32.49773221506071)	(125, 31.83853776471226)	(130, 31.19752619475461)	(135, 30.51898888531762)	(140, 29.995723018775237)	(145, 29.486797525864848)	(150, 26.86343041006198)
SRR10898046_1	(1, 30.834967941919427)	(2, 31.513577290528858)	(3, 35.33410520254411)	(4, 35.95140222559893)	(5, 36.187310657409306)	(6, 39.52708106317497)	(7, 39.62083161193497)	(8, 39.75319773002651)	(9, 39.7744841287189)	(10, 39.784433726628706)	(15, 39.73955428616917)	(20, 39.66378620869201)	(25, 39.57304451722694)	(30, 39.46100214618885)	(35, 39.45711140337964)	(40, 39.39539693231138)	(45, 39.33695101836665)	(50, 39.26434407651397)	(55, 39.20664905206754)	(60, 39.14436455428688)	(65, 39.09320735898262)	(70, 39.01017911327873)	(75, 38.6123183857941)	(80, 38.77611366400844)	(85, 38.73782804145949)	(90, 38.65301038495768)	(95, 38.567821255346146)	(100, 38.47107151739634)	(105, 38.33184510140971)	(110, 38.14184789659281)	(115, 37.98605291863441)	(120, 37.76396794807547)	(125, 37.48713256058657)	(130, 37.187700621337456)	(135, 36.854416969430886)	(140, 36.51147349042737)	(145, 36.07198789943593)	(150, 33.97296941919908)
SRR10898046_2	(1, 29.359915213441436)	(2, 29.79275755663267)	(3, 32.70145421861441)	(4, 33.77571247168824)	(5, 34.18620674022956)	(6, 37.01812415100888)	(7, 35.89985011883854)	(8, 35.5575315659519)	(9, 36.944829644611744)	(10, 37.83215589070582)	(15, 38.01854507102951)	(20, 38.0285042292428)	(25, 38.06691761375846)	(30, 37.99074150706752)	(35, 37.944564248317455)	(40, 37.78985575771547)	(45, 37.614079064617634)	(50, 37.52330764826832)	(55, 37.4124851549338)	(60, 37.28242356360057)	(65, 37.14744239895873)	(70, 37.00887154177652)	(75, 36.3081858240444)	(80, 36.4724625670856)	(85, 36.27453307917489)	(90, 36.013364419166024)	(95, 35.64531501582968)	(100, 35.21251647982136)	(105, 34.7369062126001)	(110, 34.21370720569153)	(115, 33.65660779949984)	(120, 33.14421486887051)	(125, 32.480598725778925)	(130, 31.83413264373569)	(135, 31.147116344382784)	(140, 30.66747242341807)	(145, 30.129248664827024)	(150, 27.407516758829033)
