Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR10898041_1	(15.0, 10.0)	(16.0, 41.0)	(17.0, 192.0)	(18.0, 780.0)	(19.0, 2554.0)	(20.0, 6409.0)	(21.0, 12749.0)	(22.0, 22929.0)	(23.0, 37733.0)	(24.0, 60282.0)	(25.0, 91303.0)	(26.0, 129982.0)	(27.0, 178922.0)	(28.0, 234012.0)	(29.0, 296893.0)	(30.0, 367402.0)	(31.0, 445027.0)	(32.0, 531772.0)	(33.0, 632791.0)	(34.0, 751487.0)	(35.0, 902963.0)	(36.0, 1110838.0)	(37.0, 1430326.0)	(38.0, 2016427.0)	(39.0, 3613973.0)	(40.0, 15408499.0)					
SRR10898041_2	(10.0, 2.0)	(11.0, 5.0)	(12.0, 54.0)	(13.0, 446.0)	(14.0, 2782.0)	(15.0, 13466.0)	(16.0, 43705.0)	(17.0, 93498.0)	(18.0, 145104.0)	(19.0, 189331.0)	(20.0, 227932.0)	(21.0, 263175.0)	(22.0, 298537.0)	(23.0, 336113.0)	(24.0, 374851.0)	(25.0, 416313.0)	(26.0, 459556.0)	(27.0, 509073.0)	(28.0, 564403.0)	(29.0, 623482.0)	(30.0, 696106.0)	(31.0, 777055.0)	(32.0, 877161.0)	(33.0, 1001496.0)	(34.0, 1155953.0)	(35.0, 1369511.0)	(36.0, 1673834.0)	(37.0, 2150068.0)	(38.0, 2998365.0)	(39.0, 4853878.0)	(40.0, 6171041.0)
SRR10898042_1	(14.0, 3.0)	(15.0, 17.0)	(16.0, 105.0)	(17.0, 539.0)	(18.0, 2276.0)	(19.0, 7138.0)	(20.0, 16688.0)	(21.0, 31452.0)	(22.0, 51131.0)	(23.0, 78661.0)	(24.0, 114511.0)	(25.0, 161869.0)	(26.0, 219522.0)	(27.0, 284927.0)	(28.0, 360132.0)	(29.0, 443054.0)	(30.0, 531369.0)	(31.0, 629115.0)	(32.0, 738343.0)	(33.0, 862347.0)	(34.0, 1012368.0)	(35.0, 1208343.0)	(36.0, 1477671.0)	(37.0, 1897736.0)	(38.0, 2673398.0)	(39.0, 4770019.0)	(40.0, 18630406.0)				
SRR10898042_2	(10.0, 4.0)	(11.0, 11.0)	(12.0, 120.0)	(13.0, 735.0)	(14.0, 4561.0)	(15.0, 22677.0)	(16.0, 72903.0)	(17.0, 151374.0)	(18.0, 228482.0)	(19.0, 294384.0)	(20.0, 352763.0)	(21.0, 405049.0)	(22.0, 457022.0)	(23.0, 513235.0)	(24.0, 570182.0)	(25.0, 625900.0)	(26.0, 687607.0)	(27.0, 752660.0)	(28.0, 820564.0)	(29.0, 893227.0)	(30.0, 980456.0)	(31.0, 1080676.0)	(32.0, 1203627.0)	(33.0, 1361737.0)	(34.0, 1560795.0)	(35.0, 1832027.0)	(36.0, 2215527.0)	(37.0, 2797444.0)	(38.0, 3793243.0)	(39.0, 5784619.0)	(40.0, 6739529.0)
SRR10898043_1	(14.0, 2.0)	(15.0, 17.0)	(16.0, 110.0)	(17.0, 414.0)	(18.0, 1815.0)	(19.0, 5876.0)	(20.0, 13850.0)	(21.0, 26261.0)	(22.0, 43303.0)	(23.0, 66915.0)	(24.0, 98184.0)	(25.0, 139495.0)	(26.0, 190147.0)	(27.0, 248166.0)	(28.0, 315349.0)	(29.0, 389258.0)	(30.0, 466631.0)	(31.0, 551995.0)	(32.0, 647609.0)	(33.0, 756486.0)	(34.0, 890991.0)	(35.0, 1062110.0)	(36.0, 1295080.0)	(37.0, 1660893.0)	(38.0, 2340733.0)	(39.0, 4185215.0)	(40.0, 16551417.0)				
SRR10898043_2	(11.0, 7.0)	(12.0, 69.0)	(13.0, 582.0)	(14.0, 3612.0)	(15.0, 18463.0)	(16.0, 60928.0)	(17.0, 125716.0)	(18.0, 191198.0)	(19.0, 247732.0)	(20.0, 295986.0)	(21.0, 342679.0)	(22.0, 389426.0)	(23.0, 439719.0)	(24.0, 488033.0)	(25.0, 539631.0)	(26.0, 594143.0)	(27.0, 651099.0)	(28.0, 711107.0)	(29.0, 775341.0)	(30.0, 849750.0)	(31.0, 935767.0)	(32.0, 1044918.0)	(33.0, 1178558.0)	(34.0, 1354045.0)	(35.0, 1588319.0)	(36.0, 1917984.0)	(37.0, 2424270.0)	(38.0, 3308248.0)	(39.0, 5138591.0)	(40.0, 6332401.0)	
SRR10898044_1	(12.0, 1.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 12.0)	(16.0, 71.0)	(17.0, 277.0)	(18.0, 1119.0)	(19.0, 3707.0)	(20.0, 8760.0)	(21.0, 17841.0)	(22.0, 31883.0)	(23.0, 52631.0)	(24.0, 82819.0)	(25.0, 124272.0)	(26.0, 175210.0)	(27.0, 235239.0)	(28.0, 305241.0)	(29.0, 384075.0)	(30.0, 469337.0)	(31.0, 562300.0)	(32.0, 667258.0)	(33.0, 786651.0)	(34.0, 930625.0)	(35.0, 1117209.0)	(36.0, 1369646.0)	(37.0, 1762432.0)	(38.0, 2481348.0)	(39.0, 4457619.0)	(40.0, 17651738.0)		
SRR10898044_2	(10.0, 1.0)	(11.0, 6.0)	(12.0, 61.0)	(13.0, 605.0)	(14.0, 3855.0)	(15.0, 19038.0)	(16.0, 62177.0)	(17.0, 128761.0)	(18.0, 194239.0)	(19.0, 250649.0)	(20.0, 298030.0)	(21.0, 344517.0)	(22.0, 390553.0)	(23.0, 438697.0)	(24.0, 488773.0)	(25.0, 539772.0)	(26.0, 597722.0)	(27.0, 659175.0)	(28.0, 727024.0)	(29.0, 803132.0)	(30.0, 887781.0)	(31.0, 986382.0)	(32.0, 1108604.0)	(33.0, 1254047.0)	(34.0, 1445374.0)	(35.0, 1699436.0)	(36.0, 2056891.0)	(37.0, 2614848.0)	(38.0, 3597337.0)	(39.0, 5604516.0)	(40.0, 6477321.0)
SRR10898045_1	(14.0, 2.0)	(15.0, 14.0)	(16.0, 149.0)	(17.0, 577.0)	(18.0, 2486.0)	(19.0, 7609.0)	(20.0, 17925.0)	(21.0, 33675.0)	(22.0, 55659.0)	(23.0, 84810.0)	(24.0, 123499.0)	(25.0, 172555.0)	(26.0, 231467.0)	(27.0, 299787.0)	(28.0, 376727.0)	(29.0, 462154.0)	(30.0, 550077.0)	(31.0, 648886.0)	(32.0, 758662.0)	(33.0, 886587.0)	(34.0, 1040746.0)	(35.0, 1237002.0)	(36.0, 1508174.0)	(37.0, 1931214.0)	(38.0, 2705948.0)	(39.0, 4776131.0)	(40.0, 18461077.0)				
SRR10898045_2	(10.0, 2.0)	(11.0, 16.0)	(12.0, 102.0)	(13.0, 782.0)	(14.0, 4572.0)	(15.0, 24324.0)	(16.0, 79703.0)	(17.0, 162602.0)	(18.0, 242279.0)	(19.0, 309084.0)	(20.0, 367649.0)	(21.0, 420721.0)	(22.0, 475042.0)	(23.0, 532751.0)	(24.0, 591329.0)	(25.0, 649512.0)	(26.0, 712573.0)	(27.0, 779654.0)	(28.0, 848434.0)	(29.0, 921103.0)	(30.0, 1008671.0)	(31.0, 1111417.0)	(32.0, 1235189.0)	(33.0, 1390570.0)	(34.0, 1590399.0)	(35.0, 1857056.0)	(36.0, 2223188.0)	(37.0, 2787807.0)	(38.0, 3748773.0)	(39.0, 5688560.0)	(40.0, 6609735.0)
