Sample	Unique Reads	Duplicate Reads
SRR10898041_1	18248388.0	10037908.0
SRR10898041_2	19107398.0	9178898.0
SRR10898042_1	17588358.0	18614782.0
SRR10898042_2	18996680.0	17206460.0
SRR10898043_1	13738763.0	18209559.0
SRR10898043_2	15075279.0	16873043.0
SRR10898044_1	14698290.0	18981034.0
SRR10898044_2	16099745.0	17579579.0
SRR10898045_1	16598833.0	19774766.0
SRR10898045_2	18092174.0	18281425.0
SRR10898046_1	16499799.0	18750128.0
SRR10898046_2	17817811.0	17432116.0
SRR10898047_1	15412492.0	16777411.0
SRR10898047_2	16705950.0	15483953.0
SRR10898048_1	15339609.0	14112529.0
SRR10898048_2	16358899.0	13093239.0
SRR10898049_1	14078971.0	18386288.0
SRR10898049_2	15435665.0	17029594.0
SRR10898050_1	12501961.0	16747875.0
SRR10898050_2	13866974.0	15382862.0
SRR10898051_1	16358834.0	18886265.0
SRR10898051_2	17944777.0	17300322.0
SRR10898052_1	16237027.0	15408064.0
SRR10898052_2	17402215.0	14242876.0
SRR10898053_1	19784997.0	14069102.0
SRR10898053_2	21035661.0	12818438.0
SRR10898054_1	23259619.0	7412915.0
SRR10898054_2	24132772.0	6539762.0
SRR10898055_1	21395801.0	6148824.0
SRR10898055_2	22025554.0	5519071.0
SRR10898056_1	22054957.0	9542398.0
SRR10898056_2	22799401.0	8797954.0
SRR10898057_1	22410040.0	8465632.0
SRR10898057_2	23205165.0	7670507.0
SRR10898058_1	23626947.0	6896740.0
SRR10898058_2	24238848.0	6284839.0
SRR10898059_1	18807970.0	9505740.0
SRR10898059_2	19745291.0	8568419.0
SRR10898060_1	24421571.0	3500256.0
SRR10898060_2	24857759.0	3064068.0
SRR10898061_1	23032654.0	3389938.0
SRR10898061_2	23425219.0	2997373.0
SRR10898063_1	22974505.0	8907749.0
SRR10898063_2	23744509.0	8137745.0
SRR10898064_1	22805219.0	10533645.0
SRR10898064_2	23880454.0	9458410.0
SRR10898065_1	18494572.0	9762416.0
SRR10898065_2	19428421.0	8828567.0
SRR10898066_1	20600806.0	9016879.0
SRR10898066_2	21301080.0	8316605.0
SRR10898067_1	21979594.0	7775018.0
SRR10898067_2	22637960.0	7116652.0
SRR10898068_1	21231273.0	9826689.0
SRR10898068_2	22040060.0	9017902.0
