Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR10898041_1	(1.0, 57.48369941278641)	(2.0, 10.060226939796275)	(3.0, 2.796300827951295)	(4.0, 1.3101881358183953)	(5.0, 0.8586159547666967)	(6.0, 0.6111377472293472)	(7.0, 0.5022664302300087)	(8.0, 0.3868442296017955)	(9.0, 0.34497781258677085)	('>10', 4.686064409480848)	('>50', 1.9590961325783165)	('>100', 5.467458950265117)	('>500', 2.9787427012638523)	('>1k', 6.325466531322962)	('>5k', 1.5582098935290545)	('>10k+', 2.670703890792724)
SRR10898041_2	(1.0, 61.03341950522312)	(2.0, 9.292138502150692)	(3.0, 2.592622695400646)	(4.0, 1.1677158550942568)	(5.0, 0.8027753037535356)	(6.0, 0.5973681683088203)	(7.0, 0.4806679180004666)	(8.0, 0.39280320884045317)	(9.0, 0.3580016931179325)	('>10', 4.54710260683218)	('>50', 1.9719242333438685)	('>100', 5.214361823339553)	('>500', 2.6795502619145517)	('>1k', 5.413349961173903)	('>5k', 1.4355572019904599)	('>10k+', 2.020641061515536)
SRR10898042_1	(1.0, 42.04811130039153)	(2.0, 9.427716352933158)	(3.0, 2.7486521193326783)	(4.0, 1.1781900023959915)	(5.0, 0.6738186807187738)	(6.0, 0.5049845942817518)	(7.0, 0.3995931303385215)	(8.0, 0.331198579484369)	(9.0, 0.27455377229478417)	('>10', 3.8133822500281496)	('>50', 1.769140992240082)	('>100', 6.43023746313173)	('>500', 4.208957901467913)	('>1k', 10.331675727419725)	('>5k', 3.6711396056232157)	('>10k+', 12.18864752791752)
SRR10898042_2	(1.0, 46.281653287837706)	(2.0, 8.823851006605734)	(3.0, 2.606530803970466)	(4.0, 1.0473283561377464)	(5.0, 0.7084862117351824)	(6.0, 0.533152307532843)	(7.0, 0.4084622912088316)	(8.0, 0.34440846170481537)	(9.0, 0.2905581680369292)	('>10', 4.203297756851599)	('>50', 1.909534498851478)	('>100', 6.448844912653456)	('>500', 4.034501954570785)	('>1k', 9.244376018438611)	('>5k', 3.168704779800284)	('>10k+', 9.946309184063603)
SRR10898043_1	(1.0, 37.893789660046515)	(2.0, 7.1757520985561705)	(3.0, 2.0661500357210634)	(4.0, 0.9634198880119914)	(5.0, 0.606360759382087)	(6.0, 0.4321318262006645)	(7.0, 0.3600710380341773)	(8.0, 0.31761629640137296)	(9.0, 0.2647125351170199)	('>10', 3.955205740543344)	('>50', 1.9145917310220588)	('>100', 7.666312896158282)	('>500', 5.439032007013771)	('>1k', 12.994584066637113)	('>5k', 4.537917700527596)	('>10k+', 13.412351720626983)
SRR10898043_2	(1.0, 42.23306841771307)	(2.0, 6.860382219820512)	(3.0, 1.9655242130882864)	(4.0, 0.9481977959892883)	(5.0, 0.6413575836659716)	(6.0, 0.4937560296994878)	(7.0, 0.3747935154031526)	(8.0, 0.3031572233250423)	(9.0, 0.28810918769690297)	('>10', 4.278713183580298)	('>50', 2.136980939923326)	('>100', 7.742980616826058)	('>500', 5.1374422053703555)	('>1k', 11.475092940525569)	('>5k', 3.9138468373522453)	('>10k+', 11.206597090020459)
SRR10898044_1	(1.0, 38.383024253996325)	(2.0, 7.459918520605916)	(3.0, 2.058410622642679)	(4.0, 0.949430736919114)	(5.0, 0.6149476957430506)	(6.0, 0.4607192648050063)	(7.0, 0.3626765887492833)	(8.0, 0.3295611701961966)	(9.0, 0.2609363423425551)	('>10', 4.198425396019803)	('>50', 1.9530714191531025)	('>100', 6.603070680844787)	('>500', 4.5876847474187)	('>1k', 11.764393007793801)	('>5k', 4.433353736084269)	('>10k+', 15.580375816685246)
SRR10898044_2	(1.0, 42.77283372731092)	(2.0, 7.022313749873882)	(3.0, 1.9931633411053715)	(4.0, 0.9445086758272383)	(5.0, 0.5952472666558081)	(6.0, 0.44575191699183614)	(7.0, 0.39135362720337685)	(8.0, 0.32641703740635575)	(9.0, 0.27492714620771197)	('>10', 4.495762682809462)	('>50', 2.0891295339352776)	('>100', 6.742998902009881)	('>500', 4.499151733259003)	('>1k', 10.54572807932672)	('>5k', 3.7498927827273225)	('>10k+', 13.110819797349778)
SRR10898045_1	(1.0, 39.7516986777109)	(2.0, 8.337876352772838)	(3.0, 2.4757421913688846)	(4.0, 1.141319996476277)	(5.0, 0.6906582019877336)	(6.0, 0.5029933014730672)	(7.0, 0.37636200687603755)	(8.0, 0.317215803376468)	(9.0, 0.2686163779396345)	('>10', 3.6345970258487674)	('>50', 1.7843887160346323)	('>100', 6.810941400042495)	('>500', 4.959945943868401)	('>1k', 12.961299575859933)	('>5k', 4.752385523498375)	('>10k+', 11.233958904865672)
SRR10898045_2	(1.0, 44.088956564057774)	(2.0, 7.996461361921697)	(3.0, 2.2340616653618968)	(4.0, 1.089770020788416)	(5.0, 0.6783045612477784)	(6.0, 0.5145892004799564)	(7.0, 0.40391559509435515)	(8.0, 0.3387164261187297)	(9.0, 0.29050777681203777)	('>10', 4.033541562181381)	('>50', 1.966359861291288)	('>100', 7.0510690789602455)	('>500', 4.833354758604122)	('>1k', 11.30191047634028)	('>5k', 4.349152481588976)	('>10k+', 8.829328609150963)
SRR10898046_1	(1.0, 40.9865290877592)	(2.0, 8.358982847499629)	(3.0, 2.2939033545371537)	(4.0, 1.036413984221149)	(5.0, 0.663360245736115)	(6.0, 0.49944265073659777)	(7.0, 0.3789565019399674)	(8.0, 0.33281306574960007)	(9.0, 0.27009861607046964)	('>10', 4.070050470899395)	('>50', 1.9675044735168166)	('>100', 6.206314576342646)	('>500', 4.172207511288833)	('>1k', 11.9218612521832)	('>5k', 4.693223497823366)	('>10k+', 12.148337863695877)
SRR10898046_2	(1.0, 44.95433616623411)	(2.0, 7.974243326607536)	(3.0, 2.155163640081402)	(4.0, 1.0124617071415247)	(5.0, 0.6616219350781174)	(6.0, 0.48472518586103214)	(7.0, 0.38385576735139304)	(8.0, 0.3077264243163075)	(9.0, 0.27666762471166767)	('>10', 4.448198338129715)	('>50', 2.0503076601388197)	('>100', 6.2734188436193685)	('>500', 3.96308797126022)	('>1k', 10.916006501186832)	('>5k', 3.9835687227692937)	('>10k+', 10.154610185512622)
SRR10898047_1	(1.0, 42.37906563492343)	(2.0, 7.9215707250564025)	(3.0, 2.1499277462079993)	(4.0, 0.9647169317709351)	(5.0, 0.5904059428172794)	(6.0, 0.44776972280892463)	(7.0, 0.3434575437593811)	(8.0, 0.3031162821136819)	(9.0, 0.2797681394009354)	('>10', 3.9901826086873626)	('>50', 1.9037418202208913)	('>100', 6.667838746663706)	('>500', 4.621866316768189)	('>1k', 11.656667697893257)	('>5k', 4.5139866981342225)	('>10k+', 11.265917442773437)
