Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR10898041_1	SRR10898041_1.fastq	Conventional base calls	Sanger / Illumina 1.9	28286296.0	4.2 Gbp	0.0	151.0	47.0	64.51317495052982	151.0	151	pass	pass	pass	fail	warn	pass	pass	warn	warn	fail
SRR10898041_2	SRR10898041_2.fastq	Conventional base calls	Sanger / Illumina 1.9	28286296.0	4.2 Gbp	0.0	151.0	47.0	67.55001731314904	151.0	151	pass	pass	pass	warn	warn	pass	pass	warn	warn	fail
SRR10898042_1	SRR10898042_1.fastq	Conventional base calls	Sanger / Illumina 1.9	36203140.0	5.4 Gbp	0.0	151.0	52.0	48.58240825919658	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10898042_2	SRR10898042_2.fastq	Conventional base calls	Sanger / Illumina 1.9	36203140.0	5.4 Gbp	0.0	151.0	52.0	52.47246474566052	151.0	151	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
SRR10898043_1	SRR10898043_1.fastq	Conventional base calls	Sanger / Illumina 1.9	31948322.0	4.8 Gbp	0.0	151.0	52.0	43.003078770313124	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
SRR10898043_2	SRR10898043_2.fastq	Conventional base calls	Sanger / Illumina 1.9	31948322.0	4.8 Gbp	0.0	151.0	52.0	47.18644843142009	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10898044_1	SRR10898044_1.fastq	Conventional base calls	Sanger / Illumina 1.9	33679324.0	5 Gbp	0.0	151.0	51.0	43.64187947964088	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
SRR10898044_2	SRR10898044_2.fastq	Conventional base calls	Sanger / Illumina 1.9	33679324.0	5 Gbp	0.0	151.0	51.0	47.803052267781624	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10898045_1	SRR10898045_1.fastq	Conventional base calls	Sanger / Illumina 1.9	36373599.0	5.4 Gbp	0.0	151.0	52.0	45.63428638407958	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
SRR10898045_2	SRR10898045_2.fastq	Conventional base calls	Sanger / Illumina 1.9	36373599.0	5.4 Gbp	0.0	151.0	52.0	49.73984943570219	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10898046_1	SRR10898046_1.fastq	Conventional base calls	Sanger / Illumina 1.9	35249927.0	5.3 Gbp	0.0	151.0	52.0	46.80803507882058	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10898046_2	SRR10898046_2.fastq	Conventional base calls	Sanger / Illumina 1.9	35249927.0	5.3 Gbp	0.0	151.0	52.0	50.547083766741196	151.0	151	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
SRR10898047_1	SRR10898047_1.fastq	Conventional base calls	Sanger / Illumina 1.9	32189903.0	4.8 Gbp	0.0	151.0	52.0	47.87989336051921	151.0	151	pass	pass	pass	fail	fail	pass	pass	fail	warn	fail
SRR10898047_2	SRR10898047_2.fastq	Conventional base calls	Sanger / Illumina 1.9	32189903.0	4.8 Gbp	0.0	151.0	52.0	51.89810364870105	151.0	151	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
SRR10898048_1	SRR10898048_1.fastq	Conventional base calls	Sanger / Illumina 1.9	29452138.0	4.4 Gbp	0.0	151.0	49.0	52.08317525020475	151.0	151	pass	pass	pass	fail	fail	pass	pass	warn	warn	fail
SRR10898048_2	SRR10898048_2.fastq	Conventional base calls	Sanger / Illumina 1.9	29452138.0	4.4 Gbp	0.0	151.0	50.0	55.54401126092806	151.0	151	pass	pass	pass	warn	fail	pass	pass	warn	warn	fail
SRR10898049_1	SRR10898049_1.fastq	Conventional base calls	Sanger / Illumina 1.9	32465259.0	4.9 Gbp	0.0	151.0	53.0	43.36626422950618	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10898049_2	SRR10898049_2.fastq	Conventional base calls	Sanger / Illumina 1.9	32465259.0	4.9 Gbp	0.0	151.0	54.0	47.54517702524021	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10898050_1	SRR10898050_1.fastq	Conventional base calls	Sanger / Illumina 1.9	29249836.0	4.4 Gbp	0.0	151.0	53.0	42.74198643588274	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
SRR10898050_2	SRR10898050_2.fastq	Conventional base calls	Sanger / Illumina 1.9	29249836.0	4.4 Gbp	0.0	151.0	54.0	47.408721819976485	151.0	151	pass	pass	pass	warn	fail	pass	pass	fail	warn	fail
