Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR10898041_1	35.486825049470184	47.0	151.0	151	20.0	28.286296
SRR10898041_2	32.44998268685096	47.0	151.0	151	10.0	28.286296
SRR10898042_1	51.41759174080342	52.0	151.0	151	30.0	36.20314
SRR10898042_2	47.52753525433948	52.0	151.0	151	20.0	36.20314
SRR10898043_1	56.996921229686876	52.0	151.0	151	40.0	31.948321999999997
SRR10898043_2	52.81355156857991	52.0	151.0	151	30.0	31.948321999999997
SRR10898044_1	56.35812052035912	51.0	151.0	151	40.0	33.679324
SRR10898044_2	52.196947732218376	51.0	151.0	151	30.0	33.679324
SRR10898045_1	54.36571361592042	52.0	151.0	151	40.0	36.373599
SRR10898045_2	50.26015056429781	52.0	151.0	151	30.0	36.373599
SRR10898046_1	53.19196492117942	52.0	151.0	151	30.0	35.249927
SRR10898046_2	49.452916233258804	52.0	151.0	151	20.0	35.249927
SRR10898047_1	52.12010663948079	52.0	151.0	151	40.0	32.189903
SRR10898047_2	48.10189635129895	52.0	151.0	151	20.0	32.189903
SRR10898048_1	47.91682474979525	49.0	151.0	151	30.0	29.452137999999998
SRR10898048_2	44.45598873907194	50.0	151.0	151	20.0	29.452137999999998
SRR10898049_1	56.63373577049382	53.0	151.0	151	30.0	32.465258999999996
SRR10898049_2	52.45482297475979	54.0	151.0	151	30.0	32.465258999999996
SRR10898050_1	57.25801356411726	53.0	151.0	151	30.0	29.249836
SRR10898050_2	52.591278180023515	54.0	151.0	151	30.0	29.249836
SRR10898051_1	53.58550740171921	51.0	151.0	151	40.0	35.245098999999996
SRR10898051_2	49.08575307032904	51.0	151.0	151	20.0	35.245098999999996
SRR10898052_1	48.690221630089084	50.0	151.0	151	30.0	31.645090999999997
SRR10898052_2	45.008171147634826	50.0	151.0	151	30.0	31.645090999999997
SRR10898053_1	41.55804847701437	48.0	151.0	151	20.0	33.854099
SRR10898053_2	37.86377025309605	48.0	151.0	151	10.0	33.854099
SRR10898054_1	24.167925479905193	46.0	151.0	151	20.0	30.672534
SRR10898054_2	21.321231737233404	46.0	151.0	151	10.0	30.672534
SRR10898055_1	22.32313865460425	45.0	151.0	151	30.0	27.544625
SRR10898055_2	20.036835186949148	45.0	151.0	151	20.0	27.544625
SRR10898056_1	30.19999065239864	49.0	151.0	151	20.0	31.597355
SRR10898056_2	27.843957219316167	49.0	151.0	151	20.0	31.597355
SRR10898057_1	27.418455822979098	47.0	151.0	151	20.0	30.875671999999998
SRR10898057_2	24.843209166781662	47.0	151.0	151	20.0	30.875671999999998
SRR10898058_1	22.594717708332	45.0	151.0	151	20.0	30.523687
SRR10898058_2	20.590041154014344	46.0	151.0	151	20.0	30.523687
SRR10898059_1	33.57292313626833	50.0	151.0	151	20.0	28.31371
SRR10898059_2	30.262440020130512	50.0	151.0	151	20.0	28.31371
SRR10898060_1	12.535916731849682	44.0	151.0	151	20.0	27.921827
SRR10898060_2	10.973740435572765	44.0	151.0	151	20.0	27.921827
SRR10898061_1	12.82969579610122	42.0	151.0	151	20.0	26.422591999999998
SRR10898061_2	11.343980885281553	42.0	151.0	151	20.0	26.422591999999998
SRR10898063_1	27.939523083974578	48.0	151.0	151	30.0	31.882254
SRR10898063_2	25.5243727537581	48.0	151.0	151	20.0	31.882254
SRR10898064_1	31.59569364001345	47.0	151.0	151	20.0	33.338864
SRR10898064_2	28.370524774227846	47.0	151.0	151	20.0	33.338864
SRR10898065_1	34.54868105242747	49.0	151.0	151	20.0	28.256988
SRR10898065_2	31.24383628620558	49.0	151.0	151	20.0	28.256988
SRR10898066_1	30.444242848221535	49.0	151.0	151	20.0	29.617684999999998
SRR10898066_2	28.079862259922848	49.0	151.0	151	20.0	29.617684999999998
SRR10898067_1	26.130466666467484	46.0	151.0	151	30.0	29.754611999999998
SRR10898067_2	23.917813271137263	47.0	151.0	151	30.0	29.754611999999998
SRR10898068_1	31.639839927374368	49.0	151.0	151	20.0	31.057962
SRR10898068_2	29.035717732266235	49.0	151.0	151	20.0	31.057962
