.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
DRR049635	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049636	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049637	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049638	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049639	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049640	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049641	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049642	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049643	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049644	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049645	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049646	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049647	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049648	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049649	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049650	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049651	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049652	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049653	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049654	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049655	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049656	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049657	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049658	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049659	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049660	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049661	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049662	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049663	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049664	1	1	1	0.25	1	1	1	0.25	0.5	1
DRR049665	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
DRR049668_1	1	1	1	0.25	0.25	0.5	0.5	1	0.25	1
DRR049668_2	1	1	1	0.5	0.25	0.5	0.5	1	0.25	1
DRR049669_1	1	1	1	0.25	0.25	0.5	0.5	1	0.25	1
DRR049669_2	1	0.5	1	0.25	0.25	0.5	0.5	1	0.25	1
DRR076623_1	1	1	1	1	0.5	1	1	1	1	1
DRR076623_2	1	1	1	1	0.5	1	1	1	1	1
DRR076624_1	1	1	1	1	0.5	1	1	1	1	1
DRR076624_2	1	1	1	1	0.5	1	1	1	1	1
DRR076625_1	1	1	1	1	0.5	1	1	1	1	1
DRR076625_2	1	1	1	1	0.5	1	1	1	1	1
DRR076626_1	1	1	1	1	0.5	1	1	1	1	1
DRR076626_2	1	1	1	1	0.5	1	1	1	1	1
DRR076627_1	1	1	1	1	0.5	1	1	1	1	1
DRR076627_2	1	1	1	1	0.5	1	1	1	1	1
DRR076628_1	1	1	1	1	0.5	1	1	1	1	1
DRR076628_2	1	1	1	1	0.5	1	1	1	1	1
DRR076629_1	1	1	1	1	0.5	1	1	1	1	1
DRR076629_2	1	1	1	1	0.5	1	1	1	1	1
DRR076630_1	1	1	1	1	0.5	1	1	1	1	1
DRR076630_2	1	1	1	1	0.5	1	1	1	1	1
DRR076631_1	1	1	1	1	0.5	1	1	1	1	1
DRR076631_2	1	1	1	1	0.5	1	1	1	1	1
DRR076632_1	1	1	1	1	0.5	1	1	1	1	1
DRR076632_2	1	1	1	1	0.5	1	1	1	1	1
DRR076633_1	1	1	1	1	0.5	1	1	1	1	1
DRR076633_2	1	1	1	1	0.5	1	1	1	1	1
DRR076634_1	1	1	1	1	0.5	1	1	1	1	1
DRR076634_2	1	1	1	1	0.5	1	1	1	1	1
DRR076635_1	1	1	1	1	0.5	1	1	1	1	1
DRR076635_2	1	1	1	1	0.5	1	1	1	1	1
DRR076636_1	1	1	1	1	0.5	1	1	1	1	1
DRR076636_2	1	1	1	1	0.5	1	1	1	1	1
DRR076637_1	1	1	1	1	0.5	1	1	1	1	1
DRR076637_2	1	1	1	1	0.5	1	1	1	1	1
DRR076638_1	1	1	1	1	0.5	1	1	1	1	1
DRR076638_2	1	1	1	1	0.5	1	1	1	1	1
DRR076639_1	1	1	1	1	0.5	1	1	1	1	1
DRR076639_2	1	1	1	1	0.5	1	1	1	1	1
DRR076640_1	1	1	1	1	0.5	1	1	1	1	1
DRR076640_2	1	1	1	1	0.5	1	1	1	1	1
DRR076641_1	1	1	1	1	0.5	1	1	1	1	1
DRR076641_2	1	1	1	1	0.5	1	1	1	1	1
DRR076642_1	1	1	1	1	0.5	1	1	1	1	1
DRR076642_2	1	1	1	1	0.5	1	1	1	1	1
DRR076643_1	1	1	1	1	0.5	1	1	1	1	1
DRR076643_2	1	1	1	1	0.5	1	1	1	1	1
