Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
DRR049636 - polya	(1, 0.001334662083693447)	(2, 0.001673982952429069)	(3, 0.0020268766559141164)	(4, 0.002452158811396096)	(5, 0.0036375197128458692)	(6, 0.004261870111319414)	(7, 0.004868123396793726)	(8, 0.005673444925259602)	(9, 0.006116824193740815)	(10, 0.00884043970012541)	(11, 0.011351414128769012)	(12, 0.014667710085878492)	(13, 0.01825093845972666)	(14, 0.023042149126273646)	(15, 0.029154449041764653)	(16, 0.0338732712563147)	(17, 0.03876854032260728)	(18, 0.04355975098915427)	(19, 0.048436922942447606)	(20, 0.053092405261500344)	(21, 0.05804648994504043)	(22, 0.07064660487075652)	(23, 0.07665937066475174)	(24, 0.08436421652417528)	(25, 0.09047651643966628)	(26, 0.09567943642694582)	(27, 0.10061994827573648)																																															
DRR049637 - polya	(1, 0.0015286785798519023)	(2, 0.0018372627652257336)	(3, 0.002302512767789356)	(4, 0.002782005117370232)	(5, 0.004106543389974831)	(6, 0.004728459209728244)	(7, 0.005331385233458654)	(8, 0.006067239829350097)	(9, 0.00668440820009776)	(10, 0.009670553624715295)	(11, 0.012267408230861228)	(12, 0.01618880110961176)	(13, 0.020034234804270273)	(14, 0.025579255242987733)	(15, 0.032235178749050984)	(16, 0.03671677061048016)	(17, 0.041924722169789284)	(18, 0.04671015076758654)	(19, 0.051343660997199767)	(20, 0.056276260514175315)	(21, 0.061337041154306146)	(22, 0.0792301764569826)	(23, 0.08554428363463176)	(24, 0.09363868418943765)	(25, 0.10058420208485172)	(26, 0.1061672021156152)	(27, 0.1111235388776195)																																															
DRR049638 - polya	(1, 0.0009116479825899017)	(2, 0.0012931528448693714)	(3, 0.0016647484899467771)	(4, 0.001996707266215926)	(5, 0.0030074474208264695)	(6, 0.0039488230550225635)	(7, 0.004414556263519579)	(8, 0.004989290861239299)	(9, 0.005455024069736314)	(10, 0.00828906018952666)	(11, 0.011202370046933521)	(12, 0.015720973091074772)	(13, 0.01946170258485399)	(14, 0.024376674317077806)	(15, 0.03102575905966285)	(16, 0.03582677479406293)	(17, 0.04115297904017241)	(18, 0.045676536692914695)	(19, 0.050824375029387026)	(20, 0.055531253200367496)	(21, 0.06052054406160679)	(22, 0.0767270687955827)	(23, 0.08325228832314195)	(24, 0.09259172553608741)	(25, 0.09955790522913852)	(26, 0.10533993346654294)	(27, 0.10998735633431103)																																															
DRR049643 - polya	(1, 0.0006923358321566169)	(2, 0.0010130502249938733)	(3, 0.00121667841092229)	(4, 0.0015272113944631257)	(5, 0.0024486289357892113)	(6, 0.003176599700483301)	(7, 0.0036296724141740284)	(8, 0.004194740630125385)	(9, 0.004581634183389377)	(10, 0.007106623688901745)	(11, 0.009931964768658527)	(12, 0.013668541980444975)	(13, 0.017435663420120685)	(14, 0.021574406299115754)	(15, 0.028609760122942553)	(16, 0.03346120165268708)	(17, 0.03849081784511898)	(18, 0.04310808696104582)	(19, 0.04762354198400847)	(20, 0.05176737556765175)	(21, 0.05621156072553944)	(22, 0.07009391230120926)	(23, 0.07618748576511712)	(24, 0.08410862219773253)	(25, 0.09125597152381996)	(26, 0.09640776462780891)	(27, 0.10087740330893766)																																															
DRR049660 - polya	(1, 0.0007319365015983774)	(2, 0.000992082607588162)	(3, 0.0013315953221849997)	(4, 0.0016093784523096852)	(5, 0.0026323258521339233)	(6, 0.0032760772330577975)	(7, 0.00374786762866639)	(8, 0.0044048467776914395)	(9, 0.004911911221569833)	(10, 0.007376685344422201)	(11, 0.009687135506094187)	(12, 0.013320362477883723)	(13, 0.01690508763330228)	(14, 0.021631810101455658)	(15, 0.02785767962107559)	(16, 0.03244771515218349)	(17, 0.03727585050911254)	(18, 0.041786519431613385)	(19, 0.04639419198685618)	(20, 0.05116059775931309)	(21, 0.056359110623075054)	(22, 0.06901367543986628)	(23, 0.07517781537501406)	(24, 0.08394782562609342)	(25, 0.09052643562841135)	(26, 0.09601155013436546)	(27, 0.10138202398344272)																																															
DRR049662 - polya	(1, 0.0037131500523021927)	(2, 0.004852459250880917)	(3, 0.005542697670457808)	(4, 0.006607161739202894)	(5, 0.008598873805331394)	(6, 0.011979378836150746)	(7, 0.013081265469812652)	(8, 0.014008513467196065)	(9, 0.014910813087968267)	(10, 0.018748705023326526)	(11, 0.02360948039974451)	(12, 0.030881932181913083)	(13, 0.0375972035530979)	(14, 0.04500271334385961)	(15, 0.05485732210528872)	(16, 0.06165159666907571)	(17, 0.06937727729301466)	(18, 0.07680357739761903)	(19, 0.08565193496906255)	(20, 0.09295765125337942)	(21, 0.10033405460476137)	(22, 0.11276666228268249)	(23, 0.12247989690998139)	(24, 0.13498734971773615)	(25, 0.1464053900801346)	(26, 0.15629742140648054)	(27, 0.16509588222470162)																																															
DRR049664 - polya	(1, 0.001670607775347285)	(2, 0.002261041756223449)	(3, 0.0026683954329519647)	(4, 0.0031169421781137015)	(5, 0.004220001010603279)	(6, 0.005661758405766004)	(7, 0.006210999318208947)	(8, 0.00679685629148142)	(9, 0.007423906333187113)	(10, 0.010362345214756858)	(11, 0.0139781812216729)	(12, 0.0185506118177604)	(13, 0.02361278222744286)	(14, 0.029045690253024302)	(15, 0.03784727587492247)	(16, 0.04346784121225525)	(17, 0.049601031401201444)	(18, 0.05552825624798154)	(19, 0.06132274787425459)	(20, 0.06676938692264711)	(21, 0.07212906282656949)	(22, 0.08158973754339918)	(23, 0.08814858943948867)	(24, 0.09755891707267775)	(25, 0.10596230303305479)	(26, 0.11323974512292377)	(27, 0.11948736050196225)																																															
DRR049665 - nextera_transposase_sequence	(1, 4.0978559812613244e-05)	(2, 0.00011269103948468642)	(3, 0.0001741588792036063)	(4, 0.00023562671892252615)	(5, 0.00024587135887567944)	(6, 0.00024587135887567944)	(7, 0.0003892963182198258)	(8, 0.0004097855981261324)	(9, 0.0004712534378450523)	(10, 0.0005204277096201882)	(15, 0.0008625986840555086)	(20, 0.0015407938489542575)	(25, 0.002206695445909223)	(30, 0.0030467559220677945)	(35, 0.00420644916476475)	(40, 0.0055587416385809866)	(45, 0.00649715065828983)	(50, 0.007245009374870021)	(55, 0.008392409049623191)	(60, 0.009742652595448797)	(65, 0.01092488404604269)	(70, 0.012348888999530998)	(75, 0.01454329087749644)	(80, 0.01951808803874768)	(85, 0.021526037469565735)	(90, 0.02417120350546992)	(95, 0.02855590940541954)	(100, 0.03318033988027294)	(105, 0.03870834759899446)	(110, 0.045201400401303035)	(115, 0.052446409776173056)	(120, 0.062000560996483836)	(125, 0.07471825703432836)	(130, 0.08900133405701469)	(135, 0.10148340337593668)	(140, 0.10262055841073671)																																						
DRR049665 - polya	(1, 0.09931153970586819)	(2, 0.1035220867266142)	(3, 0.10582713071607369)	(4, 0.10712819999012417)	(5, 0.10975082781813142)	(6, 0.11080602573330621)	(7, 0.11150266125012064)	(8, 0.11230174316646659)	(9, 0.11298813404332786)	(10, 0.11922302191881695)	(15, 0.1297750010705649)	(20, 0.13965698076937655)	(25, 0.14912507701408084)	(30, 0.15819773015659339)	(35, 0.16695484838854885)	(40, 0.1752017835508373)	(45, 0.183868748951205)	(50, 0.19391054503328584)	(55, 0.203862188283779)	(60, 0.2148423933855687)	(65, 0.22685935605061752)	(70, 0.23904842866687934)	(75, 0.25119652272332854)	(80, 0.26395314839299505)	(85, 0.2785783963901167)	(90, 0.2928409841328968)	(95, 0.30685565158881045)	(100, 0.32237013433386585)	(105, 0.33778626853537097)	(110, 0.352997509937813)	(115, 0.36869229834604383)	(120, 0.38442601638609675)	(125, 0.39955939852489475)	(130, 0.41475015064743054)	(135, 0.43025643768052335)	(140, 0.4401199770274194)																																						
DRR049668_1 - polya	(1, 0.007889844095514686)	(2, 0.010394494814365267)	(3, 0.01342550529412703)	(4, 0.01613559178464126)	(5, 0.019665755666364155)	(6, 0.02275895210944032)	(7, 0.02597263385643814)	(8, 0.02882708061893223)	(9, 0.031701515726777374)	(10, 0.03942223621134951)	(15, 0.05189729568403374)	(20, 0.06457190547113938)	(25, 0.07713469157064215)	(30, 0.08927672300050517)	(35, 0.10070616991860297)	(40, 0.1134870510751584)	(45, 0.12593212802981604)	(50, 0.13810003326227238)	(55, 0.1519928216521619)	(60, 0.17340056161587072)	(65, 0.18752987875908111)	(70, 0.199903108716838)	(75, 0.21222381374486687)	(80, 0.22409378158522936)	(85, 0.23616463229636997)	(90, 0.24835074913236838)	(95, 0.2604384788906944)	(100, 0.2731838252110701)	(105, 0.28605565333897287)	(110, 0.29905562896984844)	(115, 0.3124694743958541)	(120, 0.32565212129396576)	(125, 0.33946251328246374)	(130, 0.35347234453902)	(135, 0.36748950485553833)	(140, 0.38148390066762905)	(145, 0.39614812814170636)	(150, 0.41101012918839597)	(155, 0.42585380758518065)	(160, 0.4406685028812062)	(165, 0.455427786042064)	(170, 0.47041793459172665)	(175, 0.4854482819248175)	(180, 0.5007623527155303)	(185, 0.5160434427364138)	(190, 0.5314906581164373)	(195, 0.5470620233303634)	(200, 0.562643493763328)	(205, 0.5782502827670708)	(210, 0.593657188317303)	(215, 0.6090790851265483)	(220, 0.6244514552578685)	(225, 0.6398017271629393)	(230, 0.6549875394043161)	(235, 0.6698784125054018)	(240, 0.6757287790969302)																		
