Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
DRR049635	0.20645092075511728	0.7475808252002164
DRR049636	0.20784081851794325	1.4061094858144196
DRR049637	0.20996542717736053	0.8627918874072207
DRR049638	0.2495636352339856	1.6042973104055847
DRR049639	0.20642221904995628	1.2216982468935123
DRR049640	0.2198013659494808	1.4569995058070742
DRR049641	0.19262192011515378	1.3835825405482984
DRR049642	0.21366360076563445	0.9328185748581621
DRR049643	0.2743431641967077	1.8468821928474988
DRR049644	0.1803799155166542	1.4569139866738123
DRR049645	0.23119003822187853	0.8751633939413084
DRR049646	0.23043736567500508	1.6395102552987366
DRR049647	0.2070873814885913	1.420046382582274
DRR049648	0.2163602706013301	1.1821372776455141
DRR049649	0.2409980492185492	1.0531473300225362
DRR049650	0.19890684056800872	1.1573134078769962
DRR049651	0.1875028642674137	1.3661174009511472
DRR049652	0.17145913457925918	2.3113379188148535
DRR049653	0.21934265498650513	0.882017015746313
DRR049654	0.208714189251775	0.9834734596730133
DRR049655	0.21238313352395727	1.2229302055114664
DRR049656	0.23327925162301721	3.302238990855709
DRR049657	0.1756793533553695	0.46399587057638864
DRR049658	0.19728038149087612	1.638850353737901
DRR049659	0.18577559371752805	0.7621562819180638
DRR049660	0.24179037312138685	2.624966803813636
DRR049661	0.19972493129241337	0.7988238830019716
DRR049662	0.39738190072616825	3.42060538815911
DRR049663	0.2319779584536287	1.0239212695192939
DRR049664	0.3412113398475747	3.8098553592365114
DRR049665	0.5689873029981349	3.621746584078477
DRR049668_1	9.56912606395672	0.0
DRR049668_2	9.481327812234014	0.0
DRR049669_1	9.143256838447982	0.0
DRR049669_2	9.043236875369953	0.0
DRR076623_1	0.0	0.0
DRR076623_2	0.0	0.0
DRR076624_1	0.0	0.0
DRR076624_2	0.0	0.0
DRR076625_1	0.0	0.0
DRR076625_2	0.0	0.0
DRR076626_1	0.0	0.0
DRR076626_2	0.0	0.0
DRR076627_1	0.0	0.0
DRR076627_2	0.0	0.0
DRR076628_1	0.0	0.0
DRR076628_2	0.0	0.0
DRR076629_1	0.0	0.0
DRR076629_2	0.0	0.0
DRR076630_1	0.0	0.0
DRR076630_2	0.0	0.0
DRR076631_1	0.0	0.0
DRR076631_2	0.0	0.0
DRR076632_1	0.0	0.0
DRR076632_2	0.0	0.0
DRR076633_1	0.0	0.0
DRR076633_2	0.0	0.0
DRR076634_1	0.0	0.0
DRR076634_2	0.0	0.0
DRR076635_1	0.0	0.0
DRR076635_2	0.0	0.0
DRR076636_1	0.0	0.0
DRR076636_2	0.0	0.0
DRR076637_1	0.0	0.0
DRR076637_2	0.0	0.0
DRR076638_1	0.0	0.0
DRR076638_2	0.0	0.0
DRR076639_1	0.0	0.0
DRR076639_2	0.0	0.0
DRR076640_1	0.0	0.0
DRR076640_2	0.0	0.0
DRR076641_1	0.0	0.0
DRR076641_2	0.0	0.0
DRR076642_1	0.0	0.0
DRR076642_2	0.0	0.0
DRR076643_1	0.0	0.0
DRR076643_2	0.0	0.0
