Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
DRR049635	(1, 0.04974301519609786)	(2, 0.0)	(3, 0.001611823269552985)	(4, 0.0006318347216647702)	(5, 0.0011347235817653015)	(6, 4.298195385474627e-06)	(7, 8.596390770949253e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0005458708139552776)	(12, 0.000494292469329582)	(13, 0.00010315668925139106)	(14, 0.00016333142464803582)	(15, 8.166571232401791e-05)	(16, 1.2894586156423882e-05)	(17, 9.45602984804418e-05)	(18, 0.00020201518311730747)	(19, 0.0012937568110278626)	(20, 0.0002235061600446806)	(21, 4.298195385474627e-05)	(22, 0.0)	(23, 0.0)	(24, 7.306932155306866e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 3.8683758469271644e-05)	(31, 0.00027938270005585075)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0007306932155306865)	(37, 0.0)	(38, 0.0)																				
DRR049636	(1, 0.04953632255715102)	(2, 0.0)	(3, 0.0016739829524290693)	(4, 0.0016287401699309862)	(5, 0.0013210892489440222)	(6, 0.0)	(7, 3.619422599846636e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0005610105029762286)	(12, 0.0005248162769777622)	(13, 0.00012667979099463227)	(14, 0.00017644685174252351)	(15, 0.00012667979099463227)	(16, 1.809711299923318e-05)	(17, 0.00016287401699309863)	(18, 0.00020811679949118156)	(19, 0.0011717880667003484)	(20, 0.00015834973874329032)	(21, 5.429133899769954e-05)	(22, 0.0)	(23, 0.0)	(24, 3.166994774865807e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 4.524278249808295e-05)	(31, 0.000275980973238306)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0007917486937164517)	(37, 0.0)	(38, 0.0)																				
DRR049637	(1, 0.049549125273025796)	(2, 0.0)	(3, 0.00167110205002444)	(4, 0.0016805969480359424)	(5, 0.0010919132713227873)	(6, 4.747449005751249e-06)	(7, 0.000208887756253055)	(8, 4.747449005751249e-06)	(9, 0.0)	(10, 6.646428608051749e-05)	(11, 0.0005601989826786475)	(12, 0.0004984821456038812)	(13, 0.0001614132661955425)	(14, 0.0002373724502875625)	(15, 0.00015191836818403997)	(16, 2.8484694034507494e-05)	(17, 9.969642912077624e-05)	(18, 0.000246867348299065)	(19, 0.001068176026294031)	(20, 0.00013767602116678625)	(21, 0.00013292857216103498)	(22, 0.0)	(23, 4.747449005751249e-06)	(24, 6.171683707476625e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 4.747449005751249e-06)	(29, 0.0)	(30, 3.3232143040258745e-05)	(31, 0.000360806124437095)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.000854540821035225)	(37, 0.0)	(38, 9.494898011502498e-06)																				
DRR049638	(1, 0.04964517818234139)	(2, 0.0)	(3, 0.0016994307501540017)	(4, 0.0014120634512941412)	(5, 0.001189106064247698)	(6, 0.0)	(7, 9.909217202064148e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0004805970343001112)	(12, 0.0004954608601032075)	(13, 0.00016845669243509054)	(14, 0.0002130481698443792)	(15, 8.918295481857734e-05)	(16, 4.954608601032075e-06)	(17, 0.00012386521502580187)	(18, 0.00022791199564747543)	(19, 0.0011544238040404734)	(20, 0.00018827512683921882)	(21, 6.936452041444905e-05)	(22, 0.0)	(23, 0.0)	(24, 3.96368688082566e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 9.90921720206415e-06)	(31, 0.00024277582145057166)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0007630097245589396)	(37, 0.0)	(38, 0.0)																				
DRR049639	(1, 0.04837633023480152)	(2, 0.0)	(3, 0.0015607374360309886)	(4, 0.0003199838257971483)	(5, 0.0009403606309140684)	(6, 0.0)	(7, 1.9590846477376424e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0004767105976161597)	(12, 0.00042446834034315584)	(13, 0.00022202959341026618)	(14, 0.00024815072204676807)	(15, 0.00015019648965988592)	(16, 1.9590846477376424e-05)	(17, 0.00015019648965988592)	(18, 0.0002089690290920152)	(19, 0.0012015719172790873)	(20, 0.00022202959341026618)	(21, 0.00013713592534163498)	(22, 0.0)	(23, 6.530282159125475e-06)	(24, 1.306056431825095e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 5.8772539432129274e-05)	(31, 0.00024815072204676807)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0007313916018220532)	(37, 0.0)	(38, 0.0)																				
DRR049640	(1, 0.04869899715553585)	(2, 0.0)	(3, 0.001692401416299887)	(4, 0.000638310568777466)	(5, 0.0012063484143867707)	(6, 0.0)	(7, 2.34242410560538e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0004626287608570625)	(12, 0.0005094772429691701)	(13, 0.0001756818079204035)	(14, 0.0001639696873923766)	(15, 0.000117121205280269)	(16, 1.7568180792040347e-05)	(17, 0.00010540908475224211)	(18, 0.0001873939284484304)	(19, 0.0011594999322746629)	(20, 0.00022253029003251108)	(21, 9.36969642242152e-05)	(22, 0.0)	(23, 5.85606026401345e-06)	(24, 4.099242184809415e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 4.099242184809415e-05)	(31, 0.00025181059135257833)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0008374166177539233)	(37, 0.0)	(38, 0.0)																				
DRR049641	(1, 0.04954422668355297)	(2, 0.0)	(3, 0.0016692550850315323)	(4, 0.0006483883388139009)	(5, 0.0012783826822004571)	(6, 0.0)	(7, 9.196997713672353e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.000492039377681471)	(12, 0.0004874408788246347)	(13, 0.0002161294462713003)	(14, 0.0001379549657050853)	(15, 9.65684759935597e-05)	(16, 2.2992494284180883e-05)	(17, 0.0001379549657050853)	(18, 0.0002207279451281365)	(19, 0.0013013751764846381)	(20, 0.00014715196341875765)	(21, 8.277297942305118e-05)	(22, 0.0)	(23, 4.598498856836177e-06)	(24, 5.5181986282034124e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 7.357598170937883e-05)	(31, 0.00031269792226486004)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0007449568148074606)	(37, 0.0)	(38, 0.0)																				
DRR049642	(1, 0.0484444136005566)	(2, 0.0)	(3, 0.0016443879964135617)	(4, 0.00022296786392048297)	(5, 0.0009847747323154664)	(6, 0.0)	(7, 4.645163831676729e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.00043200023634593575)	(12, 0.00044593572784096594)	(13, 0.00016722589794036221)	(14, 0.00020438720859377606)	(15, 0.00013470975111862512)	(16, 1.3935491495030186e-05)	(17, 0.00014400007878197858)	(18, 0.00027870982990060373)	(19, 0.0012030974324042725)	(20, 0.00015793557027700877)	(21, 0.00012541942345527167)	(22, 0.0)	(23, 0.0)	(24, 2.787098299006037e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 1.3935491495030186e-05)	(31, 0.00025083884691054335)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0007153552300782162)	(37, 0.0)	(38, 0.0)																				
DRR049643	(1, 0.04875876912055939)	(2, 0.0)	(3, 0.0016137533734827028)	(4, 0.0016137533734827028)	(5, 0.0013184925038864986)	(6, 0.0)	(7, 9.163268366778754e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0005447053973585148)	(12, 0.0004530727136907273)	(13, 0.00016799325339094382)	(14, 0.00016799325339094382)	(15, 8.145127437136671e-05)	(16, 1.0181409296420838e-05)	(17, 0.00012726761620526046)	(18, 0.00017308395803915426)	(19, 0.0011759527737366068)	(20, 0.00020362818592841676)	(21, 9.672338831599796e-05)	(22, 0.0)	(23, 0.0)	(24, 4.0725637185683354e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 4.0725637185683354e-05)	(31, 0.00020871889057662716)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0008857826087886129)	(37, 0.0)	(38, 0.0)																				
DRR049644	(1, 0.0487776017643473)	(2, 0.0)	(3, 0.0015256082176700596)	(4, 0.0015256082176700596)	(5, 0.0012046723426114188)	(6, 0.0)	(7, 3.720995652853803e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0004883806794370617)	(12, 0.0004139607663799856)	(13, 0.00018139853807662293)	(14, 0.00016744480437842115)	(15, 0.00012558360328381588)	(16, 2.7907467396403528e-05)	(17, 0.00013488609241595038)	(18, 0.00022791098373729549)	(19, 0.0011721136306489482)	(20, 0.00015814231524628665)	(21, 0.00011162986958561411)	(22, 0.0)	(23, 0.0)	(24, 3.720995652853803e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 2.7907467396403528e-05)	(31, 0.0003069821413604388)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0007395478860046935)	(37, 0.0)	(38, 0.0)																				
DRR049645	(1, 0.05058524227857228)	(2, 0.0)	(3, 0.001610861726819713)	(4, 0.00023535317437301)	(5, 0.0010983148137407132)	(6, 0.0)	(7, 1.5690211624867333e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0005491574068703566)	(12, 0.00048116648982926487)	(13, 0.00015690211624867334)	(14, 0.00014121190462380599)	(15, 8.36811286659591e-05)	(16, 5.230070541622444e-05)	(17, 0.00010460141083244888)	(18, 0.0002928839503308569)	(19, 0.0011296952369904479)	(20, 0.00020397275112327533)	(21, 4.184056433297955e-05)	(22, 0.0)	(23, 0.0)	(24, 3.661049379135711e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 6.276084649946933e-05)	(31, 0.00023535317437301)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0007688203696184992)	(37, 0.0)	(38, 0.0)																				
DRR049646	(1, 0.040374716040788065)	(2, 0.0)	(3, 0.000966898238794858)	(4, 0.001060902234233247)	(5, 0.0009198962410756636)	(6, 0.0)	(7, 9.400399543838897e-05)	(8, 0.0)	(9, 0.0)	(10, 6.71457110274207e-06)	(11, 0.0003558722684453297)	(12, 0.00041630340837000836)	(13, 0.00014100599315758347)	(14, 0.0001544351353630676)	(15, 2.0143713308226206e-05)	(16, 2.0143713308226206e-05)	(17, 0.00012757685095209933)	(18, 0.0002417245596987145)	(19, 0.0008796088144592112)	(20, 0.00016114970646580965)	(21, 8.728942433564691e-05)	(22, 0.0)	(23, 0.0)	(24, 2.685828441096828e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 6.0431139924678626e-05)	(31, 0.00024843913080145656)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0005707385437330759)	(37, 0.0)	(38, 0.0)																				
DRR049647	(1, 0.03353215795406346)	(2, 0.0)	(3, 0.0006797688227288621)	(4, 0.0005494021991918201)	(5, 0.0005773379042354719)	(6, 0.0)	(7, 6.518331176852102e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.00028866895211773595)	(12, 0.00033522846052382244)	(13, 9.311901681217288e-05)	(14, 9.311901681217288e-05)	(15, 5.5871410087303736e-05)	(16, 1.8623803362434577e-05)	(17, 8.380711513095561e-05)	(18, 0.0002421094437116495)	(19, 0.0008101354462659041)	(20, 0.0001583023285806939)	(21, 5.5871410087303736e-05)	(22, 0.0)	(23, 0.0)	(24, 9.311901681217289e-06)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 1.8623803362434577e-05)	(31, 0.0002421094437116495)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.00037247606724869154)	(37, 0.0)	(38, 0.0)																				
DRR049648	(1, 0.04795832551329057)	(2, 0.0)	(3, 0.0013902298238638658)	(4, 0.0004004966711131004)	(5, 0.0010081467928019423)	(6, 0.0)	(7, 4.603410012794257e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.00045113418125383725)	(12, 0.00047415123131780846)	(13, 0.00017032617047338754)	(14, 0.0002808080107804497)	(15, 0.00011508525031985645)	(16, 2.3017050063971286e-05)	(17, 0.0001519125304222105)	(18, 0.00024398073067809562)	(19, 0.0011324388631473873)	(20, 0.00019794663055015306)	(21, 6.905115019191386e-05)	(22, 0.0)	(23, 0.0)	(24, 2.3017050063971286e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 3.22238700895598e-05)	(31, 0.0002808080107804497)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0006859080919063443)	(37, 0.0)	(38, 0.0)																				
DRR049649	(1, 0.05010156402327477)	(2, 4.123924934008953e-06)	(3, 0.0015547197001213756)	(4, 0.0016083307242634917)	(5, 0.0010928401075123726)	(6, 4.123924934008953e-06)	(7, 0.00011959382308625964)	(8, 0.0)	(9, 0.0)	(10, 4.123924934008953e-06)	(11, 0.00047425136741102963)	(12, 0.00045363174274098484)	(13, 0.0001608330724263492)	(14, 0.00018145269709639392)	(15, 0.00012371774802026858)	(16, 2.0619624670044766e-05)	(17, 0.00012784167295427755)	(18, 0.00021444409656846554)	(19, 0.001167070756324534)	(20, 0.00017320484722837604)	(21, 0.00010722204828423277)	(22, 0.0)	(23, 0.0)	(24, 4.536317427409848e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 4.536317427409848e-05)	(31, 0.00028455082044661777)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0007381825631876027)	(37, 0.0)	(38, 0.0)																				
DRR049650	(1, 0.050506443282960216)	(2, 0.0)	(3, 0.001660787537520803)	(4, 0.00034361121465947646)	(5, 0.0010308336439784293)	(6, 4.4052719828138e-06)	(7, 4.4052719828138e-06)	(8, 0.0)	(9, 0.0)	(10, 4.4052719828138e-06)	(11, 0.0004889851900923318)	(12, 0.0004933904620751456)	(13, 0.00019383196724380723)	(14, 0.00018942669526099342)	(15, 0.00011013179957034501)	(16, 1.3215815948441401e-05)	(17, 0.00012775288750160023)	(18, 0.00022907414310631763)	(19, 0.0013083657788956987)	(20, 0.00019383196724380723)	(21, 3.96474478453242e-05)	(22, 0.0)	(23, 4.4052719828138e-06)	(24, 6.607907974220701e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 4.845799181095181e-05)	(31, 0.0003171795827625936)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0007709225969924151)	(37, 0.0)	(38, 0.0)																				
DRR049651	(1, 0.041939117941132906)	(2, 0.0)	(3, 0.0009618851617328973)	(4, 0.0012347275874167478)	(5, 0.0008277761728374452)	(6, 0.0)	(7, 0.00023584684254027765)	(8, 0.00015723122836018512)	(9, 0.0)	(10, 0.00014798233257429187)	(11, 0.0004531958935087689)	(12, 0.00033758469618510337)	(13, 0.00012486009310955877)	(14, 0.00010636230153777227)	(15, 3.2371135250626344e-05)	(16, 1.8497791571786484e-05)	(17, 0.00013873343678839862)	(18, 0.00014798233257429187)	(19, 0.0009017673391245911)	(20, 0.00015260678046723848)	(21, 0.00012486009310955877)	(22, 0.0)	(23, 4.624447892946621e-06)	(24, 2.7746687357679724e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 1.8497791571786484e-05)	(29, 0.0)	(30, 1.8497791571786484e-05)	(31, 0.0002728424256838506)	(32, 0.0)	(33, 0.0)	(34, 1.3873343678839862e-05)	(35, 0.00027746687357679725)	(36, 0.0004809425808664486)	(37, 4.624447892946621e-06)	(38, 0.00034220914407804995)																				
DRR049652	(1, 0.04807044419090904)	(2, 0.0)	(3, 0.0014141264332503992)	(4, 0.0016309263045501117)	(5, 0.0012416719901710822)	(6, 0.0)	(7, 6.405450742946059e-05)	(8, 0.0)	(9, 0.0)	(10, 1.9709079209064797e-05)	(11, 0.0005025815198311523)	(12, 0.0005370724084470158)	(13, 0.0001773817128815832)	(14, 0.00014781809406798599)	(15, 0.00011825447525438878)	(16, 1.4781809406798597e-05)	(17, 0.00016259990347478458)	(18, 0.00027592710892690713)	(19, 0.0010593630074872329)	(20, 0.00018723625248611556)	(21, 5.41999678249282e-05)	(22, 0.0)	(23, 9.854539604532399e-06)	(24, 3.449088861586339e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 2.4636349011330998e-05)	(31, 0.0002660725693223748)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0008277813267807215)	(37, 0.0)	(38, 0.0)																				
DRR049653	(1, 0.04848849678735296)	(2, 0.0)	(3, 0.0014747945714239047)	(4, 0.0017443806758777366)	(5, 0.0011893504608257296)	(6, 0.0)	(7, 0.00010572004096228707)	(8, 0.0)	(9, 0.0)	(10, 1.0572004096228707e-05)	(11, 0.00044931017408972004)	(12, 0.0004915981904746349)	(13, 0.0001480080573472019)	(14, 0.0002272980880689172)	(15, 0.00012686404915474448)	(16, 1.585800614434306e-05)	(17, 9.514803686605837e-05)	(18, 0.00019029607373211675)	(19, 0.0011787784567295007)	(20, 0.0001691520655396593)	(21, 8.457603276982965e-05)	(22, 0.0)	(23, 5.286002048114353e-06)	(24, 4.228801638491483e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 3.7002014336800474e-05)	(31, 0.00029073011264628943)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0006448922498699511)	(37, 0.0)	(38, 0.0)																				
DRR049654	(1, 0.048703020312166494)	(2, 0.0)	(3, 0.0015947957037170286)	(4, 0.00035976872777454847)	(5, 0.000988021580753984)	(6, 0.0)	(7, 1.0739365008195478e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0003758777752868417)	(12, 0.00041346555281552585)	(13, 0.00022552666517210504)	(14, 0.00012887238009834574)	(15, 0.00010739365008195479)	(16, 2.6848412520488696e-05)	(17, 0.00018793888764342086)	(18, 0.00018256920513932314)	(19, 0.0011813301509015026)	(20, 0.00013424206260244346)	(21, 8.591492006556382e-05)	(22, 0.0)	(23, 1.0739365008195478e-05)	(24, 3.758777752868417e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 4.832714253687965e-05)	(31, 0.0002094176176598118)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0007678645980859766)	(37, 0.0)	(38, 0.0)																				
DRR049655	(1, 0.049052132063416846)	(2, 0.0)	(3, 0.0014731895503718813)	(4, 0.0003505175137091717)	(5, 0.0010464725771607156)	(6, 0.0)	(7, 5.079963966799591e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.00048767654081276066)	(12, 0.0005029164327131595)	(13, 0.00018287870280478527)	(14, 0.00019303863073838446)	(15, 0.00010159927933599181)	(16, 2.5399819833997953e-05)	(17, 0.00010159927933599181)	(18, 0.00024383827040638033)	(19, 0.001254751099799499)	(20, 0.00015239891900398772)	(21, 8.127942346879346e-05)	(22, 0.0)	(23, 5.079963966799591e-06)	(24, 3.047978380079754e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 1.523989190039877e-05)	(31, 0.00029463791007437626)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0007111949553519427)	(37, 0.0)	(38, 0.0)																				
DRR049656	(1, 0.049001017597356505)	(2, 0.0)	(3, 0.0016449371475552386)	(4, 0.0015745117039290206)	(5, 0.001398448094863475)	(6, 5.030388830444154e-06)	(7, 8.551661011755064e-05)	(8, 0.0)	(9, 0.0)	(10, 1.5091166491332465e-05)	(11, 0.0004929781053835271)	(12, 0.00036218799579197913)	(13, 0.00019618516438732204)	(14, 0.00020121555321776617)	(15, 0.00019115477555687788)	(16, 1.0060777660888308e-05)	(17, 0.00010060777660888309)	(18, 0.00019618516438732204)	(19, 0.0013129314847459244)	(20, 0.00016600283140465712)	(21, 0.00010563816543932724)	(22, 0.0)	(23, 2.0121555321776616e-05)	(24, 1.5091166491332465e-05)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 7.042544362621816e-05)	(31, 0.0002112763308786545)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0007042544362621816)	(37, 0.0)	(38, 5.030388830444154e-06)																				
