Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
DRR049635	(1, 32.7874137062058)	(2, 32.899738919015896)	(3, 32.95725513460272)	(4, 36.31274245582895)	(5, 36.36403127401348)	(6, 36.3528944778419)	(7, 36.31489318683593)	(8, 36.305957066701716)	(9, 38.14487669294096)	(10, 38.0242766373567)	(11, 38.08605485752385)	(12, 38.044526252474796)	(13, 38.057114807119774)	(14, 39.55135320515141)	(15, 39.53238346367324)	(16, 39.4900510960871)	(17, 39.505923686916354)	(18, 39.52019425436153)	(19, 39.58040058149426)	(20, 39.56673764993073)	(21, 39.555700485928185)	(22, 39.54481522015056)	(23, 39.52649343162676)	(24, 39.528422977499204)	(25, 39.4972592127305)	(26, 39.45226282364444)	(27, 39.41174193050351)	(28, 39.387301102083086)	(29, 39.36002024106171)	(30, 39.33001398031031)	(31, 39.29670945634791)	(32, 39.27068065964232)	(33, 39.24661811539778)	(34, 39.213081059065026)	(35, 39.17454253661783)	(36, 39.1320011477901)	(37, 39.088735427076)	(38, 39.04274477943338)																				
DRR049636	(1, 32.76780960642715)	(2, 32.88075391486928)	(3, 32.941368158935)	(4, 36.30417880888693)	(5, 36.359650486837225)	(6, 36.3481996743153)	(7, 36.30890848936928)	(8, 36.29907877098705)	(9, 38.13332505088795)	(10, 38.01101132413273)	(11, 38.07288481056372)	(12, 38.036019724586374)	(13, 38.04373370948786)	(14, 39.53113927253135)	(15, 39.52122562878758)	(16, 39.473372021039886)	(17, 39.499910034727)	(18, 39.510654743142474)	(19, 39.57418144608872)	(20, 39.55949695093054)	(21, 39.54272766835484)	(22, 39.52919849289053)	(23, 39.51312165110096)	(24, 39.515940638392856)	(25, 39.48594743340636)	(26, 39.42838300530883)	(27, 39.39409843191683)	(28, 39.37112921415594)	(29, 39.34386129865878)	(30, 39.31414307930431)	(31, 39.27947869275323)	(32, 39.24708060766305)	(33, 39.22489571877955)	(34, 39.18726087210078)	(35, 39.14529398375504)	(36, 39.10716381909348)	(37, 39.057594152605624)	(38, 39.010303093615505)																				
DRR049637	(1, 32.76886626739987)	(2, 32.88585594416696)	(3, 32.94544117663815)	(4, 36.30446843193278)	(5, 36.357956373222414)	(6, 36.3412347184364)	(7, 36.30113842877668)	(8, 36.290560305325535)	(9, 38.13016750329378)	(10, 38.00678965914455)	(11, 38.07041017579614)	(12, 38.03362736816999)	(13, 38.041122308338835)	(14, 39.52864601235172)	(15, 39.513465426987466)	(16, 39.46583507817909)	(17, 39.490610257983974)	(18, 39.503999630838365)	(19, 39.569551409745486)	(20, 39.55302786600648)	(21, 39.5377155864068)	(22, 39.52562288429935)	(23, 39.50783428782378)	(24, 39.50867439639984)	(25, 39.47887646302136)	(26, 39.41840502424427)	(27, 39.38166508608264)	(28, 39.35847697848038)	(29, 39.32918768678838)	(30, 39.30199491605181)	(31, 39.26692128501671)	(32, 39.23386209154373)	(33, 39.21282709448905)	(34, 39.17353226917049)	(35, 39.132863484635166)	(36, 39.08961854437137)	(37, 39.03881656730572)	(38, 38.99252034661695)																				
DRR049638	(1, 32.75046257464551)	(2, 32.86418080080249)	(3, 32.9204861125046)	(4, 36.29071666382024)	(5, 36.34740224173248)	(6, 36.33430859849036)	(7, 36.29358899906452)	(8, 36.286518723044765)	(9, 38.12349679033023)	(10, 37.99017664616499)	(11, 38.054861538755766)	(12, 38.01516719648774)	(13, 38.02437142243196)	(14, 39.50278773530241)	(15, 39.48366572068325)	(16, 39.44413810099464)	(17, 39.46741425764926)	(18, 39.48003602396822)	(19, 39.542818842317054)	(20, 39.52567936478351)	(21, 39.51432414506123)	(22, 39.499972823971824)	(23, 39.482832454608726)	(24, 39.48309009425598)	(25, 39.44840971680002)	(26, 39.40170787340321)	(27, 39.361510241993486)	(28, 39.33811051740036)	(29, 39.313225698425164)	(30, 39.2798274250369)	(31, 39.24666558557107)	(32, 39.21401966949887)	(33, 39.1895491053488)	(34, 39.15462491160359)	(35, 39.1111026387304)	(36, 39.069722342247616)	(37, 39.02145310841987)	(38, 38.97173554340586)																				
DRR049639	(1, 32.74366121836519)	(2, 32.859204700444856)	(3, 32.91599889089688)	(4, 36.28417711326787)	(5, 36.337321006598586)	(6, 36.325780757269804)	(7, 36.28806687583596)	(8, 36.27792560885412)	(9, 38.11143345309436)	(10, 37.983686636835465)	(11, 38.04768758137548)	(12, 38.00724129928061)	(13, 38.01991651164865)	(14, 39.50028955271094)	(15, 39.484749505559684)	(16, 39.438459926988834)	(17, 39.45758960494013)	(18, 39.47011142098025)	(19, 39.53049987873266)	(20, 39.518888514631165)	(21, 39.505531802016996)	(22, 39.49270619725083)	(23, 39.47442114599399)	(24, 39.476149776984336)	(25, 39.44169097999553)	(26, 39.392342029535946)	(27, 39.35241673335173)	(28, 39.326829912401486)	(29, 39.30016650913449)	(30, 39.26694317622737)	(31, 39.23022895038644)	(32, 39.204189254368465)	(33, 39.1770970727749)	(34, 39.14005189223415)	(35, 39.096775385851515)	(36, 39.05490171468231)	(37, 39.01065376352568)	(38, 38.96229055915802)																				
DRR049640	(1, 32.77357461004348)	(2, 32.88447574235373)	(3, 32.94120082146471)	(4, 36.30222184196871)	(5, 36.35847468838)	(6, 36.34467962577667)	(7, 36.305251181943284)	(8, 36.29492144300118)	(9, 38.13118271862562)	(10, 38.00333110275998)	(11, 38.068532243497096)	(12, 38.02917208132639)	(13, 38.03578538874314)	(14, 39.524690174883624)	(15, 39.50901402860229)	(16, 39.464919710192945)	(17, 39.48816932353193)	(18, 39.4983185786967)	(19, 39.557863292264194)	(20, 39.540923993783906)	(21, 39.52520164318709)	(22, 39.515615682459114)	(23, 39.49704927763447)	(24, 39.49688636203793)	(25, 39.465633446817925)	(26, 39.41057634935194)	(27, 39.37269859027647)	(28, 39.35230158101329)	(29, 39.32699842302153)	(30, 39.29782060275608)	(31, 39.26170165282031)	(32, 39.22902823306206)	(33, 39.20607698599353)	(34, 39.17069133192401)	(35, 39.12446324083628)	(36, 39.08529954948743)	(37, 39.03621393523326)	(38, 38.98667494479346)																				
DRR049641	(1, 32.80839103721303)	(2, 32.921843223654385)	(3, 32.97280061502163)	(4, 36.31872949730544)	(5, 36.37164534335083)	(6, 36.36104281446156)	(7, 36.32811820643646)	(8, 36.32036467751394)	(9, 38.16140358509087)	(10, 38.02981524105308)	(11, 38.09464634945639)	(12, 38.05413417233252)	(13, 38.070644162778216)	(14, 39.567547924520426)	(15, 39.54326946003093)	(16, 39.50817330289066)	(17, 39.520671195053744)	(18, 39.53631804726402)	(19, 39.59537307322323)	(20, 39.58108797447944)	(21, 39.57574704798216)	(22, 39.55873044091741)	(23, 39.53798403741486)	(24, 39.53974604422183)	(25, 39.50470934567178)	(26, 39.47260423612795)	(27, 39.428661486886895)	(28, 39.40539368047616)	(29, 39.384381253814745)	(30, 39.34309772449262)	(31, 39.3112946903387)	(32, 39.288129982272324)	(33, 39.258330835965246)	(34, 39.227721710069524)	(35, 39.193828244320265)	(36, 39.148549999041215)	(37, 39.10963989293407)	(38, 39.06187431962336)																				
DRR049642	(1, 32.75356444324042)	(2, 32.86826022728044)	(3, 32.92251527631804)	(4, 36.28648829609166)	(5, 36.34064635410846)	(6, 36.330774730643206)	(7, 36.29456377405812)	(8, 36.28642484315372)	(9, 38.122513687672004)	(10, 37.994834113302794)	(11, 38.05767700187748)	(12, 38.014384353676085)	(13, 38.02984002148667)	(14, 39.51413198192511)	(15, 39.49468653644786)	(16, 39.45636662903155)	(17, 39.470855034377465)	(18, 39.484965462742394)	(19, 39.54482123226349)	(20, 39.534296220053676)	(21, 39.52425913585274)	(22, 39.5097211201571)	(23, 39.487498052515065)	(24, 39.48896824686779)	(25, 39.454382911817234)	(26, 39.41708271076525)	(27, 39.37150255163495)	(28, 39.35023197483659)	(29, 39.32977235073997)	(30, 39.29190748357261)	(31, 39.255465383635254)	(32, 39.23041080992798)	(33, 39.20126867785538)	(34, 39.17296369720852)	(35, 39.13208147097102)	(36, 39.08535813702174)	(37, 39.043344023713374)	(38, 38.99456943186766)																				
DRR049643	(1, 32.75083917720774)	(2, 32.8619484896032)	(3, 32.920519591933186)	(4, 36.28734787829102)	(5, 36.34507198918164)	(6, 36.337532044713086)	(7, 36.29704531429654)	(8, 36.29130050500808)	(9, 38.128550422869566)	(10, 37.99667439537446)	(11, 38.06126703769758)	(12, 38.020971921404)	(13, 38.03005862557287)	(14, 39.51453136551127)	(15, 39.49882867976749)	(16, 39.455821490572575)	(17, 39.47981937772652)	(18, 39.49496015149123)	(19, 39.55597825373151)	(20, 39.53867036699806)	(21, 39.52751821123228)	(22, 39.5124818478199)	(23, 39.49705920173882)	(24, 39.49636900400262)	(25, 39.464090983924265)	(26, 39.41160408816164)	(27, 39.37130596835231)	(28, 39.34627309003634)	(29, 39.319584358219444)	(30, 39.28415585375546)	(31, 39.250012650401054)	(32, 39.21843327862862)	(33, 39.195298571354826)	(34, 39.153712401455415)	(35, 39.112801157178254)	(36, 39.06864866125158)	(37, 39.01848338134377)	(38, 38.96741837029643)																				
DRR049644	(1, 32.69671299337263)	(2, 32.815476523261665)	(3, 32.87146299595407)	(4, 36.24923177719125)	(5, 36.30207521788058)	(6, 36.28886368327778)	(7, 36.254097304594474)	(8, 36.245930602872924)	(9, 38.07856054399468)	(10, 37.93339259639077)	(11, 38.00685156232049)	(12, 37.96036674505254)	(13, 37.98423721124027)	(14, 39.4514748677907)	(15, 39.43059771004346)	(16, 39.39094952460094)	(17, 39.40058760102852)	(18, 39.415028878182135)	(19, 39.47633167690111)	(20, 39.465205620824406)	(21, 39.45738129721536)	(22, 39.44120473373904)	(23, 39.41722524237868)	(24, 39.418782013934944)	(25, 39.38191066801082)	(26, 39.34617148152651)	(27, 39.30013774195658)	(28, 39.27288363488437)	(29, 39.25134739578212)	(30, 39.20847445596951)	(31, 39.172028001236484)	(32, 39.15144968595262)	(33, 39.118840089374594)	(34, 39.08801912889445)	(35, 39.04535582067443)	(36, 38.99583160113234)	(37, 38.95329076018174)	(38, 38.904527577275545)																				
