Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
DRR049635	(0.0, 1767.0)	(1.0, 1909.0)	(2.0, 2051.0)	(3.0, 2051.0)	(4.0, 1988.0)	(5.0, 1925.0)	(6.0, 1925.0)	(7.0, 4288.5)	(8.0, 6652.0)	(9.0, 8375.5)	(10.0, 10099.0)	(11.0, 10099.0)	(12.0, 16760.0)	(13.0, 23421.0)	(14.0, 40340.5)	(15.0, 57260.0)	(16.0, 57260.0)	(17.0, 98361.0)	(18.0, 139462.0)	(19.0, 139462.0)	(20.0, 208227.0)	(21.0, 276992.0)	(22.0, 366853.0)	(23.0, 456714.0)	(24.0, 456714.0)	(25.0, 625663.0)	(26.0, 794612.0)	(27.0, 794612.0)	(28.0, 991415.0)	(29.0, 1188218.0)	(30.0, 1378062.0)	(31.0, 1567906.0)	(32.0, 1567906.0)	(33.0, 1734241.5)	(34.0, 1900577.0)	(35.0, 1900577.0)	(36.0, 2105002.0)	(37.0, 2309427.0)	(38.0, 2402149.0)	(39.0, 2494871.0)	(40.0, 2494871.0)	(41.0, 2553586.5)	(42.0, 2612302.0)	(43.0, 2473870.5)	(44.0, 2335439.0)	(45.0, 2335439.0)	(46.0, 2165717.0)	(47.0, 1995995.0)	(48.0, 1995995.0)	(49.0, 1790723.0)	(50.0, 1585451.0)	(51.0, 1382300.0)	(52.0, 1179149.0)	(53.0, 1179149.0)	(54.0, 1013419.5)	(55.0, 847690.0)	(56.0, 847690.0)	(57.0, 724556.5)	(58.0, 601423.0)	(59.0, 480953.5)	(60.0, 360484.0)	(61.0, 360484.0)	(62.0, 297966.0)	(63.0, 235448.0)	(64.0, 188443.5)	(65.0, 141439.0)	(66.0, 141439.0)	(67.0, 105013.5)	(68.0, 68588.0)	(69.0, 68588.0)	(70.0, 52955.5)	(71.0, 37323.0)	(72.0, 27543.0)	(73.0, 17763.0)	(74.0, 17763.0)	(75.0, 13186.5)	(76.0, 8610.0)	(77.0, 8610.0)	(78.0, 6331.0)	(79.0, 4052.0)	(80.0, 2795.0)	(81.0, 1538.0)	(82.0, 1538.0)	(83.0, 1059.5)	(84.0, 581.0)	(85.0, 581.0)	(86.0, 399.5)	(87.0, 218.0)	(88.0, 143.0)	(89.0, 68.0)	(90.0, 68.0)	(91.0, 56.5)	(92.0, 45.0)	(93.0, 29.5)	(94.0, 14.0)	(95.0, 14.0)	(96.0, 8.5)	(97.0, 3.0)	(98.0, 3.0)	(99.0, 2.0)	(100.0, 1.0)
DRR049636	(0.0, 1654.0)	(1.0, 1731.5)	(2.0, 1809.0)	(3.0, 1809.0)	(4.0, 2049.0)	(5.0, 2289.0)	(6.0, 2289.0)	(7.0, 3423.0)	(8.0, 4557.0)	(9.0, 7759.5)	(10.0, 10962.0)	(11.0, 10962.0)	(12.0, 19795.5)	(13.0, 28629.0)	(14.0, 51857.0)	(15.0, 75085.0)	(16.0, 75085.0)	(17.0, 119164.0)	(18.0, 163243.0)	(19.0, 163243.0)	(20.0, 258597.0)	(21.0, 353951.0)	(22.0, 462526.0)	(23.0, 571101.0)	(24.0, 571101.0)	(25.0, 718242.5)	(26.0, 865384.0)	(27.0, 865384.0)	(28.0, 1088092.0)	(29.0, 1310800.0)	(30.0, 1473741.0)	(31.0, 1636682.0)	(32.0, 1636682.0)	(33.0, 1765027.0)	(34.0, 1893372.0)	(35.0, 1893372.0)	(36.0, 2032725.5)	(37.0, 2172079.0)	(38.0, 2223717.5)	(39.0, 2275356.0)	(40.0, 2275356.0)	(41.0, 2252213.0)	(42.0, 2229070.0)	(43.0, 2121827.0)	(44.0, 2014584.0)	(45.0, 2014584.0)	(46.0, 1920706.5)	(47.0, 1826829.0)	(48.0, 1826829.0)	(49.0, 1627087.5)	(50.0, 1427346.0)	(51.0, 1239428.0)	(52.0, 1051510.0)	(53.0, 1051510.0)	(54.0, 912137.0)	(55.0, 772764.0)	(56.0, 772764.0)	(57.0, 653117.0)	(58.0, 533470.0)	(59.0, 441616.5)	(60.0, 349763.0)	(61.0, 349763.0)	(62.0, 285197.0)	(63.0, 220631.0)	(64.0, 179625.5)	(65.0, 138620.0)	(66.0, 138620.0)	(67.0, 105666.0)	(68.0, 72712.0)	(69.0, 72712.0)	(70.0, 58060.5)	(71.0, 43409.0)	(72.0, 33092.0)	(73.0, 22775.0)	(74.0, 22775.0)	(75.0, 19814.5)	(76.0, 16854.0)	(77.0, 16854.0)	(78.0, 13128.0)	(79.0, 9402.0)	(80.0, 7357.5)	(81.0, 5313.0)	(82.0, 5313.0)	(83.0, 2964.5)	(84.0, 616.0)	(85.0, 616.0)	(86.0, 412.5)	(87.0, 209.0)	(88.0, 145.0)	(89.0, 81.0)	(90.0, 81.0)	(91.0, 60.0)	(92.0, 39.0)	(93.0, 29.0)	(94.0, 19.0)	(95.0, 19.0)	(96.0, 11.0)	(97.0, 3.0)	(98.0, 3.0)	(99.0, 2.0)	(100.0, 1.0)
DRR049637	(0.0, 1691.0)	(1.0, 1796.0)	(2.0, 1901.0)	(3.0, 1901.0)	(4.0, 2132.5)	(5.0, 2364.0)	(6.0, 2364.0)	(7.0, 3433.0)	(8.0, 4502.0)	(9.0, 7711.0)	(10.0, 10920.0)	(11.0, 10920.0)	(12.0, 19805.5)	(13.0, 28691.0)	(14.0, 51015.5)	(15.0, 73340.0)	(16.0, 73340.0)	(17.0, 115432.0)	(18.0, 157524.0)	(19.0, 157524.0)	(20.0, 247631.0)	(21.0, 337738.0)	(22.0, 438627.0)	(23.0, 539516.0)	(24.0, 539516.0)	(25.0, 677136.0)	(26.0, 814756.0)	(27.0, 814756.0)	(28.0, 1014878.0)	(29.0, 1215000.0)	(30.0, 1366812.0)	(31.0, 1518624.0)	(32.0, 1518624.0)	(33.0, 1651795.5)	(34.0, 1784967.0)	(35.0, 1784967.0)	(36.0, 1907186.5)	(37.0, 2029406.0)	(38.0, 2068033.0)	(39.0, 2106660.0)	(40.0, 2106660.0)	(41.0, 2112628.5)	(42.0, 2118597.0)	(43.0, 2025833.5)	(44.0, 1933070.0)	(45.0, 1933070.0)	(46.0, 1837788.5)	(47.0, 1742507.0)	(48.0, 1742507.0)	(49.0, 1565256.0)	(50.0, 1388005.0)	(51.0, 1214100.5)	(52.0, 1040196.0)	(53.0, 1040196.0)	(54.0, 901116.5)	(55.0, 762037.0)	(56.0, 762037.0)	(57.0, 658318.0)	(58.0, 554599.0)	(59.0, 449792.5)	(60.0, 344986.0)	(61.0, 344986.0)	(62.0, 281367.5)	(63.0, 217749.0)	(64.0, 177560.0)	(65.0, 137371.0)	(66.0, 137371.0)	(67.0, 107530.0)	(68.0, 77689.0)	(69.0, 77689.0)	(70.0, 63547.5)	(71.0, 49406.0)	(72.0, 36940.0)	(73.0, 24474.0)	(74.0, 24474.0)	(75.0, 23484.0)	(76.0, 22494.0)	(77.0, 22494.0)	(78.0, 17943.5)	(79.0, 13393.0)	(80.0, 10947.5)	(81.0, 8502.0)	(82.0, 8502.0)	(83.0, 4663.5)	(84.0, 825.0)	(85.0, 825.0)	(86.0, 532.5)	(87.0, 240.0)	(88.0, 173.0)	(89.0, 106.0)	(90.0, 106.0)	(91.0, 84.0)	(92.0, 62.0)	(93.0, 45.0)	(94.0, 28.0)	(95.0, 28.0)	(96.0, 18.0)	(97.0, 8.0)	(98.0, 8.0)	(99.0, 4.0)	(100.0, 0.0)
DRR049638	(0.0, 634.0)	(1.0, 905.5)	(2.0, 1177.0)	(3.0, 1177.0)	(4.0, 1212.0)	(5.0, 1247.0)	(6.0, 1247.0)	(7.0, 3166.5)	(8.0, 5086.0)	(9.0, 6638.0)	(10.0, 8190.0)	(11.0, 8190.0)	(12.0, 13296.5)	(13.0, 18403.0)	(14.0, 32541.0)	(15.0, 46679.0)	(16.0, 46679.0)	(17.0, 83061.0)	(18.0, 119443.0)	(19.0, 119443.0)	(20.0, 188820.5)	(21.0, 258198.0)	(22.0, 333866.0)	(23.0, 409534.0)	(24.0, 409534.0)	(25.0, 557306.5)	(26.0, 705079.0)	(27.0, 705079.0)	(28.0, 904116.0)	(29.0, 1103153.0)	(30.0, 1253039.0)	(31.0, 1402925.0)	(32.0, 1402925.0)	(33.0, 1525213.5)	(34.0, 1647502.0)	(35.0, 1647502.0)	(36.0, 1817663.0)	(37.0, 1987824.0)	(38.0, 2066001.5)	(39.0, 2144179.0)	(40.0, 2144179.0)	(41.0, 2168876.0)	(42.0, 2193573.0)	(43.0, 2073375.5)	(44.0, 1953178.0)	(45.0, 1953178.0)	(46.0, 1833777.5)	(47.0, 1714377.0)	(48.0, 1714377.0)	(49.0, 1533390.5)	(50.0, 1352404.0)	(51.0, 1190581.0)	(52.0, 1028758.0)	(53.0, 1028758.0)	(54.0, 894670.5)	(55.0, 760583.0)	(56.0, 760583.0)	(57.0, 643271.0)	(58.0, 525959.0)	(59.0, 428076.0)	(60.0, 330193.0)	(61.0, 330193.0)	(62.0, 269297.0)	(63.0, 208401.0)	(64.0, 168494.5)	(65.0, 128588.0)	(66.0, 128588.0)	(67.0, 95298.0)	(68.0, 62008.0)	(69.0, 62008.0)	(70.0, 47896.0)	(71.0, 33784.0)	(72.0, 25060.5)	(73.0, 16337.0)	(74.0, 16337.0)	(75.0, 12584.5)	(76.0, 8832.0)	(77.0, 8832.0)	(78.0, 6597.5)	(79.0, 4363.0)	(80.0, 3021.5)	(81.0, 1680.0)	(82.0, 1680.0)	(83.0, 1119.5)	(84.0, 559.0)	(85.0, 559.0)	(86.0, 401.5)	(87.0, 244.0)	(88.0, 169.5)	(89.0, 95.0)	(90.0, 95.0)	(91.0, 68.5)	(92.0, 42.0)	(93.0, 28.0)	(94.0, 14.0)	(95.0, 14.0)	(96.0, 8.0)	(97.0, 2.0)	(98.0, 2.0)	(99.0, 2.0)	(100.0, 2.0)
DRR049639	(0.0, 1239.0)	(1.0, 1270.5)	(2.0, 1302.0)	(3.0, 1302.0)	(4.0, 1280.0)	(5.0, 1258.0)	(6.0, 1258.0)	(7.0, 2491.5)	(8.0, 3725.0)	(9.0, 5261.5)	(10.0, 6798.0)	(11.0, 6798.0)	(12.0, 11273.0)	(13.0, 15748.0)	(14.0, 27513.5)	(15.0, 39279.0)	(16.0, 39279.0)	(17.0, 64875.0)	(18.0, 90471.0)	(19.0, 90471.0)	(20.0, 137186.0)	(21.0, 183901.0)	(22.0, 242855.0)	(23.0, 301809.0)	(24.0, 301809.0)	(25.0, 401227.0)	(26.0, 500645.0)	(27.0, 500645.0)	(28.0, 632988.0)	(29.0, 765331.0)	(30.0, 882279.0)	(31.0, 999227.0)	(32.0, 999227.0)	(33.0, 1105783.0)	(34.0, 1212339.0)	(35.0, 1212339.0)	(36.0, 1344645.0)	(37.0, 1476951.0)	(38.0, 1549215.5)	(39.0, 1621480.0)	(40.0, 1621480.0)	(41.0, 1658033.0)	(42.0, 1694586.0)	(43.0, 1604572.0)	(44.0, 1514558.0)	(45.0, 1514558.0)	(46.0, 1438507.5)	(47.0, 1362457.0)	(48.0, 1362457.0)	(49.0, 1213805.5)	(50.0, 1065154.0)	(51.0, 931960.0)	(52.0, 798766.0)	(53.0, 798766.0)	(54.0, 697179.0)	(55.0, 595592.0)	(56.0, 595592.0)	(57.0, 504848.5)	(58.0, 414105.0)	(59.0, 337096.5)	(60.0, 260088.0)	(61.0, 260088.0)	(62.0, 218937.0)	(63.0, 177786.0)	(64.0, 141137.0)	(65.0, 104488.0)	(66.0, 104488.0)	(67.0, 78033.5)	(68.0, 51579.0)	(69.0, 51579.0)	(70.0, 39612.0)	(71.0, 27645.0)	(72.0, 20297.5)	(73.0, 12950.0)	(74.0, 12950.0)	(75.0, 9763.5)	(76.0, 6577.0)	(77.0, 6577.0)	(78.0, 4943.5)	(79.0, 3310.0)	(80.0, 2407.0)	(81.0, 1504.0)	(82.0, 1504.0)	(83.0, 938.0)	(84.0, 372.0)	(85.0, 372.0)	(86.0, 259.0)	(87.0, 146.0)	(88.0, 100.5)	(89.0, 55.0)	(90.0, 55.0)	(91.0, 43.0)	(92.0, 31.0)	(93.0, 25.5)	(94.0, 20.0)	(95.0, 20.0)	(96.0, 10.5)	(97.0, 1.0)	(98.0, 1.0)	(99.0, 1.0)	(100.0, 1.0)
DRR049640	(0.0, 571.0)	(1.0, 737.0)	(2.0, 903.0)	(3.0, 903.0)	(4.0, 989.5)	(5.0, 1076.0)	(6.0, 1076.0)	(7.0, 1694.5)	(8.0, 2313.0)	(9.0, 3870.0)	(10.0, 5427.0)	(11.0, 5427.0)	(12.0, 9979.5)	(13.0, 14532.0)	(14.0, 27065.5)	(15.0, 39599.0)	(16.0, 39599.0)	(17.0, 66008.0)	(18.0, 92417.0)	(19.0, 92417.0)	(20.0, 154397.5)	(21.0, 216378.0)	(22.0, 283970.0)	(23.0, 351562.0)	(24.0, 351562.0)	(25.0, 458560.5)	(26.0, 565559.0)	(27.0, 565559.0)	(28.0, 736726.5)	(29.0, 907894.0)	(30.0, 1031988.0)	(31.0, 1156082.0)	(32.0, 1156082.0)	(33.0, 1268557.0)	(34.0, 1381032.0)	(35.0, 1381032.0)	(36.0, 1502005.5)	(37.0, 1622979.0)	(38.0, 1677285.5)	(39.0, 1731592.0)	(40.0, 1731592.0)	(41.0, 1758312.0)	(42.0, 1785032.0)	(43.0, 1708839.0)	(44.0, 1632646.0)	(45.0, 1632646.0)	(46.0, 1582622.5)	(47.0, 1532599.0)	(48.0, 1532599.0)	(49.0, 1368075.0)	(50.0, 1203551.0)	(51.0, 1063211.5)	(52.0, 922872.0)	(53.0, 922872.0)	(54.0, 793534.0)	(55.0, 664196.0)	(56.0, 664196.0)	(57.0, 566773.5)	(58.0, 469351.0)	(59.0, 391541.0)	(60.0, 313731.0)	(61.0, 313731.0)	(62.0, 256312.5)	(63.0, 198894.0)	(64.0, 159567.5)	(65.0, 120241.0)	(66.0, 120241.0)	(67.0, 91550.0)	(68.0, 62859.0)	(69.0, 62859.0)	(70.0, 50003.0)	(71.0, 37147.0)	(72.0, 28359.5)	(73.0, 19572.0)	(74.0, 19572.0)	(75.0, 15689.5)	(76.0, 11807.0)	(77.0, 11807.0)	(78.0, 9325.0)	(79.0, 6843.0)	(80.0, 5519.0)	(81.0, 4195.0)	(82.0, 4195.0)	(83.0, 2374.5)	(84.0, 554.0)	(85.0, 554.0)	(86.0, 369.0)	(87.0, 184.0)	(88.0, 130.0)	(89.0, 76.0)	(90.0, 76.0)	(91.0, 58.0)	(92.0, 40.0)	(93.0, 29.0)	(94.0, 18.0)	(95.0, 18.0)	(96.0, 10.5)	(97.0, 3.0)	(98.0, 3.0)	(99.0, 1.5)	(100.0, 0.0)
DRR049641	(0.0, 756.0)	(1.0, 940.5)	(2.0, 1125.0)	(3.0, 1125.0)	(4.0, 1130.0)	(5.0, 1135.0)	(6.0, 1135.0)	(7.0, 2835.5)	(8.0, 4536.0)	(9.0, 5190.5)	(10.0, 5845.0)	(11.0, 5845.0)	(12.0, 8788.5)	(13.0, 11732.0)	(14.0, 19307.0)	(15.0, 26882.0)	(16.0, 26882.0)	(17.0, 57024.0)	(18.0, 87166.0)	(19.0, 87166.0)	(20.0, 120284.0)	(21.0, 153402.0)	(22.0, 219398.5)	(23.0, 285395.0)	(24.0, 285395.0)	(25.0, 449668.5)	(26.0, 613942.0)	(27.0, 613942.0)	(28.0, 778478.0)	(29.0, 943014.0)	(30.0, 1119164.0)	(31.0, 1295314.0)	(32.0, 1295314.0)	(33.0, 1401178.5)	(34.0, 1507043.0)	(35.0, 1507043.0)	(36.0, 1745042.0)	(37.0, 1983041.0)	(38.0, 2155033.5)	(39.0, 2327026.0)	(40.0, 2327026.0)	(41.0, 2510118.5)	(42.0, 2693211.0)	(43.0, 2551992.0)	(44.0, 2410773.0)	(45.0, 2410773.0)	(46.0, 2204451.5)	(47.0, 1998130.0)	(48.0, 1998130.0)	(49.0, 1802154.0)	(50.0, 1606178.0)	(51.0, 1427282.0)	(52.0, 1248386.0)	(53.0, 1248386.0)	(54.0, 1096488.0)	(55.0, 944590.0)	(56.0, 944590.0)	(57.0, 812581.0)	(58.0, 680572.0)	(59.0, 548381.0)	(60.0, 416190.0)	(61.0, 416190.0)	(62.0, 326038.0)	(63.0, 235886.0)	(64.0, 192860.5)	(65.0, 149835.0)	(66.0, 149835.0)	(67.0, 106134.5)	(68.0, 62434.0)	(69.0, 62434.0)	(70.0, 46645.0)	(71.0, 30856.0)	(72.0, 21177.0)	(73.0, 11498.0)	(74.0, 11498.0)	(75.0, 8987.5)	(76.0, 6477.0)	(77.0, 6477.0)	(78.0, 4490.0)	(79.0, 2503.0)	(80.0, 1623.0)	(81.0, 743.0)	(82.0, 743.0)	(83.0, 525.5)	(84.0, 308.0)	(85.0, 308.0)	(86.0, 231.5)	(87.0, 155.0)	(88.0, 108.5)	(89.0, 62.0)	(90.0, 62.0)	(91.0, 55.5)	(92.0, 49.0)	(93.0, 39.0)	(94.0, 29.0)	(95.0, 29.0)	(96.0, 18.0)	(97.0, 7.0)	(98.0, 7.0)	(99.0, 4.0)	(100.0, 1.0)
DRR049642	(0.0, 1575.0)	(1.0, 1676.5)	(2.0, 1778.0)	(3.0, 1778.0)	(4.0, 1759.5)	(5.0, 1741.0)	(6.0, 1741.0)	(7.0, 3770.0)	(8.0, 5799.0)	(9.0, 7644.5)	(10.0, 9490.0)	(11.0, 9490.0)	(12.0, 15133.5)	(13.0, 20777.0)	(14.0, 34068.0)	(15.0, 47359.0)	(16.0, 47359.0)	(17.0, 83258.5)	(18.0, 119158.0)	(19.0, 119158.0)	(20.0, 169124.0)	(21.0, 219090.0)	(22.0, 287806.5)	(23.0, 356523.0)	(24.0, 356523.0)	(25.0, 521411.5)	(26.0, 686300.0)	(27.0, 686300.0)	(28.0, 850957.0)	(29.0, 1015614.0)	(30.0, 1177607.5)	(31.0, 1339601.0)	(32.0, 1339601.0)	(33.0, 1481098.5)	(34.0, 1622596.0)	(35.0, 1622596.0)	(36.0, 1843317.0)	(37.0, 2064038.0)	(38.0, 2187520.5)	(39.0, 2311003.0)	(40.0, 2311003.0)	(41.0, 2379965.5)	(42.0, 2448928.0)	(43.0, 2322022.0)	(44.0, 2195116.0)	(45.0, 2195116.0)	(46.0, 2042521.5)	(47.0, 1889927.0)	(48.0, 1889927.0)	(49.0, 1699396.0)	(50.0, 1508865.0)	(51.0, 1358638.0)	(52.0, 1208411.0)	(53.0, 1208411.0)	(54.0, 1058753.0)	(55.0, 909095.0)	(56.0, 909095.0)	(57.0, 792045.0)	(58.0, 674995.0)	(59.0, 528792.5)	(60.0, 382590.0)	(61.0, 382590.0)	(62.0, 305307.0)	(63.0, 228024.0)	(64.0, 184995.0)	(65.0, 141966.0)	(66.0, 141966.0)	(67.0, 101913.0)	(68.0, 61860.0)	(69.0, 61860.0)	(70.0, 46468.5)	(71.0, 31077.0)	(72.0, 22010.5)	(73.0, 12944.0)	(74.0, 12944.0)	(75.0, 9902.5)	(76.0, 6861.0)	(77.0, 6861.0)	(78.0, 4908.0)	(79.0, 2955.0)	(80.0, 2020.0)	(81.0, 1085.0)	(82.0, 1085.0)	(83.0, 721.5)	(84.0, 358.0)	(85.0, 358.0)	(86.0, 250.5)	(87.0, 143.0)	(88.0, 102.0)	(89.0, 61.0)	(90.0, 61.0)	(91.0, 51.5)	(92.0, 42.0)	(93.0, 30.0)	(94.0, 18.0)	(95.0, 18.0)	(96.0, 10.5)	(97.0, 3.0)	(98.0, 3.0)	(99.0, 1.5)	(100.0, 0.0)
DRR049643	(0.0, 581.0)	(1.0, 804.5)	(2.0, 1028.0)	(3.0, 1028.0)	(4.0, 1109.5)	(5.0, 1191.0)	(6.0, 1191.0)	(7.0, 2746.0)	(8.0, 4301.0)	(9.0, 5363.0)	(10.0, 6425.0)	(11.0, 6425.0)	(12.0, 10786.0)	(13.0, 15147.0)	(14.0, 27918.5)	(15.0, 40690.0)	(16.0, 40690.0)	(17.0, 76529.5)	(18.0, 112369.0)	(19.0, 112369.0)	(20.0, 185567.0)	(21.0, 258765.0)	(22.0, 329957.5)	(23.0, 401150.0)	(24.0, 401150.0)	(25.0, 538009.5)	(26.0, 674869.0)	(27.0, 674869.0)	(28.0, 873569.5)	(29.0, 1072270.0)	(30.0, 1216863.0)	(31.0, 1361456.0)	(32.0, 1361456.0)	(33.0, 1474695.5)	(34.0, 1587935.0)	(35.0, 1587935.0)	(36.0, 1754462.5)	(37.0, 1920990.0)	(38.0, 1997963.0)	(39.0, 2074936.0)	(40.0, 2074936.0)	(41.0, 2104497.5)	(42.0, 2134059.0)	(43.0, 2028591.0)	(44.0, 1923123.0)	(45.0, 1923123.0)	(46.0, 1809243.0)	(47.0, 1695363.0)	(48.0, 1695363.0)	(49.0, 1506876.0)	(50.0, 1318389.0)	(51.0, 1166201.5)	(52.0, 1014014.0)	(53.0, 1014014.0)	(54.0, 878034.0)	(55.0, 742054.0)	(56.0, 742054.0)	(57.0, 625253.0)	(58.0, 508452.0)	(59.0, 410675.5)	(60.0, 312899.0)	(61.0, 312899.0)	(62.0, 260001.5)	(63.0, 207104.0)	(64.0, 165389.5)	(65.0, 123675.0)	(66.0, 123675.0)	(67.0, 91976.5)	(68.0, 60278.0)	(69.0, 60278.0)	(70.0, 47401.0)	(71.0, 34524.0)	(72.0, 24938.0)	(73.0, 15352.0)	(74.0, 15352.0)	(75.0, 13037.5)	(76.0, 10723.0)	(77.0, 10723.0)	(78.0, 8194.5)	(79.0, 5666.0)	(80.0, 4265.0)	(81.0, 2864.0)	(82.0, 2864.0)	(83.0, 1694.5)	(84.0, 525.0)	(85.0, 525.0)	(86.0, 401.0)	(87.0, 277.0)	(88.0, 195.0)	(89.0, 113.0)	(90.0, 113.0)	(91.0, 82.0)	(92.0, 51.0)	(93.0, 42.5)	(94.0, 34.0)	(95.0, 34.0)	(96.0, 18.5)	(97.0, 3.0)	(98.0, 3.0)	(99.0, 2.0)	(100.0, 1.0)
DRR049644	(0.0, 1495.0)	(1.0, 1585.5)	(2.0, 1676.0)	(3.0, 1676.0)	(4.0, 1582.0)	(5.0, 1488.0)	(6.0, 1488.0)	(7.0, 2902.5)	(8.0, 4317.0)	(9.0, 6270.5)	(10.0, 8224.0)	(11.0, 8224.0)	(12.0, 13067.0)	(13.0, 17910.0)	(14.0, 27796.0)	(15.0, 37682.0)	(16.0, 37682.0)	(17.0, 71062.5)	(18.0, 104443.0)	(19.0, 104443.0)	(20.0, 133072.5)	(21.0, 161702.0)	(22.0, 223906.0)	(23.0, 286110.0)	(24.0, 286110.0)	(25.0, 433056.5)	(26.0, 580003.0)	(27.0, 580003.0)	(28.0, 730389.0)	(29.0, 880775.0)	(30.0, 1059435.5)	(31.0, 1238096.0)	(32.0, 1238096.0)	(33.0, 1377450.0)	(34.0, 1516804.0)	(35.0, 1516804.0)	(36.0, 1750561.5)	(37.0, 1984319.0)	(38.0, 2147087.0)	(39.0, 2309855.0)	(40.0, 2309855.0)	(41.0, 2476032.0)	(42.0, 2642209.0)	(43.0, 2499056.5)	(44.0, 2355904.0)	(45.0, 2355904.0)	(46.0, 2194049.5)	(47.0, 2032195.0)	(48.0, 2032195.0)	(49.0, 1807278.0)	(50.0, 1582361.0)	(51.0, 1416110.5)	(52.0, 1249860.0)	(53.0, 1249860.0)	(54.0, 1083173.0)	(55.0, 916486.0)	(56.0, 916486.0)	(57.0, 798902.5)	(58.0, 681319.0)	(59.0, 534948.0)	(60.0, 388577.0)	(61.0, 388577.0)	(62.0, 309932.5)	(63.0, 231288.0)	(64.0, 191258.0)	(65.0, 151228.0)	(66.0, 151228.0)	(67.0, 108782.0)	(68.0, 66336.0)	(69.0, 66336.0)	(70.0, 51676.5)	(71.0, 37017.0)	(72.0, 26370.0)	(73.0, 15723.0)	(74.0, 15723.0)	(75.0, 12005.0)	(76.0, 8287.0)	(77.0, 8287.0)	(78.0, 5962.5)	(79.0, 3638.0)	(80.0, 2516.0)	(81.0, 1394.0)	(82.0, 1394.0)	(83.0, 970.0)	(84.0, 546.0)	(85.0, 546.0)	(86.0, 383.5)	(87.0, 221.0)	(88.0, 146.0)	(89.0, 71.0)	(90.0, 71.0)	(91.0, 55.0)	(92.0, 39.0)	(93.0, 30.5)	(94.0, 22.0)	(95.0, 22.0)	(96.0, 11.5)	(97.0, 1.0)	(98.0, 1.0)	(99.0, 1.0)	(100.0, 1.0)
