Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
DRR049635	(2.0, 10.0)	(3.0, 1.0)	(4.0, 11.0)	(5.0, 19.0)	(6.0, 36.0)	(7.0, 19.0)	(8.0, 47.0)	(9.0, 63.0)	(10.0, 87.0)	(11.0, 127.0)	(12.0, 143.0)	(13.0, 194.0)	(14.0, 248.0)	(15.0, 335.0)	(16.0, 502.0)	(17.0, 732.0)	(18.0, 1088.0)	(19.0, 1607.0)	(20.0, 2194.0)	(21.0, 2908.0)	(22.0, 3986.0)	(23.0, 5564.0)	(24.0, 8579.0)	(25.0, 13455.0)	(26.0, 21813.0)	(27.0, 34984.0)	(28.0, 55417.0)	(29.0, 84967.0)	(30.0, 127499.0)	(31.0, 180337.0)	(32.0, 246675.0)	(33.0, 336349.0)	(34.0, 473954.0)	(35.0, 693422.0)	(36.0, 1015194.0)	(37.0, 1821771.0)	(38.0, 5600505.0)	(39.0, 12530736.0)
DRR049636	(2.0, 66.0)	(3.0, 3.0)	(4.0, 7.0)	(5.0, 19.0)	(6.0, 51.0)	(7.0, 38.0)	(8.0, 59.0)	(9.0, 79.0)	(10.0, 111.0)	(11.0, 143.0)	(12.0, 168.0)	(13.0, 221.0)	(14.0, 258.0)	(15.0, 385.0)	(16.0, 514.0)	(17.0, 767.0)	(18.0, 1166.0)	(19.0, 1706.0)	(20.0, 2346.0)	(21.0, 3164.0)	(22.0, 4233.0)	(23.0, 5752.0)	(24.0, 8838.0)	(25.0, 13498.0)	(26.0, 21291.0)	(27.0, 34062.0)	(28.0, 53853.0)	(29.0, 82051.0)	(30.0, 120983.0)	(31.0, 173025.0)	(32.0, 237695.0)	(33.0, 323091.0)	(34.0, 458428.0)	(35.0, 672231.0)	(36.0, 978343.0)	(37.0, 1760888.0)	(38.0, 5313888.0)	(39.0, 11829552.0)
DRR049637	(2.0, 82.0)	(3.0, 4.0)	(4.0, 9.0)	(5.0, 23.0)	(6.0, 45.0)	(7.0, 37.0)	(8.0, 66.0)	(9.0, 72.0)	(10.0, 94.0)	(11.0, 145.0)	(12.0, 163.0)	(13.0, 204.0)	(14.0, 274.0)	(15.0, 388.0)	(16.0, 548.0)	(17.0, 843.0)	(18.0, 1292.0)	(19.0, 1737.0)	(20.0, 2282.0)	(21.0, 3243.0)	(22.0, 4322.0)	(23.0, 5815.0)	(24.0, 8976.0)	(25.0, 13706.0)	(26.0, 21542.0)	(27.0, 34206.0)	(28.0, 52964.0)	(29.0, 79996.0)	(30.0, 117793.0)	(31.0, 166086.0)	(32.0, 227066.0)	(33.0, 310451.0)	(34.0, 434533.0)	(35.0, 638166.0)	(36.0, 934415.0)	(37.0, 1685867.0)	(38.0, 5061954.0)	(39.0, 11254535.0)
DRR049638	(2.0, 49.0)	(3.0, 2.0)	(4.0, 9.0)	(5.0, 11.0)	(6.0, 25.0)	(7.0, 27.0)	(8.0, 41.0)	(9.0, 66.0)	(10.0, 101.0)	(11.0, 108.0)	(12.0, 113.0)	(13.0, 168.0)	(14.0, 204.0)	(15.0, 261.0)	(16.0, 454.0)	(17.0, 694.0)	(18.0, 983.0)	(19.0, 1416.0)	(20.0, 2007.0)	(21.0, 2654.0)	(22.0, 3563.0)	(23.0, 4975.0)	(24.0, 7513.0)	(25.0, 11836.0)	(26.0, 18661.0)	(27.0, 30353.0)	(28.0, 47897.0)	(29.0, 73400.0)	(30.0, 110046.0)	(31.0, 157190.0)	(32.0, 215924.0)	(33.0, 295827.0)	(34.0, 420203.0)	(35.0, 624032.0)	(36.0, 918513.0)	(37.0, 1685552.0)	(38.0, 5222508.0)	(39.0, 10325843.0)
DRR049639	(2.0, 34.0)	(3.0, 3.0)	(4.0, 6.0)	(5.0, 8.0)	(6.0, 33.0)	(7.0, 16.0)	(8.0, 34.0)	(9.0, 41.0)	(10.0, 66.0)	(11.0, 100.0)	(12.0, 104.0)	(13.0, 139.0)	(14.0, 158.0)	(15.0, 225.0)	(16.0, 360.0)	(17.0, 487.0)	(18.0, 836.0)	(19.0, 1136.0)	(20.0, 1564.0)	(21.0, 1991.0)	(22.0, 2948.0)	(23.0, 3932.0)	(24.0, 6191.0)	(25.0, 9629.0)	(26.0, 15331.0)	(27.0, 24698.0)	(28.0, 38741.0)	(29.0, 59285.0)	(30.0, 88202.0)	(31.0, 125518.0)	(32.0, 170951.0)	(33.0, 231343.0)	(34.0, 325794.0)	(35.0, 475655.0)	(36.0, 694963.0)	(37.0, 1248629.0)	(38.0, 3810292.0)	(39.0, 7973831.0)
DRR049640	(2.0, 21.0)	(3.0, 2.0)	(4.0, 6.0)	(5.0, 12.0)	(6.0, 33.0)	(7.0, 25.0)	(8.0, 41.0)	(9.0, 62.0)	(10.0, 79.0)	(11.0, 105.0)	(12.0, 114.0)	(13.0, 162.0)	(14.0, 181.0)	(15.0, 283.0)	(16.0, 379.0)	(17.0, 632.0)	(18.0, 918.0)	(19.0, 1231.0)	(20.0, 1746.0)	(21.0, 2358.0)	(22.0, 3190.0)	(23.0, 4354.0)	(24.0, 6716.0)	(25.0, 10424.0)	(26.0, 16596.0)	(27.0, 26219.0)	(28.0, 41688.0)	(29.0, 64049.0)	(30.0, 94665.0)	(31.0, 133895.0)	(32.0, 184086.0)	(33.0, 251602.0)	(34.0, 358466.0)	(35.0, 529777.0)	(36.0, 766871.0)	(37.0, 1377704.0)	(38.0, 4155626.0)	(39.0, 9042009.0)
DRR049641	(2.0, 12.0)	(3.0, 2.0)	(4.0, 8.0)	(5.0, 14.0)	(6.0, 12.0)	(7.0, 21.0)	(8.0, 23.0)	(9.0, 44.0)	(10.0, 58.0)	(11.0, 83.0)	(12.0, 92.0)	(13.0, 124.0)	(14.0, 161.0)	(15.0, 238.0)	(16.0, 378.0)	(17.0, 585.0)	(18.0, 831.0)	(19.0, 1234.0)	(20.0, 1731.0)	(21.0, 2392.0)	(22.0, 3541.0)	(23.0, 4782.0)	(24.0, 7601.0)	(25.0, 11821.0)	(26.0, 19003.0)	(27.0, 30883.0)	(28.0, 49238.0)	(29.0, 76015.0)	(30.0, 114518.0)	(31.0, 164752.0)	(32.0, 222247.0)	(33.0, 303636.0)	(34.0, 427381.0)	(35.0, 633473.0)	(36.0, 933403.0)	(37.0, 1707490.0)	(38.0, 5436487.0)	(39.0, 11591913.0)
DRR049642	(2.0, 47.0)	(3.0, 1.0)	(4.0, 8.0)	(5.0, 19.0)	(6.0, 32.0)	(7.0, 25.0)	(8.0, 41.0)	(9.0, 48.0)	(10.0, 80.0)	(11.0, 98.0)	(12.0, 119.0)	(13.0, 164.0)	(14.0, 216.0)	(15.0, 296.0)	(16.0, 443.0)	(17.0, 691.0)	(18.0, 1019.0)	(19.0, 1485.0)	(20.0, 1983.0)	(21.0, 2915.0)	(22.0, 3771.0)	(23.0, 5430.0)	(24.0, 8397.0)	(25.0, 13261.0)	(26.0, 21330.0)	(27.0, 34442.0)	(28.0, 54075.0)	(29.0, 82984.0)	(30.0, 123354.0)	(31.0, 175627.0)	(32.0, 237379.0)	(33.0, 321336.0)	(34.0, 449996.0)	(35.0, 659344.0)	(36.0, 961008.0)	(37.0, 1722820.0)	(38.0, 5278060.0)	(39.0, 11365422.0)
DRR049643	(2.0, 66.0)	(3.0, 4.0)	(4.0, 9.0)	(5.0, 14.0)	(6.0, 29.0)	(7.0, 24.0)	(8.0, 53.0)	(9.0, 55.0)	(10.0, 83.0)	(11.0, 116.0)	(12.0, 143.0)	(13.0, 185.0)	(14.0, 217.0)	(15.0, 317.0)	(16.0, 425.0)	(17.0, 700.0)	(18.0, 1003.0)	(19.0, 1465.0)	(20.0, 2021.0)	(21.0, 2803.0)	(22.0, 3819.0)	(23.0, 5219.0)	(24.0, 7680.0)	(25.0, 12081.0)	(26.0, 19462.0)	(27.0, 30742.0)	(28.0, 48736.0)	(29.0, 74352.0)	(30.0, 110531.0)	(31.0, 157168.0)	(32.0, 214955.0)	(33.0, 292047.0)	(34.0, 412908.0)	(35.0, 612306.0)	(36.0, 882008.0)	(37.0, 1589466.0)	(38.0, 4813955.0)	(39.0, 10346479.0)
DRR049644	(2.0, 25.0)	(3.0, 3.0)	(4.0, 10.0)	(5.0, 14.0)	(6.0, 28.0)	(7.0, 14.0)	(8.0, 37.0)	(9.0, 34.0)	(10.0, 67.0)	(11.0, 87.0)	(12.0, 113.0)	(13.0, 136.0)	(14.0, 217.0)	(15.0, 276.0)	(16.0, 460.0)	(17.0, 718.0)	(18.0, 1045.0)	(19.0, 1553.0)	(20.0, 2124.0)	(21.0, 3074.0)	(22.0, 4193.0)	(23.0, 5754.0)	(24.0, 8973.0)	(25.0, 14158.0)	(26.0, 22992.0)	(27.0, 36644.0)	(28.0, 57682.0)	(29.0, 88341.0)	(30.0, 130186.0)	(31.0, 185580.0)	(32.0, 248451.0)	(33.0, 333916.0)	(34.0, 464100.0)	(35.0, 674327.0)	(36.0, 1004636.0)	(37.0, 1839827.0)	(38.0, 5718949.0)	(39.0, 10650878.0)
