Sample	Unique Reads	Duplicate Reads
DRR049635	6353553.0	16912025.0
DRR049636	9798298.0	12304675.0
DRR049637	8895524.0	12168420.0
DRR049638	5839839.0	14343390.0
DRR049639	4855817.0	10457457.0
DRR049640	6311006.0	10765321.0
DRR049641	3399759.0	18346468.0
DRR049642	5263113.0	16264653.0
DRR049643	6489005.0	13154641.0
DRR049644	4201520.0	17298102.0
DRR049645	7380719.0	11739482.0
DRR049646	5637371.0	9255613.0
DRR049647	5310122.0	5428823.0
DRR049648	4262665.0	17460362.0
DRR049649	4366965.0	19881779.0
DRR049650	4701231.0	17998843.0
DRR049651	4168192.0	17456011.0
DRR049652	3952594.0	16342621.0
DRR049653	7162086.0	11755803.0
DRR049654	4202537.0	14420538.0
DRR049655	4062844.0	15622335.0
DRR049656	6296310.0	13582869.0
DRR049657	9196919.0	11714474.0
DRR049658	7135440.0	11126386.0
DRR049659	8741194.0	12923654.0
DRR049660	8589058.0	14090505.0
DRR049661	5890222.0	12569166.0
DRR049662	4452265.0	19597396.0
DRR049663	7315435.0	11638952.0
DRR049664	5028691.0	16819645.0
DRR049665	5410080.0	4351122.0
DRR049668_1	137766456.0	42338497.0
DRR049668_2	138882939.0	41222014.0
DRR049669_1	77996417.0	20745871.0
DRR049669_2	78647127.0	20095161.0
DRR076623_1	94053135.0	14799686.0
DRR076623_2	95890080.0	12962741.0
DRR076624_1	94306459.0	14110124.0
DRR076624_2	96267587.0	12148996.0
DRR076625_1	93242374.0	15328397.0
DRR076625_2	95586074.0	12984697.0
DRR076626_1	97996388.0	11190142.0
DRR076626_2	99562544.0	9623986.0
DRR076627_1	97465901.0	11866019.0
DRR076627_2	99101829.0	10230091.0
DRR076628_1	98489169.0	11170812.0
DRR076628_2	100126552.0	9533429.0
DRR076629_1	99401664.0	10477528.0
DRR076629_2	100912831.0	8966361.0
DRR076630_1	73551945.0	8687292.0
DRR076630_2	75054759.0	7184478.0
DRR076631_1	97139832.0	12250781.0
DRR076631_2	98861437.0	10529176.0
DRR076632_1	98840455.0	11181839.0
DRR076632_2	100528167.0	9494127.0
DRR076633_1	92741526.0	17102898.0
DRR076633_2	94754549.0	15089875.0
DRR076634_1	91778888.0	16605023.0
DRR076634_2	93817642.0	14566269.0
DRR076635_1	92053006.0	17078803.0
DRR076635_2	94219162.0	14912647.0
DRR076636_1	93243490.0	15096888.0
DRR076636_2	95364094.0	12976284.0
DRR076637_1	94060913.0	15147682.0
DRR076637_2	96455449.0	12753146.0
DRR076638_1	92846512.0	15986565.0
DRR076638_2	95076170.0	13756907.0
DRR076639_1	95090891.0	14705972.0
DRR076639_2	97262374.0	12534489.0
DRR076640_1	94731974.0	14885389.0
DRR076640_2	96898598.0	12718765.0
DRR076641_1	95808281.0	14154307.0
DRR076641_2	97931174.0	12031414.0
DRR076642_1	96483726.0	13133262.0
DRR076642_2	98335032.0	11281956.0
DRR076643_1	95422029.0	13515671.0
DRR076643_2	97408992.0	11528708.0
