Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
DRR049635	(1.0, 19.043929335569736)	(2.0, 8.26814678294459)	(3.0, 4.254650342585959)	(4.0, 2.817854988583481)	(5.0, 2.096527705131369)	(6.0, 1.6334015771745056)	(7.0, 1.2800163555064472)	(8.0, 1.1439890673801225)	(9.0, 0.9957025953727439)	('>10', 13.697635342071385)	('>50', 5.74894567284764)	('>100', 15.193377891823001)	('>500', 7.12074691080337)	('>1k', 11.923114788565998)	('>5k', 2.736822403732563)	('>10k+', 2.045138239906875)
DRR049636	(1.0, 33.982739740697376)	(2.0, 12.340410939996485)	(3.0, 5.098621256164875)	(4.0, 2.9934198905421474)	(5.0, 2.1086343080752252)	(6.0, 1.5605277473245358)	(7.0, 1.2459157145455007)	(8.0, 1.016241175098507)	(9.0, 0.8599255834958945)	('>10', 10.203337701552941)	('>50', 3.545391004674684)	('>100', 8.926826424031917)	('>500', 3.8843517751956123)	('>1k', 7.3975447086264845)	('>5k', 2.0178267594483006)	('>10k+', 2.8182852705294708)
DRR049637	(1.0, 31.008385027384183)	(2.0, 12.911668218894848)	(3.0, 5.781982435078193)	(4.0, 3.329731015440734)	(5.0, 2.335032730041825)	(6.0, 1.8646751372039139)	(7.0, 1.3807593514794214)	(8.0, 1.1514711810588119)	(9.0, 1.0453438371316373)	('>10', 12.247401063445167)	('>50', 3.9585073091856646)	('>100', 8.58553979608831)	('>500', 3.56876348621828)	('>1k', 6.904898576624713)	('>5k', 1.8497827259597235)	('>10k+', 2.0760581087646437)
DRR049638	(1.0, 21.073665455608094)	(2.0, 8.162881207689603)	(3.0, 3.8434917960382515)	(4.0, 2.5198633899617175)	(5.0, 1.8871182766961363)	(6.0, 1.453393582609677)	(7.0, 1.2257595224385203)	(8.0, 1.0257548348097663)	(9.0, 0.9559391077619559)	('>10', 12.988935913682068)	('>50', 5.852176347609007)	('>100', 15.16745217685909)	('>500', 6.471666257907193)	('>1k', 11.518724073140705)	('>5k', 2.656485122640882)	('>10k+', 3.196692934547343)
DRR049639	(1.0, 23.46029536690421)	(2.0, 8.569251970839362)	(3.0, 4.082067532904179)	(4.0, 2.5885575538079704)	(5.0, 1.9767485632267323)	(6.0, 1.5266484077280795)	(7.0, 1.2773889433421008)	(8.0, 1.0975944049081259)	(9.0, 0.9547259399998802)	('>10', 13.778830774197937)	('>50', 6.080860223421476)	('>100', 15.532417579542788)	('>500', 6.168234091032085)	('>1k', 9.597390804758914)	('>5k', 1.6417237387137702)	('>10k+', 1.6672641046723484)
DRR049640	(1.0, 28.177224527236216)	(2.0, 9.799005908786752)	(3.0, 4.3361019200868345)	(4.0, 2.5492037232834197)	(5.0, 1.8975299394877212)	(6.0, 1.4960074112032102)	(7.0, 1.147991509485813)	(8.0, 1.0249691336966418)	(9.0, 0.8872332796404122)	('>10', 12.099864391528616)	('>50', 5.119652598868854)	('>100', 13.34015063597681)	('>500', 5.284838221195783)	('>1k', 8.418025395059352)	('>5k', 2.073076593329265)	('>10k+', 2.349124811134249)
DRR049641	(1.0, 11.594627894895076)	(2.0, 4.25310556033123)	(3.0, 1.915015923929539)	(4.0, 1.1724850116396262)	(5.0, 0.849552325045241)	(6.0, 0.6482244639156656)	(7.0, 0.532638643337738)	(8.0, 0.4620159125654644)	(9.0, 0.4116212459860616)	('>10', 7.494041557418371)	('>50', 4.592748271680401)	('>100', 15.206047439392192)	('>500', 8.477204284533979)	('>1k', 24.855408571452774)	('>5k', 9.430350186195353)	('>10k+', 8.104912707681292)
DRR049642	(1.0, 18.583105273219928)	(2.0, 6.603362608591155)	(3.0, 2.829038690604925)	(4.0, 1.609356158017803)	(5.0, 1.1754522635004356)	(6.0, 0.8965198409728404)	(7.0, 0.7045293464920555)	(8.0, 0.618355310460249)	(9.0, 0.5453344772958968)	('>10', 8.736918024145032)	('>50', 4.769709038941174)	('>100', 14.692922253792112)	('>500', 8.025260663330398)	('>1k', 19.615726668074576)	('>5k', 5.907093636894421)	('>10k+', 4.687315745666873)
DRR049643	(1.0, 25.09966983689781)	(2.0, 8.723301403211597)	(3.0, 3.902615384556052)	(4.0, 2.4248194766281777)	(5.0, 1.7002555501308376)	(6.0, 1.3135470451048161)	(7.0, 1.1215289262906096)	(8.0, 0.894190041260099)	(9.0, 0.7685716554160037)	('>10', 11.704165268205)	('>50', 5.082114570822229)	('>100', 13.133065095899141)	('>500', 5.771786870303401)	('>1k', 11.28827384625762)	('>5k', 3.4060899246289633)	('>10k+', 3.6660051043875015)
DRR049644	(1.0, 14.783380428577257)	(2.0, 5.118801229505659)	(3.0, 2.2685521971987166)	(4.0, 1.338963885061975)	(5.0, 0.9808204215021038)	(6.0, 0.784035693927104)	(7.0, 0.6352116817220721)	(8.0, 0.5590657225174978)	(9.0, 0.4962855549999497)	('>10', 8.26357871248264)	('>50', 4.692222947323542)	('>100', 14.542986925285916)	('>500', 7.815640624680718)	('>1k', 22.061922863244078)	('>5k', 8.74002551142065)	('>10k+', 6.918505600550047)
