Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
DRR049635	(38, 23265578.0)																																											
DRR049636	(38, 22102973.0)																																											
DRR049637	(38, 21063944.0)																																											
DRR049638	(38, 20183229.0)																																											
DRR049639	(38, 15313274.0)																																											
DRR049640	(38, 17076327.0)																																											
DRR049641	(38, 21746227.0)																																											
DRR049642	(38, 21527766.0)																																											
DRR049643	(38, 19643646.0)																																											
DRR049644	(38, 21499622.0)																																											
DRR049645	(38, 19120201.0)																																											
DRR049646	(38, 14892984.0)																																											
DRR049647	(38, 10738945.0)																																											
DRR049648	(38, 21723027.0)																																											
DRR049649	(38, 24248744.0)																																											
DRR049650	(38, 22700074.0)																																											
DRR049651	(38, 21624203.0)																																											
DRR049652	(38, 20295215.0)																																											
DRR049653	(38, 18917889.0)																																											
DRR049654	(38, 18623075.0)																																											
DRR049655	(38, 19685179.0)																																											
DRR049656	(38, 19879179.0)																																											
DRR049657	(38, 20911393.0)																																											
DRR049658	(38, 18261826.0)																																											
DRR049659	(38, 21664848.0)																																											
DRR049660	(38, 22679563.0)																																											
DRR049661	(38, 18459388.0)																																											
DRR049662	(38, 24049661.0)																																											
DRR049663	(38, 18954387.0)																																											
DRR049664	(38, 21848336.0)																																											
DRR049665	(35, 4587.0)	(40, 4629.0)	(45, 7621.0)	(50, 8332.0)	(55, 12330.0)	(60, 13699.0)	(65, 16953.0)	(70, 19608.0)	(75, 23721.0)	(80, 28033.0)	(85, 32090.0)	(90, 41065.0)	(95, 42941.0)	(100, 56956.0)	(105, 57655.0)	(110, 77975.0)	(115, 76979.0)	(120, 101477.0)	(125, 100346.0)	(130, 127450.0)	(135, 132039.0)	(140, 154734.0)	(145, 860762.0)	(150, 7759220.0)																				
DRR049668_1	(35, 17245398.0)	(40, 1981.0)	(45, 1954.0)	(50, 2246.0)	(55, 2670.0)	(60, 2975.0)	(65, 3428.0)	(70, 4013.0)	(75, 4695.0)	(80, 5787.0)	(85, 5945.0)	(90, 7163.0)	(95, 7208.0)	(100, 9114.0)	(105, 8855.0)	(110, 11352.0)	(115, 11039.0)	(120, 12843.0)	(125, 12824.0)	(130, 15258.0)	(135, 16669.0)	(140, 20699.0)	(145, 24218.0)	(150, 29938.0)	(155, 37292.0)	(160, 44743.0)	(165, 56626.0)	(170, 66639.0)	(175, 81798.0)	(180, 92991.0)	(185, 106185.0)	(190, 115985.0)	(195, 124512.0)	(200, 133145.0)	(205, 140159.0)	(210, 146303.0)	(215, 151877.0)	(220, 156100.0)	(225, 161031.0)	(230, 162680.0)	(235, 166741.0)	(240, 176086.0)	(245, 14354310.0)	(250, 146161478.0)
DRR049668_2	(35, 17087132.0)	(40, 2004.0)	(45, 1968.0)	(50, 2215.0)	(55, 2671.0)	(60, 3244.0)	(65, 3591.0)	(70, 4253.0)	(75, 4894.0)	(80, 6050.0)	(85, 6290.0)	(90, 7611.0)	(95, 7770.0)	(100, 10044.0)	(105, 9893.0)	(110, 12756.0)	(115, 12678.0)	(120, 14631.0)	(125, 14735.0)	(130, 17173.0)	(135, 18482.0)	(140, 22360.0)	(145, 25614.0)	(150, 31042.0)	(155, 38158.0)	(160, 45416.0)	(165, 56979.0)	(170, 66757.0)	(175, 81719.0)	(180, 92707.0)	(185, 105500.0)	(190, 115105.0)	(195, 123176.0)	(200, 131479.0)	(205, 137926.0)	(210, 143387.0)	(215, 147755.0)	(220, 149875.0)	(225, 153531.0)	(230, 149566.0)	(235, 155192.0)	(240, 154544.0)	(245, 20697335.0)	(250, 140029745.0)
DRR049669_1	(35, 9034820.0)	(40, 1121.0)	(45, 1152.0)	(50, 1192.0)	(55, 1369.0)	(60, 1540.0)	(65, 1696.0)	(70, 1975.0)	(75, 2331.0)	(80, 2798.0)	(85, 2791.0)	(90, 3573.0)	(95, 3443.0)	(100, 4425.0)	(105, 4326.0)	(110, 5677.0)	(115, 5494.0)	(120, 6639.0)	(125, 6676.0)	(130, 8078.0)	(135, 8764.0)	(140, 10741.0)	(145, 12426.0)	(150, 14492.0)	(155, 17586.0)	(160, 21064.0)	(165, 27362.0)	(170, 33668.0)	(175, 43601.0)	(180, 50394.0)	(185, 58428.0)	(190, 62041.0)	(195, 65088.0)	(200, 67458.0)	(205, 67224.0)	(210, 67731.0)	(215, 67518.0)	(220, 67296.0)	(225, 68615.0)	(230, 69609.0)	(235, 72976.0)	(240, 80408.0)	(245, 7869745.0)	(250, 80716937.0)
DRR049669_2	(35, 8936090.0)	(40, 1165.0)	(45, 1177.0)	(50, 1219.0)	(55, 1423.0)	(60, 1768.0)	(65, 1793.0)	(70, 2153.0)	(75, 2550.0)	(80, 3058.0)	(85, 3122.0)	(90, 3916.0)	(95, 3826.0)	(100, 4870.0)	(105, 4822.0)	(110, 6150.0)	(115, 6042.0)	(120, 7040.0)	(125, 7022.0)	(130, 8329.0)	(135, 8925.0)	(140, 10813.0)	(145, 12428.0)	(150, 14538.0)	(155, 17602.0)	(160, 20971.0)	(165, 27182.0)	(170, 33472.0)	(175, 43267.0)	(180, 49979.0)	(185, 57929.0)	(190, 61311.0)	(195, 64178.0)	(200, 66350.0)	(205, 65809.0)	(210, 65946.0)	(215, 65428.0)	(220, 64879.0)	(225, 65637.0)	(230, 64341.0)	(235, 68765.0)	(240, 76392.0)	(245, 8447230.0)	(250, 80261381.0)
DRR076623_1	(150, 108852821.0)																																											
DRR076623_2	(150, 108852821.0)																																											
DRR076624_1	(150, 108416583.0)																																											
DRR076624_2	(150, 108416583.0)																																											
DRR076625_1	(150, 108570771.0)																																											
DRR076625_2	(150, 108570771.0)																																											
DRR076626_1	(150, 109186530.0)																																											
DRR076626_2	(150, 109186530.0)																																											
DRR076627_1	(150, 109331920.0)																																											
DRR076627_2	(150, 109331920.0)																																											
DRR076628_1	(150, 109659981.0)																																											
DRR076628_2	(150, 109659981.0)																																											
DRR076629_1	(150, 109879192.0)																																											
DRR076629_2	(150, 109879192.0)																																											
DRR076630_1	(150, 82239237.0)																																											
DRR076630_2	(150, 82239237.0)																																											
DRR076631_1	(150, 109390613.0)																																											
DRR076631_2	(150, 109390613.0)																																											
DRR076632_1	(150, 110022294.0)																																											
DRR076632_2	(150, 110022294.0)																																											
DRR076633_1	(150, 109844424.0)																																											
DRR076633_2	(150, 109844424.0)																																											
DRR076634_1	(150, 108383911.0)																																											
DRR076634_2	(150, 108383911.0)																																											
DRR076635_1	(150, 109131809.0)																																											
DRR076635_2	(150, 109131809.0)																																											
DRR076636_1	(150, 108340378.0)																																											
