Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
DRR049635	DRR049635.fastq	Conventional base calls	Sanger / Illumina 1.9	23265578.0	884 Mbp	0.0	38.0	41.0	27.308810718667203	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049636	DRR049636.fastq	Conventional base calls	Sanger / Illumina 1.9	22102973.0	839.9 Mbp	0.0	38.0	40.0	44.33022546080953	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049637	DRR049637.fastq	Conventional base calls	Sanger / Illumina 1.9	21063944.0	800.4 Mbp	0.0	38.0	40.0	42.23104654487357	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049638	DRR049638.fastq	Conventional base calls	Sanger / Illumina 1.9	20183229.0	766.9 Mbp	0.0	38.0	41.0	28.934113840798233	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049639	DRR049639.fastq	Conventional base calls	Sanger / Illumina 1.9	15313274.0	581.9 Mbp	0.0	38.0	41.0	31.709852154039726	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049640	DRR049640.fastq	Conventional base calls	Sanger / Illumina 1.9	17076327.0	648.9 Mbp	0.0	38.0	41.0	36.957626354876595	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049641	DRR049641.fastq	Conventional base calls	Sanger / Illumina 1.9	21746227.0	826.3 Mbp	0.0	38.0	42.0	15.633786448404678	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049642	DRR049642.fastq	Conventional base calls	Sanger / Illumina 1.9	21527766.0	818 Mbp	0.0	38.0	41.0	24.448019899872634	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049643	DRR049643.fastq	Conventional base calls	Sanger / Illumina 1.9	19643646.0	746.4 Mbp	0.0	38.0	41.0	33.033605899581055	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049644	DRR049644.fastq	Conventional base calls	Sanger / Illumina 1.9	21499622.0	816.9 Mbp	0.0	38.0	42.0	19.542294205952132	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049645	DRR049645.fastq	Conventional base calls	Sanger / Illumina 1.9	19120201.0	726.5 Mbp	0.0	38.0	41.0	38.60167817112485	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049646	DRR049646.fastq	Conventional base calls	Sanger / Illumina 1.9	14892984.0	565.9 Mbp	0.0	38.0	41.0	37.85252569449234	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049647	DRR049647.fastq	Conventional base calls	Sanger / Illumina 1.9	10738945.0	408 Mbp	0.0	38.0	41.0	49.44733368200803	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049648	DRR049648.fastq	Conventional base calls	Sanger / Illumina 1.9	21723027.0	825.4 Mbp	0.0	38.0	42.0	19.622793806957365	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049649	DRR049649.fastq	Conventional base calls	Sanger / Illumina 1.9	24248744.0	921.4 Mbp	0.0	38.0	42.0	18.009035776671567	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049650	DRR049650.fastq	Conventional base calls	Sanger / Illumina 1.9	22700074.0	862.6 Mbp	0.0	38.0	42.0	20.71019831087535	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049651	DRR049651.fastq	Conventional base calls	Sanger / Illumina 1.9	21624203.0	821.7 Mbp	0.0	38.0	42.0	19.27558602320281	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049652	DRR049652.fastq	Conventional base calls	Sanger / Illumina 1.9	20295215.0	771.2 Mbp	0.0	38.0	42.0	19.475492446090282	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049653	DRR049653.fastq	Conventional base calls	Sanger / Illumina 1.9	18917889.0	718.8 Mbp	0.0	38.0	41.0	37.85879944719833	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049654	DRR049654.fastq	Conventional base calls	Sanger / Illumina 1.9	18623075.0	707.6 Mbp	0.0	38.0	42.0	22.566286834300072	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049655	DRR049655.fastq	Conventional base calls	Sanger / Illumina 1.9	19685179.0	748 Mbp	0.0	38.0	42.0	20.639099349181812	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049656	DRR049656.fastq	Conventional base calls	Sanger / Illumina 1.9	19879179.0	755.4 Mbp	0.0	38.0	41.0	31.672885161386947	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049657	DRR049657.fastq	Conventional base calls	Sanger / Illumina 1.9	20911393.0	794.6 Mbp	0.0	38.0	41.0	43.980422138603465	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049658	DRR049658.fastq	Conventional base calls	Sanger / Illumina 1.9	18261826.0	693.9 Mbp	0.0	38.0	41.0	39.07297696227964	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049659	DRR049659.fastq	Conventional base calls	Sanger / Illumina 1.9	21664848.0	823.2 Mbp	0.0	38.0	41.0	40.34735538864908	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049660	DRR049660.fastq	Conventional base calls	Sanger / Illumina 1.9	22679563.0	861.8 Mbp	0.0	38.0	40.0	37.87135349151403	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049661	DRR049661.fastq	Conventional base calls	Sanger / Illumina 1.9	18459388.0	701.4 Mbp	0.0	38.0	41.0	31.909084462365207	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049662	DRR049662.fastq	Conventional base calls	Sanger / Illumina 1.9	24049661.0	913.8 Mbp	0.0	38.0	42.0	18.512796597255157	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049663	DRR049663.fastq	Conventional base calls	Sanger / Illumina 1.9	18954387.0	720.2 Mbp	0.0	38.0	41.0	38.59493850896651	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049664	DRR049664.fastq	Conventional base calls	Sanger / Illumina 1.9	21848336.0	830.2 Mbp	0.0	38.0	41.0	23.01635294661389	38.0	38	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR049665	DRR049665.fastq	Conventional base calls	Sanger / Illumina 1.9	9761202.0	1.4 Gbp	0.0	35-151	35.0	55.42431180611788	146.5001291849098	151	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
DRR049668_1	DRR049668_1.fastq	Conventional base calls	Sanger / Illumina 1.9	180104953.0	41.2 Gbp	0.0	35-251	39.0	76.49231920819751	229.53287685541886	251	pass	pass	pass	fail	fail	warn	warn	pass	fail	pass
DRR049668_2	DRR049668_2.fastq	Conventional base calls	Sanger / Illumina 1.9	180104953.0	41.3 Gbp	0.0	35-251	40.0	77.1122262354545	229.5742386163028	251	pass	pass	pass	warn	fail	warn	warn	pass	fail	pass
DRR049669_1	DRR049669_1.fastq	Conventional base calls	Sanger / Illumina 1.9	98742288.0	22.7 Gbp	0.0	35-251	40.0	78.9898816986813	230.50610032451345	251	pass	pass	pass	fail	fail	warn	warn	pass	fail	pass
DRR049669_2	DRR049669_2.fastq	Conventional base calls	Sanger / Illumina 1.9	98742288.0	22.7 Gbp	0.0	35-251	40.0	79.64888031610134	230.6967173983248	251	pass	warn	pass	fail	fail	warn	warn	pass	fail	pass
DRR076623_1	DRR076623_1.fastq	Conventional base calls	Sanger / Illumina 1.9	108852821.0	16.3 Gbp	0.0	150.0	40.0	86.40394736538742	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076623_2	DRR076623_2.fastq	Conventional base calls	Sanger / Illumina 1.9	108852821.0	16.3 Gbp	0.0	150.0	41.0	88.09149652147764	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076624_1	DRR076624_1.fastq	Conventional base calls	Sanger / Illumina 1.9	108416583.0	16.2 Gbp	0.0	150.0	40.0	86.98527105543079	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076624_2	DRR076624_2.fastq	Conventional base calls	Sanger / Illumina 1.9	108416583.0	16.2 Gbp	0.0	150.0	40.0	88.79415259552785	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076625_1	DRR076625_1.fastq	Conventional base calls	Sanger / Illumina 1.9	108570771.0	16.2 Gbp	0.0	150.0	40.0	85.88165359462332	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076625_2	DRR076625_2.fastq	Conventional base calls	Sanger / Illumina 1.9	108570771.0	16.2 Gbp	0.0	150.0	40.0	88.04033784034088	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076626_1	DRR076626_1.fastq	Conventional base calls	Sanger / Illumina 1.9	109186530.0	16.3 Gbp	0.0	150.0	40.0	89.75135248393514	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076626_2	DRR076626_2.fastq	Conventional base calls	Sanger / Illumina 1.9	109186530.0	16.3 Gbp	0.0	150.0	41.0	91.18573855029923	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076627_1	DRR076627_1.fastq	Conventional base calls	Sanger / Illumina 1.9	109331920.0	16.3 Gbp	0.0	150.0	40.0	89.14679301390703	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076627_2	DRR076627_2.fastq	Conventional base calls	Sanger / Illumina 1.9	109331920.0	16.3 Gbp	0.0	150.0	40.0	90.64308817080632	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076628_1	DRR076628_1.fastq	Conventional base calls	Sanger / Illumina 1.9	109659981.0	16.4 Gbp	0.0	150.0	40.0	89.81322748305055	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076628_2	DRR076628_2.fastq	Conventional base calls	Sanger / Illumina 1.9	109659981.0	16.4 Gbp	0.0	150.0	40.0	91.306373171144	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076629_1	DRR076629_1.fastq	Conventional base calls	Sanger / Illumina 1.9	109879192.0	16.4 Gbp	0.0	150.0	40.0	90.4645018258211	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076629_2	DRR076629_2.fastq	Conventional base calls	Sanger / Illumina 1.9	109879192.0	16.4 Gbp	0.0	150.0	40.0	91.83979996212999	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
DRR076630_1	DRR076630_1.fastq	Conventional base calls	Sanger / Illumina 1.9	82239237.0	12.3 Gbp	0.0	150.0	40.0	89.43656034303892	150.0	150	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
