Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
DRR049635	72.6911892813328	41.0	38.0	38	20.0	23.265577999999998
DRR049636	55.66977453919047	40.0	38.0	38	20.0	22.102973
DRR049637	57.76895345512643	40.0	38.0	38	20.0	21.063944
DRR049638	71.06588615920177	41.0	38.0	38	20.0	20.183229
DRR049639	68.29014784596028	41.0	38.0	38	20.0	15.313274
DRR049640	63.042373645123405	41.0	38.0	38	20.0	17.076327
DRR049641	84.36621355159532	42.0	38.0	38	20.0	21.746226999999998
DRR049642	75.55198010012737	41.0	38.0	38	20.0	21.527766
DRR049643	66.96639410041894	41.0	38.0	38	20.0	19.643646
DRR049644	80.45770579404787	42.0	38.0	38	20.0	21.499622
DRR049645	61.39832182887515	41.0	38.0	38	20.0	19.120200999999998
DRR049646	62.14747430550766	41.0	38.0	38	20.0	14.892983999999998
DRR049647	50.55266631799197	41.0	38.0	38	20.0	10.738945
DRR049648	80.37720619304264	42.0	38.0	38	20.0	21.723027
DRR049649	81.99096422332843	42.0	38.0	38	20.0	24.248744
DRR049650	79.28980168912466	42.0	38.0	38	20.0	22.700073999999997
DRR049651	80.7244139767972	42.0	38.0	38	20.0	21.624202999999998
DRR049652	80.52450755390971	42.0	38.0	38	20.0	20.295215
DRR049653	62.14120055280167	41.0	38.0	38	20.0	18.917889
DRR049654	77.43371316569993	42.0	38.0	38	20.0	18.623075
DRR049655	79.3609006508182	42.0	38.0	38	20.0	19.685178999999998
DRR049656	68.32711483861306	41.0	38.0	38	20.0	19.879179
DRR049657	56.019577861396535	41.0	38.0	38	20.0	20.911393
DRR049658	60.92702303772036	41.0	38.0	38	20.0	18.261826
DRR049659	59.65264461135092	41.0	38.0	38	20.0	21.664848
DRR049660	62.12864650848597	40.0	38.0	38	20.0	22.679562999999998
DRR049661	68.0909155376348	41.0	38.0	38	20.0	18.459388
DRR049662	81.48720340274484	42.0	38.0	38	20.0	24.049661
DRR049663	61.40506149103349	41.0	38.0	38	20.0	18.954387
DRR049664	76.98364705338611	41.0	38.0	38	20.0	21.848336
DRR049665	44.57568819388212	35.0	146.5001291849098	151	10.0	9.761201999999999
DRR049668_1	23.507680791802485	39.0	229.53287685541886	251	30.0	180.104953
DRR049668_2	22.8877737645455	40.0	229.5742386163028	251	20.0	180.104953
DRR049669_1	21.0101183013187	40.0	230.50610032451345	251	30.0	98.742288
DRR049669_2	20.35111968389866	40.0	230.6967173983248	251	30.0	98.742288
DRR076623_1	13.596052634612576	40.0	150.0	150	0.0	108.85282099999999
DRR076623_2	11.908503478522363	41.0	150.0	150	0.0	108.85282099999999
DRR076624_1	13.014728944569214	40.0	150.0	150	0.0	108.41658299999999
DRR076624_2	11.205847404472152	40.0	150.0	150	0.0	108.41658299999999
DRR076625_1	14.118346405376684	40.0	150.0	150	0.0	108.570771
DRR076625_2	11.959662159659118	40.0	150.0	150	0.0	108.570771
DRR076626_1	10.248647516064864	40.0	150.0	150	0.0	109.18652999999999
DRR076626_2	8.814261449700766	41.0	150.0	150	0.0	109.18652999999999
DRR076627_1	10.853206986092971	40.0	150.0	150	0.0	109.33192
DRR076627_2	9.356911829193677	40.0	150.0	150	0.0	109.33192
DRR076628_1	10.186772516949446	40.0	150.0	150	0.0	109.659981
DRR076628_2	8.693626828855997	40.0	150.0	150	0.0	109.659981
DRR076629_1	9.535498174178898	40.0	150.0	150	0.0	109.87919199999999
DRR076629_2	8.160200037870013	40.0	150.0	150	0.0	109.87919199999999
DRR076630_1	10.56343965696108	40.0	150.0	150	0.0	82.239237
DRR076630_2	8.736070983332311	40.0	150.0	150	0.0	82.239237
DRR076631_1	11.19911542912854	39.0	150.0	150	0.0	109.390613
DRR076631_2	9.625301715633299	40.0	150.0	150	0.0	109.390613
DRR076632_1	10.163248973961615	40.0	150.0	150	0.0	110.02229399999999
