Orthogroup	HabuProteins	HumanProteins
OG0015327	XP_015665441.2	
OG0015328	XP_015665448.2	
OG0015329	XP_015665504.1	
OG0015330	XP_015665517.1	
OG0015331	XP_015665558.2	
OG0015332	XP_015665633.1	
OG0015333	XP_015665643.1	
OG0015334	XP_015665666.1	
OG0015335	XP_015665677.1	
OG0015336	XP_015665703.1	
OG0015337	XP_015665704.1	
OG0015338	XP_015665713.1	
OG0015339	XP_015665718.1	
OG0015340	XP_015665761.1	
OG0015341	XP_015665786.1	
OG0015342	XP_015665791.1	
OG0015343	XP_015665828.1	
OG0015344	XP_015665847.1	
OG0015345	XP_015665873.2	
OG0015346	XP_015665909.1	
OG0015347	XP_015665917.1	
OG0015348	XP_015665940.1	
OG0015349	XP_015665944.1	
OG0015350	XP_015665953.1	
OG0015351	XP_015665961.1	
OG0015352	XP_015665972.2	
OG0015353	XP_015665977.1	
OG0015354	XP_015665989.1	
OG0015355	XP_015666027.1	
OG0015356	XP_015666053.1	
OG0015357	XP_015666182.2	
OG0015358	XP_015666217.1	
OG0015359	XP_015666245.1	
OG0015360	XP_015666265.1	
OG0015361	XP_015666298.1	
OG0015362	XP_015666305.1	
OG0015363	XP_015666307.2	
OG0015364	XP_015666316.1	
OG0015365	XP_015666341.1	
OG0015366	XP_015666414.1	
OG0015367	XP_015666424.1	
OG0015368	XP_015666447.1	
OG0015369	XP_015666463.1	
OG0015370	XP_015666564.1	
OG0015371	XP_015666573.1	
OG0015372	XP_015666586.2	
OG0015373	XP_015666643.2	
OG0015374	XP_015666652.1	
OG0015375	XP_015666663.1	
OG0015376	XP_015666691.1	
OG0015377	XP_015666711.1	
OG0015378	XP_015666737.1	
OG0015379	XP_015666764.1	
OG0015380	XP_015666768.1	
OG0015381	XP_015666809.1	
OG0015382	XP_015666872.1	
OG0015383	XP_015666890.1	
OG0015384	XP_015666918.1	
OG0015385	XP_015666944.2	
OG0015386	XP_015666986.1	
OG0015387	XP_015667029.1	
OG0015388	XP_015667042.1	
OG0015389	XP_015667092.1	
OG0015390	XP_015667094.1	
OG0015391	XP_015667123.1	
OG0015392	XP_015667181.1	
OG0015393	XP_015667207.1	
OG0015394	XP_015667214.1	
OG0015395	XP_015667218.1	
OG0015396	XP_015667219.1	
OG0015397	XP_015667322.1	
OG0015398	XP_015667382.1	
OG0015399	XP_015667402.1	
OG0015400	XP_015667424.1	
OG0015401	XP_015667444.1	
OG0015402	XP_015667447.1	
OG0015403	XP_015667474.1	
OG0015404	XP_015667505.1	
OG0015405	XP_015667527.1	
OG0015406	XP_015667556.1	
OG0015407	XP_015667581.1	
OG0015408	XP_015667633.1	
OG0015409	XP_015667660.1	
OG0015410	XP_015667748.1	
OG0015411	XP_015667752.1	
OG0015412	XP_015667758.1	
OG0015413	XP_015667787.1	
OG0015414	XP_015667790.1	
OG0015415	XP_015667893.1	
OG0015416	XP_015667919.1	
OG0015417	XP_015667985.1	
OG0015418	XP_015668018.1	
OG0015419	XP_015668024.1	
OG0015420	XP_015668028.1	
OG0015421	XP_015668068.1	
OG0015422	XP_015668118.1	
OG0015423	XP_015668166.1	
OG0015424	XP_015668186.1	
OG0015425	XP_015668192.1	
OG0015426	XP_015668282.1	
OG0015427	XP_015668290.1	
OG0015428	XP_015668305.1	
OG0015429	XP_015668310.2	
OG0015430	XP_015668356.1	
OG0015431	XP_015668413.1	
OG0015432	XP_015668418.1	
OG0015433	XP_015668431.2	
OG0015434	XP_015668473.1	
OG0015435	XP_015668500.1	
OG0015436	XP_015668513.1	
OG0015437	XP_015668537.1	
OG0015438	XP_015668558.1	
OG0015439	XP_015668565.2	
OG0015440	XP_015668566.1	
OG0015441	XP_015668590.1	
OG0015442	XP_015668602.1	
OG0015443	XP_015668629.1	
OG0015444	XP_015668654.1	
OG0015445	XP_015668661.1	
OG0015446	XP_015668679.1	
OG0015447	XP_015668710.1	
OG0015448	XP_015668713.1	
OG0015449	XP_015668724.1	
OG0015450	XP_015668789.1	
OG0015451	XP_015668808.1	
OG0015452	XP_015668824.1	
OG0015453	XP_015668833.1	
OG0015454	XP_015668856.1	
OG0015455	XP_015668860.1	
OG0015456	XP_015668875.1	
OG0015457	XP_015668886.1	
OG0015458	XP_015668892.1	
OG0015459	XP_015668897.1	
OG0015460	XP_015668929.1	
OG0015461	XP_015668997.1	
OG0015462	XP_015669014.1	
OG0015463	XP_015669020.2	
OG0015464	XP_015669029.2	
OG0015465	XP_015669056.1	
OG0015466	XP_015669163.1	
OG0015467	XP_015669176.1	
OG0015468	XP_015669186.1	
OG0015469	XP_015669224.1	
OG0015470	XP_015669299.1	
OG0015471	XP_015669320.1	
OG0015472	XP_015669333.1	
OG0015473	XP_015669345.1	
OG0015474	XP_015669428.1	
OG0015475	XP_015669445.1	
OG0015476	XP_015669458.1	
OG0015477	XP_015669498.1	
OG0015478	XP_015669503.1	
OG0015479	XP_015669533.1	
