target_id	length	eff_length	est_counts	tpm
lcl|NW_015386077.1_cds_XP_029143084.1_1	1203	1014.89	288	14.5805
lcl|NW_015386077.1_cds_XP_015680198.1_2	4665	4812.93	879	9.38384
lcl|NW_015386077.1_cds_XP_015687298.1_3	696	435.507	51.9594	6.13014
lcl|NW_015386077.1_cds_XP_015665765.1_4	2061	1906.97	293	7.8945
lcl|NW_015386078.1_cds_XP_015666892.1_5	597	347.32	76	11.2431
lcl|NW_015386079.1_cds_XP_029139238.1_6	1026	816.099	243	15.2991
lcl|NW_015386079.1_cds_XP_015672503.1_7	2103	1957.38	386.52	10.1461
lcl|NW_015386079.1_cds_XP_015674734.1_8	3069	3045.46	401	6.76539
lcl|NW_015386079.1_cds_XP_015673617.1_9	360	82.4482	98	61.0726
lcl|NW_015386079.1_cds_XP_015675845.1_10	1059	846.844	135	8.1909
lcl|NW_015386079.1_cds_XP_015676935.1_11	972	736.538	63.5	4.42976
lcl|NW_015386079.1_cds_XP_015678366.1_12	972	736.538	63.5	4.42976
lcl|NW_015386079.1_cds_XP_015677654.1_13	864	619.223	0	0
lcl|NW_015386079.1_cds_XP_015679465.1_14	2586	2535.92	506.135	10.2549
lcl|NW_015386079.1_cds_XP_015680546.1_15	420	142.432	81	29.22
lcl|NW_015386079.1_cds_XP_029141162.1_16	1881	1702.07	330	9.96178
lcl|NW_015386079.1_cds_XP_015669140.1_17	573	317.431	1527	247.167
lcl|NW_015386079.1_cds_XP_029142589.1_18	13848	15197.9	2361	7.98206
lcl|NW_015386079.1_cds_XP_015683337.1_19	1833	1667.53	0	0
lcl|NW_015386079.1_cds_XP_015682634.1_20	1836	1682.82	328	10.0147
lcl|NW_015386079.1_cds_XP_015685037.1_21	2289	2114.83	0	0
lcl|NW_015386079.1_cds_XP_015684353.1_22	2340	2170.09	366	8.66573
lcl|NW_015386079.1_cds_XP_015686033.1_23	261	48.8294	63	66.2919
lcl|NW_015386080.1_cds_XP_015686929.1_24	2136	2015.22	230	5.86417
lcl|NW_015386080.1_cds_XP_015687480.1_25	1008	793.713	217	14.0474
lcl|NW_015386080.1_cds_XP_015687593.1_26	672	435.109	97	11.4545
lcl|NW_015386080.1_cds_XP_015687037.1_27	1671	1548.12	214.399	7.11573
lcl|NW_015386080.1_cds_XP_015687703.1_28	1362	1182.53	214	9.2983
lcl|NW_015386080.1_cds_XP_015687147.1_29	1422	1257.48	248	10.1333
lcl|NW_015386080.1_cds_XP_029143147.1_30	1566	1403.55	303	11.0921
lcl|NW_015386080.1_cds_XP_015687929.1_31	2682	2632.75	555	10.8314
lcl|NW_015386080.1_cds_XP_015665398.1_32	954	737.642	76	5.29382
