target_id	length	eff_length	est_counts	tpm
lcl|NW_015386077.1_cds_XP_029143084.1_1	1203	1188.19	15	1.71247
lcl|NW_015386077.1_cds_XP_015680198.1_2	4665	4529.28	51	1.52743
lcl|NW_015386077.1_cds_XP_015687298.1_3	696	664.625	12	2.4492
lcl|NW_015386077.1_cds_XP_015665765.1_4	2061	1976.08	3	0.205938
lcl|NW_015386078.1_cds_XP_015666892.1_5	597	574.88	5	1.17981
lcl|NW_015386079.1_cds_XP_029139238.1_6	1026	987.949	0	0
lcl|NW_015386079.1_cds_XP_015672503.1_7	2103	2008.27	218	14.725
lcl|NW_015386079.1_cds_XP_015674734.1_8	3069	3010.13	299	13.4743
lcl|NW_015386079.1_cds_XP_015673617.1_9	360	333.142	15	6.10775
lcl|NW_015386079.1_cds_XP_015675845.1_10	1059	953.994	87	12.3707
lcl|NW_015386079.1_cds_XP_015676935.1_11	972	974.369	168.552	23.4656
lcl|NW_015386079.1_cds_XP_015678366.1_12	972	974.369	168.552	23.4656
lcl|NW_015386079.1_cds_XP_015677654.1_13	864	873.204	357.896	55.5982
lcl|NW_015386079.1_cds_XP_015679465.1_14	2586	2530.09	73.8805	3.96108
lcl|NW_015386079.1_cds_XP_015680546.1_15	420	388.138	193	67.4515
lcl|NW_015386079.1_cds_XP_029141162.1_16	1881	1835.25	109	8.0566
lcl|NW_015386079.1_cds_XP_015669140.1_17	573	562.861	15	3.61502
lcl|NW_015386079.1_cds_XP_029142589.1_18	13848	14136.3	13	0.124746
lcl|NW_015386079.1_cds_XP_015683337.1_19	1833	1795.77	73.0938	5.52141
lcl|NW_015386079.1_cds_XP_015682634.1_20	1836	1797.68	67.9062	5.1241
lcl|NW_015386079.1_cds_XP_015685037.1_21	2289	2316.12	70	4.09974
lcl|NW_015386079.1_cds_XP_015684353.1_22	2340	2361.28	0	0
lcl|NW_015386079.1_cds_XP_015686033.1_23	261	239.043	270	153.217
lcl|NW_015386080.1_cds_XP_015686929.1_24	2136	2180.99	18	1.11954
lcl|NW_015386080.1_cds_XP_015687480.1_25	1008	924.486	101	14.8198
lcl|NW_015386080.1_cds_XP_015687593.1_26	672	652.265	12	2.49562
lcl|NW_015386080.1_cds_XP_015687037.1_27	1671	1655.83	22.2864	1.82577
lcl|NW_015386080.1_cds_XP_015687703.1_28	1362	1268.07	114	12.195
lcl|NW_015386080.1_cds_XP_015687147.1_29	1422	1421	124	11.8372
lcl|NW_015386080.1_cds_XP_029143147.1_30	1566	1555.77	11	0.959109
lcl|NW_015386080.1_cds_XP_015687929.1_31	2682	2774.56	304	14.8628
lcl|NW_015386080.1_cds_XP_015665398.1_32	954	895.045	245.158	37.1553
lcl|NW_015386080.1_cds_XP_015665473.1_33	954	895.045	245.158	37.1553
lcl|NW_015386080.1_cds_XP_015665546.1_34	933	876.792	228.685	35.3803
lcl|NW_015386080.1_cds_XP_015667036.1_35	654	615.949	0	0
