Orthogroup	HabuProteins	HumanProteins
OG0000000	XP_029139985.1, XP_029139991.1, XP_029142069.1	NP_001001662.1, NP_001004328.1, NP_001007095.1, NP_001007249.1, NP_001010879.2, NP_001018855.2, NP_001018857.2, NP_001019767.1, NP_001019854.1, NP_001026891.2, NP_001034704.2, NP_001034980.1, NP_001035880.1, NP_001078853.1, NP_001091961.1, NP_001094068.1, NP_001094069.1, NP_001103279.2, NP_001120844.1, NP_001121695.1, NP_001123370.1, NP_001129062.1, NP_001129588.1, NP_001129745.1, NP_001138461.1, NP_001157929.1, NP_001158187.1, NP_001159353.1, NP_001159354.1, NP_001159355.1, NP_001159356.2, NP_001159357.1, NP_001159358.1, NP_001159359.1, NP_001166244.1, NP_001171572.1, NP_001180559.1, NP_001191385.1, NP_001191442.1, NP_001191743.1, NP_001243453.1, NP_001243454.1, NP_001252526.1, NP_001254526.1, NP_001257426.1, NP_001264019.1, NP_001264020.1, NP_001264021.1, NP_001264022.1, NP_001265099.1, NP_001265100.1, NP_001265102.1, NP_001265103.1, NP_001265104.1, NP_001265105.1, NP_001265106.1, NP_001265107.1, NP_001265108.1, NP_001265488.1, NP_001269444.1, NP_001275729.1, NP_001275734.1, NP_001275735.1, NP_001275736.1, NP_001275737.1, NP_001275738.1, NP_001276900.1, NP_001276901.1, NP_001277137.1, NP_001277138.1, NP_001277139.1, NP_001277247.1, NP_001291263.1, NP_001291264.1, NP_001291265.1, NP_001291266.1, NP_001291947.1, NP_001291962.1, NP_001300988.1, NP_001303956.1, NP_001303957.1, NP_001303958.1, NP_001303959.1, NP_001304845.1, NP_001305069.1, NP_001305070.1, NP_001305071.1, NP_001305072.1, NP_001308252.1, NP_001309213.1, NP_001309214.1, NP_001310955.1, NP_001310956.1, NP_001310957.1, NP_001311104.1, NP_001311105.1, NP_001311106.1, NP_001311107.1, NP_001311174.1, NP_001311175.1, NP_001311176.1, NP_001311177.1, NP_001311178.1, NP_001311179.1, NP_001311180.1, NP_001311181.1, NP_001311182.1, NP_001311183.1, NP_001311185.1, NP_001311186.1, NP_001311187.1, NP_001311188.1, NP_001311189.1, NP_001311190.1, NP_001311191.1, NP_001317546.1, NP_001333920.1, NP_001333922.1, NP_001333924.1, NP_001340301.1, NP_001340302.1, NP_001340303.1, NP_001340742.1, NP_001340743.1, NP_001340744.1, NP_001340745.1, NP_001340746.1, NP_001340747.1, NP_001340748.1, NP_001340749.1, NP_001340750.1, NP_001340751.1, NP_001340752.1, NP_001340753.1, NP_001340754.1, NP_001340755.1, NP_001357376.1, NP_001357377.1, NP_001357378.1, NP_001357379.1, NP_001357381.1, NP_001357384.1, NP_001357385.1, NP_001357386.1, NP_001363152.1, NP_001374339.1, NP_001374688.1, NP_001384301.1, NP_001385419.1, NP_003406.1, NP_003408.1, NP_003412.1, NP_003417.2, NP_003419.3, NP_003424.3, NP_003426.3, NP_003437.2, NP_005764.2, NP_006626.3, NP_008885.1, NP_008887.2, NP_008905.1, NP_009067.2, NP_055162.1, NP_055409.1, NP_055465.1, NP_057349.2, NP_060122.2, NP_060349.1, NP_060572.3, NP_065931.3, NP_066575.2, NP_066986.1, NP_067645.3, NP_075562.2, NP_079038.2, NP_079109.2, NP_079316.2, NP_116068.2, NP_116217.1, NP_149350.3, NP_219363.2, NP_443114.1, NP_597717.1, NP_612356.2, NP_612456.1, NP_660314.1, NP_660355.2, NP_689492.3, NP_689586.3, NP_689624.2, NP_689671.2, NP_689868.1, NP_694422.2, NP_775819.1, NP_775902.2, NP_775903.3, NP_776192.2, NP_787068.3, NP_940944.1, NP_954577.1, NP_955473.1, NP_997278.2, NP_998763.2, NP_998768.2, XP_005258770.1, XP_005259324.1, XP_005266242.1, XP_005272572.1, XP_011516617.1, XP_011517958.1, XP_011531546.1, XP_011532853.1, XP_011537800.1, XP_011544055.1, XP_016864898.1, XP_016872106.1, XP_016878441.1, XP_016881793.1, XP_016882583.1, XP_016883426.1, XP_024302386.1, XP_024303897.1, XP_024307574.1, XP_047277163.1, XP_047285458.1, XP_047289610.1, XP_047289624.1, XP_047294178.1, XP_047294210.1, XP_047294267.1, XP_047294519.1, XP_047294763.1, XP_047295194.1, XP_047295265.1, XP_047295317.1, XP_047295325.1, XP_047295506.1, XP_047295680.1, XP_047298751.1, XP_054188189.1
OG0000001	XP_015669676.2, XP_015669706.1, XP_015669728.1, XP_015669740.1, XP_015669832.2, XP_015669834.2, XP_015670482.1, XP_015670483.2, XP_015670488.1, XP_015670489.1, XP_015670490.2, XP_015670497.1, XP_015670501.2, XP_015670502.1, XP_015670504.2, XP_015670506.1, XP_015671879.1, XP_015673668.1, XP_015673671.1, XP_015673766.1, XP_015673771.1, XP_015673775.1, XP_015673776.1, XP_015673777.1, XP_015673779.1, XP_015673786.2, XP_015674019.1, XP_015674421.1, XP_015674425.1, XP_015674426.1, XP_015676104.1, XP_015676319.1, XP_015676320.1, XP_015676321.2, XP_015676323.1, XP_015677424.1, XP_015677425.2, XP_015677920.1, XP_015677929.1, XP_015677997.1, XP_015677998.1, XP_015678715.1, XP_015679237.1, XP_015679667.1, XP_015679668.1, XP_015679669.1, XP_015680098.1, XP_015680180.1, XP_015680183.1, XP_015681169.1, XP_015681482.1, XP_015681921.1, XP_015682409.1, XP_015682410.1, XP_015683217.1, XP_015683636.2, XP_015683812.1, XP_015684351.1, XP_015684638.1, XP_015684906.2, XP_015686270.1, XP_029138826.1, XP_029138827.1, XP_029138828.1, XP_029138829.1, XP_029139471.1, XP_029139607.1, XP_029139608.1, XP_029139609.1, XP_029139614.1, XP_029139616.1, XP_029139619.1, XP_029139622.1, XP_029139631.1, XP_029139635.1, XP_029139638.1, XP_029139645.1, XP_029139646.1, XP_029139647.1, XP_029139648.1, XP_029139649.1, XP_029139650.1, XP_029139651.1, XP_029139702.1, XP_029139703.1, XP_029139704.1, XP_029139705.1, XP_029139706.1, XP_029139707.1, XP_029139708.1, XP_029139709.1, XP_029139710.1, XP_029139711.1, XP_029139791.1, XP_029139792.1, XP_029139793.1, XP_029139794.1, XP_029139795.1, XP_029139796.1, XP_029139798.1, XP_029139799.1, XP_029139801.1, XP_029139802.1, XP_029139803.1, XP_029139804.1, XP_029139805.1, XP_029139807.1, XP_029140003.1, XP_029140051.1, XP_029140052.1, XP_029140053.1, XP_029140054.1, XP_029140055.1, XP_029140056.1, XP_029140057.1, XP_029140058.1, XP_029140238.1, XP_029140239.1, XP_029140240.1, XP_029140241.1, XP_029140242.1, XP_029140243.1, XP_029140244.1, XP_029140245.1, XP_029140381.1, XP_029140382.1, XP_029140383.1, XP_029140384.1, XP_029140385.1, XP_029140386.1, XP_029140387.1, XP_029140388.1, XP_029140389.1, XP_029140390.1, XP_029140391.1, XP_029140392.1, XP_029140393.1, XP_029140394.1, XP_029140395.1, XP_029140437.1, XP_029140438.1, XP_029140439.1, XP_029140440.1, XP_029140441.1, XP_029140442.1, XP_029140443.1, XP_029140444.1, XP_029140512.1, XP_029140513.1, XP_029140514.1, XP_029140515.1, XP_029140516.1, XP_029140517.1, XP_029140595.1, XP_029140596.1, XP_029140638.1, XP_029140639.1, XP_029140670.1, XP_029140671.1, XP_029140672.1, XP_029140673.1, XP_029140674.1, XP_029140799.1, XP_029140800.1, XP_029140850.1, XP_029140851.1, XP_029141054.1, XP_029141055.1, XP_029141056.1, XP_029141057.1, XP_029141058.1, XP_029141059.1, XP_029141060.1, XP_029141191.1, XP_029141196.1, XP_029141197.1, XP_029141198.1, XP_029141212.1, XP_029141213.1, XP_029141214.1, XP_029141355.1, XP_029141356.1, XP_029141465.1, XP_029141466.1, XP_029141498.1, XP_029141570.1, XP_029141571.1, XP_029141572.1, XP_029141652.1, XP_029141668.1, XP_029141669.1, XP_029141864.1, XP_029141866.1, XP_029141949.1, XP_029141950.1, XP_029142327.1, XP_029142328.1, XP_029142329.1, XP_029142786.1, XP_029142846.1	
OG0000002	XP_015665650.1, XP_015672267.1, XP_015672620.2, XP_015674574.1, XP_015675125.2, XP_015675131.1, XP_015676560.1, XP_015677454.1, XP_015677455.1, XP_015677464.1, XP_015677469.1, XP_015677470.1, XP_015677633.1, XP_015677864.2, XP_015678895.1, XP_015680719.1, XP_015681269.1, XP_015681981.2, XP_015682356.1, XP_015683510.1, XP_015683718.1, XP_015683719.1, XP_015684423.1, XP_015684498.1, XP_015684703.2, XP_015685526.1, XP_015685815.1, XP_015685843.1, XP_015685871.2, XP_015685915.1, XP_015686107.1, XP_015686295.1, XP_015686361.2, XP_015686549.1, XP_015686590.2, XP_015686592.1, XP_015686654.2, XP_015686736.1, XP_015686775.2, XP_015686790.1, XP_015686814.2, XP_015686902.2, XP_015686913.2, XP_029139819.1, XP_029139866.1, XP_029139987.1, XP_029139989.1, XP_029139990.1, XP_029140468.1, XP_029140487.1, XP_029140592.1, XP_029140913.1, XP_029141067.1, XP_029141130.1, XP_029141173.1, XP_029141315.1, XP_029141316.1, XP_029141390.1, XP_029141397.1, XP_029141492.1, XP_029141627.1, XP_029141630.1, XP_029141631.1, XP_029141662.1, XP_029141663.1, XP_029141664.1, XP_029141665.1, XP_029141736.1, XP_029141769.1, XP_029141770.1, XP_029141771.1, XP_029141842.1, XP_029141882.1, XP_029141883.1, XP_029141939.1, XP_029141944.1, XP_029142067.1, XP_029142068.1, XP_029142108.1, XP_029142109.1, XP_029142112.1, XP_029142242.1, XP_029142248.1, XP_029142249.1, XP_029142342.1, XP_029142360.1, XP_029142370.1, XP_029142412.1, XP_029142463.1, XP_029142464.1, XP_029142465.1, XP_029142499.1, XP_029142627.1, XP_029142640.1, XP_029142676.1, XP_029142677.1, XP_029142699.1, XP_029142710.1, XP_029142727.1, XP_029142728.1, XP_029142729.1, XP_029142731.1, XP_029142790.1, XP_029142791.1, XP_029142797.1, XP_029142804.1, XP_029142807.1, XP_029142815.1, XP_029142832.1, XP_029142841.1, XP_029142847.1, XP_029142853.1, XP_029142856.1, XP_029142862.1, XP_029142864.1, XP_029142865.1, XP_029142867.1, XP_029142869.1, XP_029142875.1, XP_029142898.1, XP_029142907.1, XP_029142942.1, XP_029142949.1, XP_029142950.1, XP_029142960.1, XP_029142961.1, XP_029142964.1, XP_029142970.1, XP_029142972.1, XP_029143009.1, XP_029143010.1, XP_029143014.1, XP_029143017.1, XP_029143024.1, XP_029143028.1, XP_029143034.1, XP_029143036.1, XP_029143040.1, XP_029143044.1	NP_001002836.2, NP_001093108.1, NP_001093109.1, NP_008894.2, NP_009076.2, XP_005259271.1
OG0000003		NP_001001411.2, NP_001001415.2, NP_001001661.1, NP_001013768.1, NP_001034216.2, NP_001070143.1, NP_001073878.2, NP_001092096.1, NP_001092739.1, NP_001123992.1, NP_001131080.1, NP_001139798.1, NP_001139799.1, NP_001152751.1, NP_001152765.1, NP_001152994.1, NP_001152996.1, NP_001164376.1, NP_001229609.1, NP_001230967.1, NP_001243100.1, NP_001243101.1, NP_001243102.1, NP_001243582.1, NP_001254645.1, NP_001258568.2, NP_001264332.1, NP_001265590.1, NP_001265591.1, NP_001265592.1, NP_001265593.1, NP_001265594.1, NP_001265606.1, NP_001265607.1, NP_001269288.1, NP_001269289.1, NP_001272981.1, NP_001276859.1, NP_001276860.1, NP_001303925.1, NP_001303926.1, NP_001303927.1, NP_001306053.1, NP_001333841.1, NP_001333842.1, NP_001333843.1, NP_001333844.1, NP_001333845.1, NP_001334979.1, NP_001336655.1, NP_001342126.2, NP_001342166.1, NP_001342333.1, NP_001356646.1, NP_001356699.1, NP_001356700.1, NP_001356701.1, NP_001356702.1, NP_001356703.1, NP_001357058.1, NP_001374285.1, NP_001374286.1, NP_001374287.1, NP_001374954.1, NP_001374955.1, NP_001381102.1, NP_001382941.1, NP_003405.4, NP_003420.2, NP_003421.2, NP_009069.1, NP_009084.2, NP_056178.3, NP_056936.2, NP_057304.1, NP_065127.5, NP_065906.1, NP_066385.2, NP_066971.2, NP_067092.2, NP_079465.3, NP_112495.2, NP_150376.1, NP_258429.2, NP_443084.2, NP_597731.2, NP_612143.2, NP_612203.2, NP_689839.1, NP_699194.2, NP_775802.2, NP_848653.2, NP_872321.2, NP_872330.1, NP_975011.3, XP_005259754.1, XP_011513906.2, XP_011526565.1, XP_011526745.1, XP_016863469.1, XP_016864080.1, XP_016867286.1, XP_016867714.1, XP_016867775.1, XP_016881603.1, XP_016882237.1, XP_024307420.1, XP_047272426.1, XP_047294077.1, XP_047294308.1, XP_047294335.1, XP_047294633.1, XP_047294753.1, XP_047295086.1, XP_047295316.1, XP_047295451.1, XP_047295611.1, XP_054185557.1
OG0000004	XP_015666418.1	NP_001018091.2, NP_001074239.1, NP_001074241.1, NP_001075106.2, NP_001077008.1, NP_001077368.2, NP_001124389.2, NP_001129158.2, NP_001138929.2, NP_001138930.2, NP_001164432.1, NP_001229285.1, NP_001229286.1, NP_001265333.2, NP_001275952.2, NP_001275954.2, NP_001275955.2, NP_001275956.2, NP_001277199.1, NP_001277200.1, NP_001278624.1, NP_001278625.1, NP_001278629.1, NP_001278630.1, NP_001291386.2, NP_001307889.1, NP_001309097.1, NP_001317579.1, NP_001347096.1, NP_001347100.1, NP_001355180.1, NP_001355182.1, NP_001355183.1, NP_001381862.1, NP_001991.1, NP_002246.5, NP_002278.2, NP_002279.2, NP_004820.2, NP_005865.3, NP_006728.2, NP_006854.1, NP_006856.3, NP_006857.2, NP_036408.4, NP_036444.1, NP_036445.1, NP_036446.3, NP_055033.2, NP_055034.2, NP_055327.1, NP_055328.2, NP_056952.2, NP_065396.1, NP_067073.1, NP_067154.1, NP_068352.2, NP_570602.2, NP_579803.1, NP_579805.1, NP_579806.1, NP_579807.1, NP_579808.1, NP_579811.1, NP_579812.1, NP_703144.3, NP_940883.2, NP_996554.2, XP_011524927.1, XP_011525147.1, XP_011525263.1, XP_011525831.1, XP_011529632.1, XP_011546300.1, XP_016885763.1, XP_047294036.1, XP_047294064.1, XP_047294068.1, XP_047294751.1, XP_047298938.1, XP_047298942.1, XP_047298955.1, XP_047298981.1, XP_047298991.1, XP_047299052.1, XP_047299057.1, XP_047299059.1, XP_047299061.1, XP_047299062.1, XP_047299063.1, XP_047299064.1, XP_047299065.1, XP_047299371.1, XP_054185608.1, XP_054186141.1, XP_054186145.1, XP_054186150.1, XP_054186174.1, XP_054187211.1, XP_054188007.1, XP_054188012.1, XP_054188029.1, XP_054188031.1, XP_054188032.1, XP_054189399.1, XP_054189407.1, XP_054189411.1, XP_054189416.1, XP_054189423.1, XP_054189432.1, XP_054189458.1, XP_054189464.1, XP_054189474.1, XP_054189484.1, XP_059933532.1
OG0000005	XP_015668983.1, XP_015669861.1, XP_015669863.1, XP_015669864.1, XP_015669865.1, XP_015669866.1, XP_015669867.1, XP_015669868.1, XP_015669870.1, XP_015669871.1, XP_015669872.1, XP_015669873.1, XP_015669874.1, XP_015669875.1, XP_015669876.1, XP_015669877.1, XP_015669883.2, XP_015669884.2, XP_015669885.1, XP_015669886.1, XP_015669887.1, XP_015672572.1, XP_015672573.1, XP_015672575.1, XP_015672576.1, XP_015672577.1, XP_015672578.1, XP_015672579.1, XP_015672581.1, XP_015672582.1, XP_015672583.1, XP_015672586.1, XP_015672588.1, XP_015680074.2, XP_015680075.1, XP_015681386.2, XP_015681387.1, XP_015681388.1, XP_015681389.1, XP_015681391.1, XP_015681393.1, XP_015681395.1, XP_029139474.1, XP_029139475.1, XP_029139476.1, XP_029139477.1, XP_029139478.1, XP_029139479.1, XP_029139480.1, XP_029139484.1, XP_029139656.1, XP_029139657.1, XP_029139659.1, XP_029139660.1, XP_029139661.1, XP_029139662.1, XP_029139663.1, XP_029139664.1, XP_029139665.1, XP_029139666.1, XP_029139667.1, XP_029139668.1, XP_029139669.1, XP_029139670.1, XP_029139671.1, XP_029139672.1, XP_029139673.1, XP_029139674.1, XP_029139675.1, XP_029139676.1, XP_029139677.1, XP_029139678.1, XP_029139679.1, XP_029139680.1, XP_029139681.1, XP_029139682.1, XP_029139683.1, XP_029139684.1, XP_029140195.1, XP_029140196.1, XP_029140197.1, XP_029140199.1, XP_029140200.1, XP_029140201.1, XP_029140202.1, XP_029140203.1, XP_029141639.1, XP_029141640.1, XP_029141641.1, XP_029141642.1, XP_029141643.1, XP_029141644.1, XP_029141645.1, XP_029141646.1, XP_029141647.1, XP_029141885.1, XP_029141886.1, XP_029141887.1, XP_029141888.1, XP_029141889.1, XP_029141890.1, XP_029141891.1, XP_029141892.1, XP_029141929.1, XP_029141930.1, XP_029141931.1, XP_029141932.1, XP_029141933.1, XP_029141934.1	NP_001001966.1, NP_001342221.1, NP_112208.1, XP_047276149.1
OG0000006	XP_015665623.1, XP_015666717.1, XP_015666719.1, XP_015666720.1, XP_015666721.1, XP_015666729.1, XP_015666732.1, XP_015666733.1, XP_015666734.1, XP_015666735.1, XP_015668965.1, XP_015668966.1, XP_015668967.1, XP_015668968.1, XP_015670498.1, XP_015671609.1, XP_015671610.1, XP_015671612.1, XP_015673660.1, XP_015673661.1, XP_015673663.1, XP_015673664.2, XP_015673665.1, XP_015673667.1, XP_015673669.1, XP_015673670.1, XP_015673672.1, XP_015675683.1, XP_015675684.2, XP_015675790.1, XP_015677999.1, XP_015678001.1, XP_015678002.1, XP_015678003.1, XP_015681286.2, XP_015682074.1, XP_015682076.1, XP_015682077.2, XP_015682078.1, XP_015682276.2, XP_015683220.1, XP_015683222.1, XP_015683223.1, XP_015683852.1, XP_015684014.1, XP_015684567.1, XP_015684860.1, XP_015684861.1, XP_015685990.1, XP_015686558.1, XP_029138837.1, XP_029139021.1, XP_029139022.1, XP_029139023.1, XP_029139024.1, XP_029139025.1, XP_029139027.1, XP_029139028.1, XP_029139482.1, XP_029140364.1, XP_029140365.1, XP_029140366.1, XP_029140734.1, XP_029140735.1, XP_029140746.1, XP_029141221.1, XP_029141222.1, XP_029141724.1, XP_029141725.1, XP_029141726.1, XP_029141727.1, XP_029141728.1, XP_029141729.1, XP_029141747.1, XP_029141748.1, XP_029141749.1, XP_029141750.1, XP_029141902.1, XP_029141903.1, XP_029141922.1, XP_029142089.1, XP_029142090.1, XP_029142128.1, XP_029142129.1, XP_029142143.1, XP_029142155.1, XP_029142156.1, XP_029142157.1, XP_029142334.1, XP_029142335.1, XP_029142336.1, XP_029142337.1, XP_029142491.1, XP_029142530.1, XP_029142929.1, XP_029142930.1, XP_029142932.1	
OG0000007	XP_015671795.1	NP_001073881.2, NP_001337028.1, NP_001337029.1, NP_001363041.1, NP_001363042.1, NP_001363043.1, NP_001363044.1, NP_001363045.1, NP_001363046.1, NP_001363047.1, NP_001363048.1, NP_001363049.1, NP_001363050.1, NP_001363051.1, NP_001363052.1, NP_001363053.1, NP_001363054.1, NP_001363055.1, NP_001363056.1, NP_001363057.1, NP_001363071.1, NP_001363072.1, NP_001363079.1, NP_001363081.1, NP_001363086.1, NP_001363087.1, NP_001363088.1, NP_001363089.1, NP_001363090.1, NP_001363091.1, NP_001363092.1, NP_001363093.1, NP_001363094.1, NP_001363095.1, NP_001363096.1, NP_001363097.1, NP_001363098.1, NP_001363099.1, NP_001363100.1, NP_001363101.1, NP_001363102.1, NP_001363103.1, NP_001363104.1, NP_001363105.1, NP_001363106.1, NP_001363107.1, NP_001363108.1, NP_001363109.1, NP_001363110.1, NP_001363111.1, NP_001363112.1, NP_001363113.1, NP_001363114.1, NP_001363115.1, NP_001363116.1, NP_001363117.1, NP_001363118.1, NP_001363119.1, NP_001374870.1, NP_001374874.1, NP_001374876.1, NP_001374877.1, NP_001374879.1, NP_001374881.1, NP_001374882.1, NP_001374886.1, NP_001374888.1, NP_001374889.1, NP_001374891.1, NP_001374895.1, NP_001374896.1, NP_001374897.1, NP_001374898.1, NP_001374899.1, NP_001374900.1, NP_001374901.1, NP_001374902.1, NP_001374903.1, NP_001374904.1, NP_001374905.1, NP_001374906.1, NP_001374907.1, NP_001374908.1, NP_001374909.1, NP_001374910.1, XP_047303797.1
OG0000008		NP_001001668.3, NP_001005851.1, NP_001010880.2, NP_001012320.1, NP_001025168.2, NP_001035939.1, NP_001092907.1, NP_001092908.1, NP_001136049.1, NP_001136050.1, NP_001136051.1, NP_001138815.1, NP_001153332.1, NP_001153333.1, NP_001165450.1, NP_001165696.1, NP_001165697.1, NP_001166161.1, NP_001180481.1, NP_001229401.1, NP_001229403.1, NP_001229404.1, NP_001229405.1, NP_001229729.1, NP_001229730.1, NP_001229731.1, NP_001276110.1, NP_001276111.1, NP_001276112.1, NP_001276113.1, NP_001276114.1, NP_001276115.1, NP_001276116.1, NP_001276117.1, NP_001276118.1, NP_001276119.1, NP_001276120.1, NP_001276121.1, NP_001284548.1, NP_001284692.1, NP_001287922.1, NP_001304934.1, NP_001307300.2, NP_001307595.1, NP_001308285.1, NP_001308846.1, NP_001332876.1, NP_001332877.1, NP_001332878.1, NP_001374522.1, NP_001374523.1, NP_001374524.1, NP_001374525.1, NP_001374526.1, NP_001374527.1, NP_001374528.1, NP_001374529.1, NP_001374530.1, NP_001374531.1, NP_003410.1, NP_060913.2, NP_061145.2, NP_065838.2, NP_065864.2, NP_065879.1, NP_085116.2, NP_115829.1, NP_116078.4, NP_653291.1, NP_689691.2, NP_689817.1, NP_689819.1, NP_694989.2, NP_848639.2, NP_919306.2, NP_996777.2, XP_005258615.1, XP_005258647.1, XP_005258830.1, XP_005259385.1, XP_006721625.1, XP_011525006.1, XP_011525745.1, XP_011533135.1, XP_016882467.1, XP_047294754.1, XP_047294760.1
OG0000009		NP_001076799.2, NP_001269426.1, NP_001269924.2, NP_001269925.2, NP_001269926.2, NP_001269927.2, NP_001269928.2, NP_001269929.2, NP_001269930.2, NP_001269931.2, NP_001269932.2, NP_001269933.2, NP_001269934.2, NP_001269935.2, NP_001269936.2, NP_001269937.2, NP_001277190.1, NP_001316690.1, NP_001316691.1, NP_001316692.1, NP_001316693.1, NP_001316694.1, NP_001316695.1, NP_001316696.1, NP_001316697.1, NP_001316698.1, NP_001316699.1, NP_001316700.1, NP_001316701.1, NP_001316702.1, NP_001316703.1, NP_001316704.1, NP_001316705.1, NP_001316706.1, NP_001316707.1, NP_001316708.1, NP_001339379.2, NP_001339380.2, NP_001339381.2, NP_001339382.2, NP_001339383.2, NP_001339384.2, NP_001339385.2, NP_001339386.2, NP_001339387.2, NP_001339388.2, NP_001339389.2, NP_001339390.2, NP_001339391.2, NP_001339392.2, NP_001339393.2, NP_001340732.1, NP_001374224.1, NP_001374225.1, NP_001374226.1, NP_001374227.1, NP_001374228.1, NP_001374229.1, NP_001374230.1, NP_001374231.1, NP_001374232.1, NP_001374233.1, NP_001374234.1, NP_001374235.1, NP_001374236.1, NP_001374237.1, NP_001374238.1, NP_001374239.1, NP_001374240.1, NP_001374241.1, NP_001374242.1, NP_001374243.1, NP_001374244.1, NP_001374245.1, NP_001374246.1, NP_001374247.1, NP_001374248.1, NP_001374249.1, NP_001374250.1, NP_003425.3, NP_056470.1, NP_057173.2, NP_861451.1, XP_006723621.1, XP_016882161.1
